start_time	end_time	Carton	Instructions	Phone	ReservoirUnit	YpsoPod
0.057	0.167	1600.0	281.8	0.0	312.3	1600.0
0.267	0.417	536.2	285.2	0.0	330.5	1600.0
0.435	0.625	481.0	283.4	0.0	286.2	1600.0
0.666	0.926	437.5	288.6	0.0	251.1	1600.0
0.949	1.159	465.1	309.6	0.0	278.1	1600.0
1.244	1.344	636.0	447.5	0.0	447.6	1600.0
1.369	1.479	593.6	398.6	0.0	406.3	1600.0
1.495	1.845	600.0	389.6	0.0	412.4	1600.0
1.918	1.988	572.2	373.9	0.0	388.1	1600.0
1.994	2.194	531.1	315.3	0.0	344.7	1600.0
2.216	2.326	547.0	335.6	0.0	360.4	1600.0
2.349	2.479	551.9	344.2	0.0	366.3	1600.0
2.534	2.664	549.3	353.4	0.0	365.8	1600.0
2.688	2.878	544.6	357.4	0.0	360.9	1600.0
2.884	3.024	574.3	353.7	0.0	388.5	1600.0
3.086	3.156	543.8	371.0	0.0	366.0	1600.0
3.217	3.647	547.8	385.0	0.0	370.5	1600.0
3.668	3.748	555.1	384.8	0.0	376.6	1600.0
3.923	4.023	578.9	390.3	0.0	397.1	1600.0
4.048	4.198	549.9	365.2	0.0	370.9	1600.0
4.745	4.915	541.1	361.6	0.0	367.3	1600.0
4.934	5.474	549.2	362.2	0.0	371.9	1600.0
5.495	5.675	634.8	438.9	0.0	456.4	1600.0
5.754	7.333	643.1	433.0	0.0	453.8	1600.0
7.344	7.684	573.8	404.8	0.0	392.6	1600.0
7.703	7.983	561.7	358.5	0.0	376.4	1600.0
8.084	8.314	601.6	401.9	0.0	419.7	1600.0
8.351	8.781	594.0	393.2	0.0	411.3	1600.0
8.984	9.064	588.8	384.1	0.0	405.6	1600.0
9.081	9.181	562.4	371.9	0.0	383.1	1600.0
9.332	9.512	625.8	424.0	0.0	446.2	1600.0
9.601	9.801	609.9	411.9	0.0	431.4	1600.0
9.862	10.112	482.1	277.5	0.0	305.1	1600.0
10.311	10.491	475.4	272.2	0.0	299.4	1600.0
10.55	10.62	451.8	263.1	0.0	273.9	1600.0
10.704	10.814	421.4	199.9	0.0	243.9	1600.0
10.83	11.09	443.3	226.5	0.0	265.4	1600.0
11.11	11.36	444.7	241.8	0.0	267.2	1600.0
11.42	11.49	437.5	256.9	0.0	262.2	1600.0
11.529	11.749	419.1	251.7	0.0	245.1	1600.0
11.83	11.95	459.6	243.0	0.0	281.7	1600.0
11.973	12.053	457.1	254.7	0.0	282.2	1600.0
12.07	12.66	444.4	264.7	0.0	270.4	1600.0
12.771	13.011	474.6	254.2	0.0	296.2	1600.0
13.032	13.182	462.5	260.7	0.0	283.5	1600.0
13.2	13.29	452.5	262.0	0.0	273.3	1600.0
13.448	13.578	447.8	280.3	0.0	271.3	1600.0
13.602	13.712	507.9	326.2	0.0	331.9	1600.0
14.107	14.257	551.9	347.4	0.0	370.0	1600.0
14.278	14.448	543.5	338.3	0.0	361.8	1600.0
14.47	14.63	532.5	337.1	0.0	352.1	1600.0
14.701	14.791	526.0	340.9	0.0	346.8	1600.0
14.85	15.21	533.8	366.8	0.0	354.6	1600.0
