start_time	end_time	Carton	IFU	Instructions	Phone	Pump Unit	ReservoirUnit	YpsoPod	skin
0.35	1.249	87.3	1600.0	378.1	392.2	1600.0	157.9	0.0	1600.0
1.448	1.678	257.6	1600.0	762.8	0.0	1600.0	554.7	43.0	525.6
1.719	1.789	193.3	1600.0	1600.0	1600.0	1600.0	1600.0	239.3	483.3
1.884	1.984	280.6	1600.0	820.3	1600.0	1600.0	409.6	1600.0	117.7
2.087	2.217	1600.0	1600.0	812.7	1600.0	308.0	454.0	335.3	195.4
2.396	2.576	643.9	1600.0	1600.0	1600.0	1600.0	1600.0	1600.0	1600.0
2.599	2.969	235.8	1600.0	377.9	732.6	1600.0	452.3	1600.0	1600.0
3.356	3.566	547.8	1600.0	19.0	241.0	1600.0	399.0	1600.0	1600.0
3.588	3.848	210.8	1600.0	75.8	163.0	1600.0	64.0	1600.0	1600.0
3.968	4.118	444.1	1600.0	915.7	1600.0	1600.0	686.6	1600.0	430.2
4.457	4.547	699.4	1249.4	933.9	1600.0	1600.0	916.0	1600.0	1600.0
4.735	4.845	302.4	1600.0	311.2	557.1	1600.0	407.0	1600.0	1600.0
5.743	5.813	272.7	1600.0	47.0	299.7	1600.0	235.8	1600.0	1600.0
5.886	6.046	213.9	1600.0	0.0	179.0	1600.0	125.4	1600.0	1600.0
6.373	6.503	171.8	1600.0	50.0	180.5	1600.0	78.3	1600.0	1600.0
6.583	6.713	395.7	1600.0	0.0	273.3	1600.0	320.0	1600.0	1600.0
6.734	6.964	388.6	1600.0	0.0	246.9	1600.0	302.7	1600.0	1600.0
7.002	7.112	421.8	1600.0	0.0	195.2	1600.0	316.0	1600.0	1600.0
7.136	7.246	414.8	1600.0	63.0	129.7	1600.0	292.1	1600.0	1600.0
7.263	7.423	336.8	1600.0	98.5	45.3	1600.0	201.2	1600.0	1600.0
7.462	7.692	463.6	1600.0	338.7	0.0	1600.0	317.2	1600.0	1600.0
7.812	7.922	516.0	1600.0	165.0	100.9	1600.0	357.6	1600.0	328.6
7.935	8.065	525.3	1600.0	116.0	128.0	1600.0	369.3	1600.0	319.7
8.255	8.385	589.9	1600.0	75.0	523.2	1600.0	525.8	1600.0	636.7
8.405	8.475	583.3	1600.0	59.0	515.0	1600.0	514.3	1600.0	1600.0
8.513	8.723	549.7	1600.0	4.0	465.6	1600.0	447.4	1600.0	1600.0
8.851	9.051	434.0	1600.0	0.0	408.0	1600.0	342.3	690.9	311.8
9.073	9.173	486.3	1600.0	0.0	388.6	1600.0	382.8	633.2	348.1
9.232	9.332	436.0	1600.0	0.0	372.0	1600.0	325.0	660.4	1600.0
9.354	9.554	451.2	1600.0	0.0	370.5	1600.0	342.6	1600.0	1600.0
9.57	9.73	601.8	1600.0	0.0	410.1	1600.0	477.2	549.6	1600.0
9.771	10.011	555.6	1600.0	0.0	389.6	1600.0	434.0	1600.0	1600.0
10.054	10.154	532.9	1600.0	0.0	366.6	1600.0	411.5	576.0	1600.0
10.17	10.3	447.2	1600.0	0.0	341.9	1600.0	329.5	627.9	294.7
10.322	10.712	413.0	1600.0	0.0	340.0	1600.0	296.6	650.1	265.9
10.729	10.949	447.0	1600.0	0.0	337.2	1600.0	321.8	1600.0	1600.0
11.02	11.13	544.4	1600.0	0.0	346.3	1600.0	417.7	1600.0	1600.0
11.169	11.279	568.2	1600.0	0.0	353.9	1600.0	444.9	1600.0	401.4
11.304	11.414	551.8	1600.0	0.0	351.9	1600.0	430.6	1600.0	387.7
11.432	11.552	548.2	1600.0	0.0	344.6	1087.9	418.8	545.7	1600.0
11.56	11.91	581.7	1600.0	0.0	283.2	1600.0	428.5	1600.0	481.5
11.923	12.003	485.2	1600.0	102.0	151.6	1600.0	314.3	1600.0	543.4
12.021	12.111	498.6	1600.0	108.0	144.2	1600.0	315.8	485.2	539.6
12.401	12.511	664.1	1600.0	448.3	0.0	1600.0	434.3	1600.0	561.0
12.533	12.633	649.2	1600.0	449.0	0.0	1600.0	429.7	1600.0	588.0
12.668	12.778	668.7	1600.0	453.5	0.0	1600.0	481.8	1600.0	568.0
12.948	13.048	715.9	1600.0	495.8	0.0	1600.0	476.8	1600.0	593.1
13.073	13.153	707.6	1600.0	484.1	0.0	1600.0	502.3	1600.0	599.0
13.199	13.479	817.1	1600.0	600.9	0.0	1600.0	570.9	1600.0	617.6
13.517	13.607	859.9	1600.0	620.0	0.0	1600.0	647.9	1600.0	607.4
13.678	14.118	681.4	1600.0	400.0	0.0	1600.0	410.5	1600.0	610.5
14.178	14.428	697.9	1600.0	428.0	0.0	1600.0	429.4	1600.0	588.0
14.452	14.672	632.9	1600.0	325.0	0.0	1600.0	388.5	1600.0	545.4
14.741	14.851	549.7	1600.0	83.0	188.7	1600.0	363.9	1600.0	564.6
14.867	14.947	549.1	1600.0	87.0	189.8	1600.0	357.5	529.2	311.9
15.05	15.2	645.0	1600.0	0.0	517.3	1600.0	544.2	661.5	656.4
15.271	15.381	588.8	1600.0	0.0	446.4	1600.0	477.4	643.5	603.0
15.451	15.681	526.8	1600.0	0.0	389.3	973.2	410.9	648.4	561.9
15.778	15.998	468.9	1600.0	0.0	369.4	920.2	338.9	686.2	310.4
16.029	16.219	596.1	1600.0	0.0	401.6	1030.4	462.5	594.7	432.4
16.237	16.667	572.6	1600.0	0.0	465.8	1600.0	465.0	1600.0	431.6
16.69	16.8	438.3	1600.0	0.0	491.8	1600.0	369.2	1600.0	1600.0
16.856	17.106	389.8	1600.0	0.0	291.6	1600.0	278.9	1600.0	1600.0
17.15	17.33	531.3	1600.0	0.0	269.5	1600.0	436.8	1600.0	1600.0
17.47	17.83	365.5	1600.0	0.0	65.9	1600.0	1600.0	1600.0	1600.0
17.967	18.047	371.6	1600.0	331.1	0.0	1600.0	1600.0	174.0	1600.0
18.068	18.168	354.8	1600.0	283.6	0.0	1600.0	1600.0	171.7	1600.0
18.246	18.446	339.0	1600.0	243.3	0.0	1600.0	1600.0	1600.0	1600.0
18.519	18.649	354.9	1600.0	236.6	0.0	1600.0	1600.0	1600.0	1600.0
18.665	18.775	350.1	1600.0	279.3	0.0	1600.0	1600.0	1600.0	1600.0
18.819	19.079	411.0	1600.0	286.3	0.0	1600.0	1600.0	1600.0	1600.0
