start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action
									
0.959	1.059	341.5	50	143	568.2	0	328.7	1600	Cap Off
									
1.059	1.159	339.1	49.1	146.2	564.2	0	358.9	1600	Cap Off
									
1.159	1.259	336.6	41	153	565.3	0	360.3	1600	Cap Off
									
1.299	1.399	607.1	292	57.4	863	97	428	1600	Cap Off
									
1.399	1.499	636.5	304.1	70.8	863	110.9	162.8	1600	Cap Off
									
1.679	1.779	623.6	297	64.2	838.3	109	144.9	1600	Cap Off
									
1.829	1.929	408	80	113	605.9	0	308.6	1600	Cap Off
									
1.929	2.019	393.7	72.2	119	595.4	0	303.8	1600	Cap Off
									
2.039	2.139	304.4	0	205.2	508.4	20	373	1600	Cap Off
									
2.139	2.239	298.2	0	209.8	500.2	24	378.4	1600	Cap Off
									
2.239	2.319	291.6	0	213.1	494.3	25	380.6	1600	Cap Off
									
2.359	2.459	293.4	0	212.5	494.5	23	377.2	1600	Cap Off
									
2.459	2.559	293.5	0	219.8	493.5	25	375.5	1600	Cap Off
									
2.559	2.659	291.9	0	221.4	498.9	18.7	366.5	1600	Cap Off
									
2.659	2.759	289.8	10	1600	500	17.7	360.2	1600	Cap Off
									
2.778	2.878	311.7	5	214.1	524.4	0	342.9	1600	Cap Off
									
2.878	2.938	311	22	215.2	531.4	2.2	335.4	1600	Cap Off
									
2.958	3.058	339.8	55.7	184	558.4	0	323.7	1600	Cap Off
									
3.058	3.158	346.7	70.1	186.9	562.7	0	322.7	1600	Cap Off
									
3.158	3.258	343.8	81.6	186.2	563.9	0	328.7	620	Cap Off
									
3.298	3.398	342	74.3	204.2	560.4	0	349.5	1600	Cap Off
									
3.398	3.498	342.3	103.1	284.1	595.2	0	354.4	1600	Cap Off
									
3.598	3.668	465.5	443.6	319.9	1600	0	218.4	595.2	Cap Off
									
3.708	3.808	462.2	372.8	309.3	708.8	0	224.3	595.1	Cap Off
									
3.808	3.908	446.9	323.8	308.1	680.8	4.1	226.9	602.5	Cap Off
									
3.908	3.958	449.7	314.5	305	684.6	20	218.6	597.2	Cap Off
									
3.978	4.078	445.2	297.3	309.5	673.4	0	243	613.9	Cap Off
									
4.078	4.168	443.2	322.9	311.4	663.3	0	261.8	632.1	Cap Off
