start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action
0.355	0.425	369.5	82.0	96.8	601.7	0.0	789.1	1600.0	Cap Off
0.45	1.449	391.4	106.0	72.8	624.3	0.0	764.9	197.0	Cap Off
1.568	1.658	374.6	80.5	1600.0	596.6	0.0	774.9	1600.0	Cap Off
1.939	2.069	344.4	58.6	1600.0	565.7	0.0	848.8	1600.0	Cap Off
2.236	2.326	229.6	50.2	168.0	479.4	0.0	1005.0	1600.0	Cap Off
2.395	2.625	196.0	0.0	227.2	504.8	8.0	1032.2	1600.0	Cap Off
2.648	2.798	256.1	11.0	270.4	570.2	44.1	942.2	1600.0	Cap Off
2.818	3.118	272.3	0.0	273.7	570.9	36.0	894.3	1600.0	Cap Off
3.218	3.308	445.6	118.1	513.6	822.7	178.8	1600.0	155.6	Cap Off
3.368	3.458	394.3	321.9	462.1	775.6	118.6	1600.0	92.5	Cap Off
3.545	3.615	855.5	4.0	848.9	1279.7	563.6	633.0	1600.0	Cap Off
3.634	3.724	910.4	0.0	888.2	1346.5	613.4	606.2	1600.0	Cap Off
3.767	3.877	891.9	7.8	807.0	1600.0	563.1	484.9	1600.0	Cap Off
3.893	4.093	847.5	13.0	730.0	1600.0	512.9	422.9	1600.0	Cap Off
4.116	4.276	849.9	0.0	741.1	1600.0	526.3	1600.0	520.2	Cap Off
5.156	5.236	1600.0	310.6	908.6	1600.0	871.8	0.0	928.3	Apply Tip
5.306	5.416	1600.0	340.5	964.9	1600.0	935.9	7.0	1600.0	Apply Tip
5.433	5.543	1600.0	342.8	975.3	1600.0	949.5	2.0	1600.0	Apply Tip
5.567	5.697	1600.0	346.7	978.4	1600.0	952.8	4.0	1600.0	Apply Tip
5.713	5.973	1600.0	339.8	976.5	1600.0	953.7	0.0	1600.0	Apply Tip
6.017	6.267	1600.0	248.3	872.7	1600.0	825.8	21.0	893.3	Apply Tip
6.582	6.732	343.1	430.6	406.3	676.1	41.0	65.3	1600.0	Apply Tip
6.754	6.944	366.4	421.0	422.6	703.5	43.0	23.8	1600.0	Apply Tip
6.983	7.463	372.7	417.7	420.1	711.2	31.8	0.0	1600.0	Apply Tip
7.483	7.793	339.6	449.4	430.1	680.5	43.3	0.0	1600.0	Apply Tip
7.813	8.363	353.6	434.6	432.6	693.6	34.4	0.0	1600.0	Apply Tip
8.381	9.081	366.5	423.9	439.3	697.9	30.1	0.0	1600.0	Apply Tip
9.101	9.641	357.7	440.3	398.9	674.2	15.0	0.0	1600.0	Apply Tip
9.662	10.811	350.8	437.6	418.5	682.8	22.0	4.0	1600.0	Apply Tip
10.881	10.951	395.0	395.9	454.6	728.9	64.8	51.2	1600.0	Apply Tip
10.963	11.263	353.2	441.1	423.2	683.1	28.5	0.0	1600.0	Apply Tip
11.3	11.43	394.8	520.8	446.8	715.4	50.4	194.2	0.0	Apply Tip
11.483	11.563	391.3	1600.0	436.8	710.0	53.9	334.1	0.0	Apply Tip
11.581	11.701	410.4	368.3	405.7	716.5	34.2	458.2	16.0	Apply Tip
11.793	11.863	413.8	469.6	182.4	604.0	0.0	707.6	192.2	Apply Tip
12.06	12.23	399.4	596.8	0.0	502.4	25.7	711.5	376.6	Setting Units
12.269	12.529	378.5	583.5	0.0	497.2	14.0	719.4	369.9	Setting Units
12.549	12.639	344.7	548.6	0.0	498.7	13.6	728.1	377.9	Setting Units
12.678	13.058	348.8	498.8	2.0	544.7	34.2	738.2	1600.0	Setting Units
13.268	13.358	370.0	489.6	0.0	582.7	42.0	734.8	1600.0	Setting Units
13.38	13.46	388.5	486.9	0.0	592.2	57.0	718.4	1600.0	Setting Units
13.55	13.68	397.7	497.8	0.0	596.3	67.0	717.0	1600.0	Setting Units
13.852	14.012	383.3	500.1	2.0	590.5	54.1	734.7	491.4	Setting Units
14.097	14.497	378.8	503.1	0.0	585.9	52.0	738.2	486.7	Setting Units
14.517	14.597	390.7	509.5	19.9	572.4	44.0	723.4	1600.0	Setting Units
14.699	14.809	257.8	563.1	151.2	481.9	0.0	831.7	262.9	Setting Units
14.831	14.931	260.2	492.7	277.6	557.4	12.2	830.0	122.0	Setting Units
15.011	15.081	284.3	470.3	441.0	675.3	69.0	896.3	20.6	Priming
15.101	15.361	314.2	438.3	464.0	705.7	94.0	879.8	45.2	Priming
15.381	15.771	317.4	437.4	474.0	699.7	98.0	882.4	46.0	Priming
15.791	15.901	332.7	422.2	473.4	711.2	94.0	868.3	46.1	Priming
15.917	16.197	321.3	433.4	472.2	700.4	87.0	878.5	41.0	Priming
17.167	17.257	0.0	798.3	457.4	319.0	317.5	1150.6	349.3	Priming
17.378	17.568	0.0	821.2	482.5	304.8	349.1	1224.2	383.9	Priming
17.587	17.827	0.0	847.1	489.3	280.0	380.8	447.8	424.0	Priming
17.866	18.166	0.0	856.5	509.9	298.1	395.3	1600.0	425.7	Priming
18.588	20.377	0.0	863.1	517.7	298.6	408.7	1600.0	439.0	Priming
20.393	22.322	0.0	860.7	530.3	309.5	412.7	1600.0	441.0	Priming
22.367	23.187	0.0	863.8	533.2	301.9	415.2	1600.0	444.0	Priming
23.204	23.434	0.0	852.2	518.3	298.1	403.2	1600.0	435.0	Priming
23.452	25.481	0.0	860.0	539.5	311.0	418.1	1600.0	445.0	Priming
27.084	27.194	375.6	523.4	0.0	540.1	12.5	736.8	377.8	Setting Units
27.23	27.35	349.7	514.6	0.0	541.1	15.6	743.8	388.0	Setting Units
27.374	27.464	377.3	477.1	0.0	584.0	33.7	712.3	404.5	Setting Units
27.53	27.62	395.5	454.8	0.0	612.4	59.0	691.0	1600.0	Setting Units
27.683	28.043	381.0	452.1	0.0	615.2	41.0	705.6	1600.0	Setting Units
28.122	29.951	382.0	454.9	1.0	616.8	43.0	710.7	1600.0	Setting Units
30.05	30.2	385.1	447.0	6.0	620.7	41.2	704.7	1600.0	Setting Units
30.332	30.412	235.0	579.3	136.4	486.6	0.0	856.5	1600.0	Injection
30.872	30.982	205.0	1600.0	808.5	0.0	466.0	1600.0	441.6	Injection
30.999	31.109	183.4	1600.0	784.1	0.0	412.3	1600.0	389.3	Injection
31.152	31.262	181.6	1600.0	764.6	0.0	335.4	1600.0	1600.0	Injection
31.279	31.399	180.2	1600.0	780.0	0.0	331.4	1600.0	1600.0	Injection
31.57	31.73	187.0	1600.0	1600.0	0.0	728.7	1600.0	239.9	Injection
31.85	32.01	1600.0	1600.0	536.9	0.0	150.9	1600.0	89.9	Injection
32.128	32.378	1600.0	1600.0	419.1	0.0	52.0	1600.0	12.4	Injection
32.399	32.519	494.2	1600.0	406.1	0.0	41.8	1600.0	10.4	Injection
32.57	32.67	499.2	1600.0	442.8	0.0	87.8	1600.0	55.4	Injection
32.821	32.971	405.6	1600.0	372.0	0.0	16.0	1600.0	1.0	Injection
32.991	33.181	399.2	1600.0	364.1	9.5	8.0	1600.0	0.0	Injection
33.24	33.37	412.0	1600.0	385.3	0.0	31.8	1600.0	13.6	Injection
33.389	33.849	349.3	1600.0	336.3	14.8	0.0	1600.0	7.6	Injection
33.92	34.02	325.4	1600.0	319.8	0.0	2.2	1600.0	5.8	Injection
34.025	34.105	322.2	1600.0	323.1	0.0	5.4	1600.0	3.0	Injection
34.19	34.43	300.5	1600.0	307.5	3.2	0.0	1600.0	9.0	Injection
34.549	34.709	272.6	1600.0	300.4	0.0	15.6	1600.0	19.4	Injection
34.75	34.85	283.0	1600.0	284.5	4.5	0.0	1600.0	19.2	Injection
34.886	34.976	289.0	1600.0	292.3	8.5	0.0	1600.0	11.0	Injection
35.2	35.28	0.0	1600.0	284.3	420.0	260.2	1600.0	451.1	Injection
35.295	35.405	0.0	1600.0	266.6	382.7	242.2	1600.0	413.0	Injection
35.445	35.555	0.0	1600.0	287.1	384.0	265.5	1600.0	405.9	Injection
35.599	35.709	0.0	1600.0	314.8	409.1	297.4	1600.0	423.9	Injection
35.748	35.848	0.0	1600.0	326.0	415.8	309.9	1600.0	426.8	Injection
36.019	36.129	0.0	947.6	339.7	397.2	322.6	1600.0	402.9	Injection
36.148	36.248	0.0	949.1	341.3	412.8	329.0	1600.0	420.1	Injection
36.267	37.616	0.0	954.0	339.8	411.4	327.1	1600.0	421.6	Injection
37.665	38.964	0.0	957.3	344.1	419.7	332.9	1600.0	423.8	Injection
39.065	39.575	0.0	950.2	348.9	426.5	338.0	1600.0	431.4	Injection
39.654	41.243	0.0	953.5	342.8	419.2	330.0	1600.0	419.8	Injection
41.325	41.415	214.5	1248.7	182.8	45.5	5.4	1600.0	59.9	Injection
41.604	41.814	213.6	1600.0	199.6	38.5	1.0	1600.0	42.8	Injection
41.864	41.984	219.4	1600.0	205.0	31.8	0.0	1600.0	35.9	Injection
42.005	42.355	225.9	1600.0	209.3	26.9	0.0	1600.0	35.2	Injection
42.532	42.632	0.0	1600.0	328.5	428.7	314.1	1600.0	439.8	Injection
42.653	42.783	0.0	1600.0	321.6	415.0	307.1	1600.0	426.5	Injection
42.805	44.684	0.0	1600.0	319.1	405.1	305.6	1600.0	418.3	Injection
44.724	45.234	0.0	1600.0	340.0	419.1	323.9	1600.0	425.6	Injection
45.419	45.659	219.2	1600.0	210.1	25.2	1.0	1600.0	33.1	Injection
45.681	45.931	251.0	1600.0	260.0	0.0	11.4	1600.0	0.0	Injection
46.003	46.443	234.4	1600.0	238.3	5.0	0.0	1600.0	9.1	Injection
46.533	46.663	293.9	1600.0	1600.0	42.0	15.5	1600.0	4.5	Injection
46.803	46.953	3.0	937.2	1600.0	251.8	45.4	1600.0	20.2	Injection
46.971	47.061	85.6	667.7	240.6	461.3	0.0	1129.6	19.9	Injection
47.082	47.202	216.5	518.2	256.5	601.9	20.6	931.9	47.4	Injection
47.388	47.518	980.0	268.5	447.2	1204.0	450.3	11.4	645.4	Injection
47.628	47.858	1096.1	324.7	658.3	1600.0	643.6	0.0	754.9	Remove Tip
47.88	47.97	1600.0	344.9	674.4	1600.0	657.7	15.3	781.3	Remove Tip
48.047	48.157	1600.0	345.8	722.9	1600.0	697.5	0.0	794.9	Remove Tip
48.178	48.398	1600.0	352.4	723.2	1600.0	700.7	0.0	802.0	Remove Tip
48.668	49.028	336.2	420.4	399.1	681.4	41.0	399.9	5.8	Remove Tip
49.051	49.131	330.5	534.2	415.1	679.4	56.5	195.8	14.1	Remove Tip
49.147	49.467	334.1	465.0	440.5	700.1	66.0	72.9	20.6	Remove Tip
49.491	50.101	353.5	457.0	449.7	717.2	68.6	3.0	28.2	Remove Tip
50.148	50.838	330.0	486.8	391.3	660.7	7.0	1.0	1600.0	Remove Tip
50.876	50.946	339.0	457.0	419.5	684.4	40.0	0.0	1600.0	Remove Tip
51.138	51.228	338.0	456.5	418.4	681.0	35.0	17.2	1600.0	Remove Tip
51.245	52.974	361.0	430.0	423.9	700.3	49.0	0.0	1600.0	Remove Tip
