start_time	end_time	Carton	Instructions	Phone	ReservoirUnit	YpsoPod
0.287	0.377	158.0	337.2	431.7	205.7	1600.0
0.585	0.875	6.0	1600.0	259.8	407.3	1600.0
0.915	1.045	414.5	761.2	1600.0	189.5	1600.0
1.327	1.467	963.2	785.3	381.0	872.0	1600.0
1.499	1.929	284.6	1600.0	1600.0	557.8	1600.0
1.959	2.529	441.2	1600.0	1600.0	353.6	1600.0
2.599	2.839	595.5	700.9	1600.0	931.0	1600.0
3.365	3.625	623.5	308.1	0.0	308.6	1600.0
3.668	4.098	677.4	384.1	0.0	342.8	1600.0
4.145	4.455	672.7	411.0	0.0	322.8	1600.0
4.493	4.663	682.1	440.0	0.0	326.7	1600.0
4.684	4.844	693.6	445.8	0.0	337.8	1600.0
4.874	6.203	708.3	394.0	0.0	292.1	1600.0
6.263	7.242	1600.0	473.0	0.0	375.4	1600.0
7.261	8.65	1600.0	457.1	0.0	350.2	1600.0
8.675	9.285	1600.0	1600.0	0.0	359.2	1600.0
9.305	10.974	1600.0	518.1	0.0	404.8	1600.0
11.07	11.44	673.9	0.0	441.2	506.2	1600.0
11.45	11.73	732.0	737.8	436.7	549.8	1600.0
12.0	12.28	1600.0	556.9	0.0	417.8	1600.0
12.319	13.398	1600.0	532.0	0.0	393.0	1600.0
13.42	14.15	1600.0	535.2	9.2	392.6	1600.0
14.17	14.49	1600.0	504.7	0.0	359.0	1600.0
14.54	14.61	781.2	559.3	87.8	361.9	1600.0
14.688	14.788	736.4	423.0	13.0	304.8	1600.0
14.919	15.649	591.1	1600.0	0.0	243.5	1600.0
15.67	16.4	1600.0	1600.0	0.0	336.4	889.9
16.42	18.259	1600.0	1600.0	0.0	986.1	1600.0
18.286	18.476	1600.0	1600.0	0.0	284.2	1600.0
18.486	19.236	1600.0	1600.0	0.0	360.4	1600.0
19.246	19.346	912.0	1600.0	0.0	431.1	1600.0
19.359	20.268	700.0	1600.0	0.0	357.0	1600.0
20.307	21.077	1600.0	1600.0	0.0	405.8	1600.0
21.108	22.537	1600.0	1600.0	0.0	499.1	717.7
22.563	23.812	1600.0	1600.0	0.0	463.0	1600.0
23.833	24.193	702.6	1600.0	0.0	512.8	1600.0
24.211	24.521	1600.0	1600.0	0.0	450.2	1600.0
24.563	24.903	724.0	1600.0	7.0	420.4	862.9
24.946	25.536	1600.0	1600.0	278.3	1600.0	1600.0
26.155	26.425	1600.0	1600.0	0.0	265.2	1600.0
26.435	27.285	529.5	1600.0	0.0	286.0	1600.0
27.302	27.882	1600.0	1600.0	0.0	379.4	686.2
27.904	28.584	1600.0	1600.0	0.0	481.4	1600.0
28.649	29.848	544.2	1600.0	0.0	432.8	1600.0
29.873	34.53	604.9	1600.0	0.0	420.8	1600.0
34.547	34.687	558.6	1600.0	0.0	341.0	1600.0
34.87	34.99	591.4	1600.0	0.0	377.2	1600.0
35.007	36.126	689.2	1600.0	0.0	391.8	1600.0
36.145	37.854	1600.0	1600.0	0.0	378.0	1600.0
37.977	38.137	624.9	1600.0	0.0	273.0	1600.0
38.168	38.298	1600.0	1600.0	0.0	412.0	1600.0
38.304	39.873	666.2	1600.0	0.0	335.0	1600.0
39.904	40.284	1600.0	1600.0	0.0	398.4	1600.0
40.302	41.791	1600.0	1600.0	0.0	344.2	1600.0
41.821	42.581	1600.0	1600.0	0.0	367.3	1600.0
42.605	43.514	1600.0	1600.0	0.0	366.7	1600.0
43.572	43.722	1600.0	1600.0	0.0	436.9	1600.0
43.755	44.285	1600.0	1600.0	0.0	521.1	1600.0
44.323	44.743	1600.0	1600.0	0.0	369.3	1600.0
44.754	45.154	1600.0	1600.0	0.0	381.3	873.2
45.204	45.544	585.2	1600.0	0.0	326.0	1600.0
45.552	46.571	460.1	96.8	0.0	192.4	1600.0
46.653	46.753	628.0	243.5	59.8	336.4	1600.0
46.89	46.98	1600.0	525.3	400.1	1600.0	1600.0
47.253	47.703	1600.0	569.0	1600.0	1600.0	1600.0
47.798	47.908	1600.0	345.0	1600.0	1600.0	1600.0
48.271	48.511	1600.0	593.6	1600.0	1600.0	1600.0
48.552	48.622	1600.0	834.3	756.4	1600.0	1600.0
49.042	49.272	431.5	368.7	182.4	230.3	1600.0
49.31	50.459	424.9	217.0	36.0	126.6	1600.0
50.491	50.851	712.5	297.0	0.0	290.3	1600.0
50.879	52.488	1600.0	386.0	2.0	308.8	1600.0
52.519	53.768	1600.0	1600.0	0.0	291.3	1600.0
53.978	56.447	116.0	421.5	1600.0	290.1	1600.0
56.645	56.775	694.9	423.8	70.2	254.3	1600.0
56.817	56.997	869.3	458.0	57.4	462.6	1600.0
57.017	57.157	745.1	318.0	52.0	393.3	1600.0
57.175	57.515	635.0	245.0	0.0	299.9	272.0
57.547	61.275	1600.0	472.0	0.0	368.5	1600.0
61.315	62.494	743.4	1600.0	0.0	290.0	287.6
