start_time	end_time	Carton	Instructions	Phone	ReservoirUnit	YpsoPod
0.259	0.429	1051.8	534.7	1600.0	926.1	1600.0
0.505	0.605	950.3	1600.0	1600.0	1600.0	1600.0
1.209	1.279	445.9	884.4	229.1	229.9	1600.0
1.369	1.459	989.1	1600.0	1600.0	504.9	1600.0
1.476	1.556	1600.0	1600.0	1600.0	362.2	1600.0
1.776	1.916	1600.0	1600.0	1600.0	437.9	1600.0
1.936	2.306	187.9	779.2	1600.0	1600.0	1600.0
2.357	2.577	155.7	1600.0	1600.0	1600.0	1600.0
2.595	2.835	1600.0	1600.0	1600.0	1600.0	1600.0
3.438	3.788	688.8	261.4	0.0	355.6	1600.0
3.858	3.928	475.1	108.2	0.0	986.3	1600.0
4.425	4.535	497.5	225.7	0.0	363.1	1600.0
4.554	4.674	461.9	184.2	0.0	356.7	1600.0
4.694	4.954	442.2	123.2	0.0	377.9	1600.0
4.974	5.234	432.2	129.0	0.0	367.5	1600.0
5.255	5.355	441.0	112.1	0.0	393.7	1600.0
5.392	5.482	490.5	69.1	38.1	487.6	1600.0
5.673	5.773	525.8	25.0	328.2	667.2	1600.0
5.782	5.902	461.8	32.6	314.4	614.5	1600.0
5.984	6.164	459.2	0.0	240.0	560.5	1600.0
6.224	6.374	503.3	0.0	246.2	809.6	1600.0
6.384	6.834	468.6	0.0	279.0	792.6	1600.0
6.914	7.134	581.0	0.0	276.4	917.7	1600.0
7.175	7.245	581.0	0.0	255.7	925.1	1600.0
7.271	7.421	476.2	7.6	323.2	781.9	1600.0
7.444	7.554	474.3	0.0	326.1	779.8	1600.0
7.576	7.896	485.1	0.0	337.5	784.1	1600.0
7.913	8.103	476.7	3.0	355.8	768.2	1600.0
8.174	8.304	505.0	0.0	325.5	804.3	1600.0
8.671	8.801	684.7	30.2	534.8	882.5	1600.0
8.825	8.905	668.6	222.3	512.3	876.1	1600.0
8.991	9.111	435.7	221.1	164.7	1600.0	1600.0
9.243	9.323	436.2	71.0	267.9	759.6	1600.0
9.362	9.452	541.9	123.9	257.1	870.4	1600.0
9.511	9.661	562.3	120.3	267.2	887.7	1600.0
9.713	9.793	802.4	178.7	476.2	1083.4	1600.0
9.812	9.892	801.0	216.5	492.9	1070.1	1600.0
9.954	10.144	730.8	0.0	504.2	973.4	1600.0
10.212	10.322	727.6	0.0	477.1	985.0	1600.0
10.34	10.62	674.3	0.0	442.1	1600.0	1600.0
10.643	10.743	596.6	0.0	372.3	883.2	1600.0
10.763	10.943	581.2	0.0	387.0	858.7	1600.0
11.042	11.172	476.9	0.0	326.9	780.6	1600.0
11.189	11.279	510.1	0.0	328.2	828.4	1600.0
11.363	11.553	641.2	0.0	327.2	758.7	1600.0
12.083	12.283	471.6	0.0	310.1	634.1	1600.0
12.29	12.43	421.3	0.0	266.9	564.0	1600.0
12.633	12.703	638.4	0.0	229.3	1600.0	1600.0
12.878	12.978	532.0	0.0	312.0	669.2	1600.0
12.998	13.208	590.2	0.0	371.0	1600.0	1600.0
13.23	13.42	678.6	0.0	399.7	1007.9	1600.0
13.451	13.861	520.5	0.0	343.2	659.8	1600.0
14.009	14.119	604.8	291.6	0.0	431.9	1600.0
14.157	14.267	618.8	228.9	0.0	459.1	1600.0
14.34	14.42	682.5	315.6	0.0	474.1	1600.0
14.437	14.507	697.7	308.6	0.0	1600.0	1600.0
14.588	14.838	711.8	292.4	0.0	535.4	1600.0
14.852	15.072	651.4	294.9	0.0	460.6	1600.0
15.091	15.331	602.2	194.9	0.0	457.9	1600.0
15.339	15.589	552.5	128.0	0.0	458.1	1600.0
15.641	15.781	579.4	1600.0	294.0	664.2	1600.0
15.837	16.067	561.8	0.0	279.0	645.6	1600.0
16.088	16.418	516.9	126.5	270.0	612.4	1600.0
16.488	16.708	543.3	125.4	253.0	623.7	1600.0
16.719	16.899	620.9	82.5	277.7	687.5	1600.0
16.927	17.117	486.2	156.6	227.0	557.5	1600.0
