Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0.0	165.0	165.0	851.0	508.0
250.0	370.0	120.0	879.0	477.0
388.0	1018.0	630.0	864.0	466.0
1306.0	1406.0	100.0	892.0	839.0
1416.0	2765.0	1349.0	895.0	627.0
2784.0	3464.0	680.0	847.0	628.0
3484.0	4004.0	520.0	902.0	629.0
4023.0	4853.0	830.0	848.0	637.0
4864.0	5843.0	979.0	892.0	636.0
5877.0	6347.0	470.0	831.0	644.0
6362.0	6842.0	480.0	887.0	647.0
6864.0	7304.0	440.0	847.0	724.0
7316.0	9355.0	2039.0	886.0	806.0
9371.0	12929.0	3558.0	905.0	744.0
12953.0	13143.0	190.0	973.0	690.0
13159.0	13639.0	480.0	892.0	660.0
13652.0	15631.0	1979.0	898.0	710.0
15649.0	15749.0	100.0	825.0	773.0
15768.0	17177.0	1409.0	896.0	852.0
17210.0	17480.0	270.0	973.0	763.0
17490.0	18080.0	590.0	899.0	736.0
18088.0	18288.0	200.0	903.0	841.0
18330.0	18570.0	240.0	882.0	872.0
18615.0	19235.0	620.0	874.0	609.0
19249.0	19439.0	190.0	889.0	706.0
19455.0	19875.0	420.0	893.0	848.0
19926.0	20536.0	610.0	866.0	628.0
20548.0	22327.0	1779.0	889.0	565.0
22357.0	22677.0	320.0	825.0	582.0
22773.0	23672.0	899.0	883.0	591.0
23753.0	24323.0	570.0	952.0	597.0
24356.0	24716.0	360.0	831.0	598.0
24734.0	25384.0	650.0	915.0	597.0
25413.0	25553.0	140.0	826.0	598.0
25574.0	26054.0	480.0	872.0	660.0
26085.0	27524.0	1439.0	888.0	817.0
27551.0	27881.0	330.0	825.0	829.0
27909.0	28519.0	610.0	860.0	667.0
28534.0	29144.0	610.0	878.0	706.0
29172.0	29932.0	760.0	885.0	596.0
29941.0	33349.0	3408.0	872.0	624.0
33367.0	33787.0	420.0	853.0	722.0
33798.0	34657.0	859.0	880.0	706.0
34680.0	34900.0	220.0	930.0	727.0
34920.0	35070.0	150.0	944.0	729.0
35090.0	35560.0	470.0	855.0	745.0
35570.0	36210.0	640.0	952.0	738.0
37306.0	38046.0	740.0	854.0	770.0
38054.0	38574.0	520.0	893.0	787.0
38584.0	38824.0	240.0	961.0	785.0
38868.0	39837.0	969.0	901.0	810.0
39877.0	40037.0	160.0	963.0	806.0
40067.0	40657.0	590.0	871.0	825.0
40727.0	40987.0	260.0	840.0	843.0
41035.0	41615.0	580.0	904.0	910.0
41666.0	41886.0	220.0	867.0	594.0
41896.0	42636.0	740.0	853.0	534.0
42673.0	43003.0	330.0	887.0	722.0
43020.0	43230.0	210.0	907.0	818.0
43271.0	43961.0	690.0	879.0	570.0
43972.0	44971.0	999.0	915.0	783.0
45032.0	45232.0	200.0	901.0	920.0
45272.0	45702.0	430.0	863.0	916.0
45833.0	46882.0	1049.0	689.0	843.0
46891.0	47900.0	1009.0	685.0	826.0
48109.0	48209.0	100.0	1056.0	817.0
48252.0	48332.0	80.0	987.0	804.0
48452.0	48532.0	80.0	1008.0	744.0
48551.0	48771.0	220.0	984.0	820.0
48792.0	49412.0	620.0	992.0	731.0
49632.0	50362.0	730.0	853.0	754.0
50367.0	51366.0	999.0	880.0	787.0
51391.0	51561.0	170.0	858.0	716.0
51591.0	53040.0	1449.0	835.0	620.0
53057.0	53647.0	590.0	843.0	753.0
53679.0	54019.0	340.0	837.0	618.0
54049.0	54649.0	600.0	862.0	827.0
54657.0	55127.0	470.0	851.0	758.0
55158.0	56067.0	909.0	830.0	599.0
56078.0	56278.0	200.0	833.0	670.0
56285.0	56635.0	350.0	854.0	725.0
56663.0	58582.0	1919.0	827.0	624.0
58645.0	59225.0	580.0	1026.0	461.0
59314.0	60413.0	1099.0	828.0	705.0
60575.0	63054.0	2479.0	867.0	778.0
63099.0	63489.0	390.0	1032.0	679.0
63499.0	64898.0	1399.0	980.0	769.0
64921.0	66730.0	1809.0	1001.0	709.0
66742.0	69121.0	2379.0	1021.0	668.0
69160.0	69510.0	350.0	926.0	685.0
69549.0	69889.0	340.0	946.0	761.0
69898.0	70518.0	620.0	932.0	704.0
70665.0	70815.0	150.0	808.0	833.0
70855.0	71095.0	240.0	859.0	857.0
71195.0	71445.0	250.0	879.0	860.0
71604.0	71724.0	120.0	1275.0	747.0
71739.0	71899.0	160.0	1279.0	734.0
71969.0	73038.0	1069.0	782.0	866.0
73254.0	73554.0	300.0	729.0	883.0
73658.0	73868.0	210.0	1188.0	761.0
73908.0	74228.0	320.0	1114.0	751.0
74306.0	74946.0	640.0	762.0	899.0
75025.0	75135.0	110.0	839.0	895.0
75277.0	75377.0	100.0	988.0	777.0
75414.0	75574.0	160.0	1001.0	788.0
75664.0	76084.0	420.0	808.0	834.0
76116.0	78585.0	2469.0	833.0	678.0
78611.0	78991.0	380.0	832.0	847.0
