Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0.0	195.0	195	829.0	573.0
320.0	500.0	180	855.0	535.0
580.0	700.0	120	809.0	546.0
720.0	810.0	90	807.0	559.0
850.0	1100.0	250	916.0	553.0
1119.0	1249.0	130	883.0	534.0
1269.0	1579.0	310	866.0	533.0
1599.0	1709.0	110	858.0	542.0
1819.0	1949.0	130	970.0	551.0
1969.0	2069.0	100	961.0	579.0
2129.0	2249.0	120	925.0	623.0
2399.0	2559.0	160	901.0	540.0
2579.0	2659.0	80	817.0	547.0
2678.0	2798.0	120	804.0	544.0
2848.0	3248.0	400	926.0	528.0
3308.0	3458.0	150	882.0	452.0
3498.0	3568.0	70	902.0	486.0
3648.0	3728.0	80	903.0	491.0
3768.0	3878.0	110	896.0	495.0
3918.0	4168.0	250	917.0	514.0
4218.0	4318.0	100	896.0	559.0
4337.0	4597.0	260	887.0	592.0
4617.0	4747.0	130	910.0	558.0
4787.0	4997.0	210	1163.0	540.0
5047.0	5147.0	100	1129.0	513.0
5167.0	5277.0	110	1101.0	514.0
5317.0	5577.0	260	1100.0	491.0
5597.0	5847.0	250	1091.0	446.0
5907.0	6147.0	240	905.0	448.0
6166.0	6266.0	100	893.0	434.0
6286.0	6546.0	260	899.0	415.0
6686.0	7216.0	530	917.0	400.0
7266.0	8135.0	869	933.0	381.0
8195.0	8845.0	650	952.0	375.0
8865.0	9115.0	250	916.0	395.0
9135.0	9395.0	260	900.0	420.0
9415.0	9985.0	570	903.0	440.0
10004.0	11413.0	1409	887.0	457.0
11433.0	11663.0	230	870.0	430.0
11703.0	11943.0	240	853.0	407.0
11983.0	12393.0	410	844.0	419.0
12413.0	12523.0	110	832.0	465.0
12603.0	12763.0	160	867.0	487.0
12783.0	12893.0	110	879.0	504.0
13232.0	13302.0	70	887.0	710.0
13342.0	13612.0	270	892.0	613.0
13632.0	13862.0	230	901.0	583.0
13902.0	14062.0	160	894.0	556.0
14082.0	14162.0	80	864.0	537.0
14212.0	14292.0	80	856.0	516.0
14312.0	14432.0	120	852.0	486.0
14452.0	15711.0	1259	863.0	458.0
15981.0	16081.0	100	592.0	406.0
16141.0	16211.0	70	714.0	465.0
16231.0	16351.0	120	802.0	494.0
16371.0	16631.0	260	863.0	514.0
16670.0	17060.0	390	890.0	481.0
17150.0	17310.0	160	871.0	428.0
17370.0	17610.0	240	870.0	382.0
17650.0	17740.0	90	879.0	323.0
17780.0	20089.0	2309	900.0	289.0
20128.0	20258.0	130	903.0	407.0
20438.0	20508.0	70	897.0	688.0
20518.0	20598.0	80	927.0	717.0
20688.0	20818.0	130	947.0	661.0
20998.0	21268.0	270	862.0	655.0
21288.0	21548.0	260	869.0	632.0
21697.0	21867.0	170	544.0	500.0
21967.0	22077.0	110	654.0	455.0
22097.0	22197.0	100	730.0	471.0
22237.0	22627.0	390	813.0	489.0
22647.0	23996.0	1349	835.0	506.0
24216.0	24806.0	590	826.0	502.0
24846.0	24976.0	130	833.0	499.0
24996.0	25126.0	130	819.0	493.0
25145.0	26034.0	889	833.0	494.0
26834.0	29043.0	2209	843.0	492.0
29083.0	29193.0	110	833.0	494.0
29213.0	29433.0	220	812.0	509.0
29623.0	29743.0	120	1091.0	666.0
29763.0	29873.0	110	981.0	589.0
29913.0	30093.0	180	892.0	533.0
30113.0	30183.0	70	863.0	522.0
30203.0	30313.0	110	866.0	504.0
30332.0	30532.0	200	880.0	500.0
30612.0	30732.0	120	862.0	522.0
30752.0	30842.0	90	877.0	511.0
30862.0	31412.0	550	885.0	513.0
31432.0	32411.0	979	901.0	508.0
32471.0	32631.0	160	884.0	544.0
32801.0	32901.0	100	642.0	592.0
33051.0	33121.0	70	798.0	628.0
33171.0	33241.0	70	491.0	663.0
33281.0	33411.0	130	662.0	670.0
33451.0	33551.0	100	718.0	654.0
33601.0	33681.0	80	780.0	621.0
33721.0	33831.0	110	839.0	606.0
33850.0	34190.0	340	898.0	564.0
34230.0	34350.0	120	935.0	503.0
34400.0	34910.0	510	918.0	432.0
34930.0	36049.0	1119	912.0	379.0
36069.0	36249.0	180	895.0	399.0
36269.0	36579.0	310	886.0	419.0
36649.0	36899.0	250	879.0	441.0
36969.0	37409.0	440	982.0	132.0
37588.0	38128.0	540	973.0	110.0
38188.0	38268.0	80	993.0	104.0
38288.0	38678.0	390	1015.0	77.0
38698.0	38778.0	80	1016.0	93.0
38868.0	39118.0	250	1020.0	103.0
39137.0	39957.0	820	1038.0	110.0
40117.0	40347.0	230	906.0	437.0
40367.0	40967.0	600	907.0	463.0
41436.0	41596.0	160	1162.0	393.0
41716.0	41866.0	150	1089.0	378.0
41886.0	41966.0	80	1103.0	373.0
41986.0	42546.0	560	1060.0	381.0
42685.0	42815.0	130	1006.0	400.0
42865.0	42965.0	100	988.0	411.0
42985.0	44584.0	1599	974.0	420.0
44684.0	50301.0	5617	966.0	433.0
50371.0	50541.0	170	1004.0	524.0
50651.0	50931.0	280	764.0	489.0
50981.0	51191.0	210	838.0	402.0
51230.0	51480.0	250	883.0	352.0
51670.0	52060.0	390	913.0	325.0
52080.0	52160.0	80	908.0	298.0
52350.0	52500.0	150	976.0	281.0
52520.0	52610.0	90	985.0	331.0
52670.0	52780.0	110	1123.0	307.0
52800.0	53060.0	260	1087.0	411.0
53099.0	53259.0	160	1022.0	560.0
53379.0	53589.0	210	923.0	572.0
53629.0	53799.0	170	910.0	534.0
53819.0	53889.0	70	906.0	514.0
53929.0	54139.0	210	1185.0	558.0
54179.0	54299.0	120	1116.0	533.0
54638.0	54728.0	90	861.0	486.0
54748.0	54828.0	80	878.0	475.0
54868.0	55118.0	250	918.0	447.0
55138.0	55248.0	110	927.0	412.0
55268.0	55548.0	280	948.0	398.0
55568.0	57317.0	1749	932.0	404.0
57337.0	57467.0	130	943.0	420.0
57487.0	57607.0	120	934.0	430.0
57687.0	58497.0	810	940.0	431.0
