Recording timestamp	Computer timestamp	Sensor	Eye movement type	Gaze event duration	Fixation point X	Fixation point Y
0	1397415409	Eye Tracker	Fixation	195	897	593
9991	1397425400	Eye Tracker	Fixation	195	897	593
19980	1397435389	Eye Tracker	Fixation	195	897	593
29977	1397445386	Eye Tracker	Fixation	195	897	593
39969	1397455378	Eye Tracker	Fixation	195	897	593
49954	1397465363	Eye Tracker	Fixation	195	897	593
59948	1397475357	Eye Tracker	Fixation	195	897	593
69972	1397485381	Eye Tracker	Fixation	195	897	593
79966	1397495375	Eye Tracker	Fixation	195	897	593
89954	1397505363	Eye Tracker	Fixation	195	897	593
99943	1397515352	Eye Tracker	Fixation	195	897	593
109940	1397525349	Eye Tracker	Fixation	195	897	593
119931	1397535340	Eye Tracker	Fixation	195	897	593
129921	1397545330	Eye Tracker	Fixation	195	897	593
139913	1397555322	Eye Tracker	Fixation	195	897	593
149904	1397565313	Eye Tracker	Fixation	195	897	593
159899	1397575308	Eye Tracker	Fixation	195	897	593
169886	1397585295	Eye Tracker	Fixation	195	897	593
179880	1397595289	Eye Tracker	Fixation	195	897	593
189872	1397605281	Eye Tracker	Fixation	195	897	593
319825	1397735234	Eye Tracker	Fixation	350	894	578
329816	1397745225	Eye Tracker	Fixation	350	894	578
339806	1397755215	Eye Tracker	Fixation	350	894	578
349798	1397765207	Eye Tracker	Fixation	350	894	578
359792	1397775201	Eye Tracker	Fixation	350	894	578
369779	1397785188	Eye Tracker	Fixation	350	894	578
379774	1397795183	Eye Tracker	Fixation	350	894	578
389767	1397805176	Eye Tracker	Fixation	350	894	578
399758	1397815167	Eye Tracker	Fixation	350	894	578
409748	1397825157	Eye Tracker	Fixation	350	894	578
419751	1397835160	Eye Tracker	Fixation	350	894	578
429754	1397845163	Eye Tracker	Fixation	350	894	578
439757	1397855166	Eye Tracker	Fixation	350	894	578
449743	1397865152	Eye Tracker	Fixation	350	894	578
459736	1397875145	Eye Tracker	Fixation	350	894	578
469728	1397885137	Eye Tracker	Fixation	350	894	578
479724	1397895133	Eye Tracker	Fixation	350	894	578
489712	1397905121	Eye Tracker	Fixation	350	894	578
499701	1397915110	Eye Tracker	Fixation	350	894	578
