Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0.0	175.0	175	966.0	578.0
280.0	530.0	250	972.0	555.0
550.0	790.0	240	964.0	544.0
830.0	1240.0	410	975.0	535.0
1279.0	1389.0	110	982.0	527.0
1409.0	1479.0	70	913.0	530.0
1519.0	1759.0	240	926.0	548.0
1779.0	2059.0	280	913.0	590.0
2079.0	2209.0	130	907.0	547.0
2229.0	2329.0	100	885.0	526.0
2349.0	2559.0	210	862.0	503.0
2598.0	2698.0	100	875.0	494.0
2748.0	2848.0	100	876.0	468.0
2868.0	3388.0	520	881.0	445.0
3468.0	3678.0	210	890.0	433.0
3788.0	3888.0	100	1030.0	402.0
4018.0	4108.0	90	931.0	390.0
4128.0	4228.0	100	934.0	416.0
4268.0	4508.0	240	923.0	441.0
4527.0	4657.0	130	890.0	467.0
4677.0	4907.0	230	882.0	504.0
4947.0	5157.0	210	890.0	525.0
5217.0	5327.0	110	972.0	534.0
5367.0	5447.0	80	945.0	549.0
5477.0	5617.0	140	1062.0	582.0
5667.0	5877.0	210	983.0	556.0
5917.0	6167.0	250	940.0	549.0
6186.0	6306.0	120	905.0	535.0
6336.0	6576.0	240	1031.0	447.0
6616.0	6776.0	160	1022.0	451.0
6896.0	7126.0	230	641.0	320.0
7206.0	7416.0	210	840.0	291.0
7436.0	7816.0	380	892.0	298.0
7835.0	7945.0	110	927.0	280.0
7965.0	8075.0	110	926.0	266.0
8145.0	8315.0	170	917.0	246.0
8395.0	8565.0	170	929.0	234.0
8585.0	9175.0	590	946.0	233.0
9235.0	9475.0	240	956.0	251.0
9494.0	9594.0	100	951.0	265.0
10214.0	10424.0	210	940.0	287.0
10494.0	11024.0	530	959.0	274.0
11114.0	11344.0	230	958.0	268.0
11363.0	11663.0	300	959.0	287.0
11953.0	12163.0	210	945.0	292.0
12203.0	12713.0	510	935.0	300.0
12733.0	13143.0	410	910.0	320.0
13702.0	13962.0	260	875.0	322.0
