Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
39.999	69.999	30
49.992	79.99199999999999	30
59.988	89.988	30
669.626	689.626	20
679.619	699.619	20
4867.19	4907.19	40
4877.184	4917.184	40
4887.177	4927.177	40
4897.172	4937.172	40
6086.449	6116.449	30
6096.444	6126.444	30
6106.462	6136.462	30
11963.042	11983.042	20
11973.034	11993.034	20
13402.203	13422.203	20
13412.199	13432.199	20
15880.749	15910.749	30
15890.739	15920.739	30
15900.726	15930.726	30
15990.682	16010.682	20
16000.675	16020.675	20
16050.635	16080.635	30
16060.625	16090.625	30
16070.645	16100.645	30
19408.689	19448.689	40
19418.675	19458.675	40
19428.667	19468.667	40
19438.661	19478.661	40
19578.572	19598.572	20
19588.594	19608.594	20
19638.553	19658.553	20
19648.547	19668.547	20
20108.283	20168.283	60
20118.275	20178.275	60
20128.271	20188.271	60
20138.257	20198.257	60
20148.248	20208.248	60
20158.244	20218.244	60
20218.22	20268.22	50
20228.214	20278.214	50
20238.205	20288.205	50
20248.2	20298.2	50
20258.188	20308.188	50
20308.177	20348.177	40
20318.17	20358.17	40
20328.165	20368.165	40
20338.151	20378.151	40
20378.12	20398.12	20
20388.108	20408.108	20
23826.126	23846.126	20
23836.118	23856.118	20
23866.09	23886.09	20
23876.087	23896.087	20
23986.022	24016.022	30
23996.018	24026.018	30
24006.008	24036.008	30
24205.903	24225.903	20
24215.89	24235.89	20
25764.996	25854.996	90
25774.987	25864.987	90
25784.977	25874.977	90
25794.974	25884.974	90
25804.966	25894.966	90
25814.957	25904.957	90
25824.945	25914.945	90
25834.938	25924.938	90
25844.933	25934.933	90
25874.905	25904.905	30
25884.897	25914.897	30
25894.887	25924.887	30
26404.617	26444.617	40
26414.608	26454.608	40
26424.597	26464.597	40
26434.59	26474.59	40
28203.573	28233.573	30
28213.564	28243.564	30
28223.553	28253.553	30
28453.421	28473.421	20
28463.415	28483.415	20
28523.367	28543.367	20
28533.354	28553.354	20
32740.911	32770.911	30
32750.904	32780.903999999995	30
32760.9	32790.9	30
32920.795	32980.795	60
32930.786	32990.786	60
32940.806	33000.806	60
32950.799	33010.799	60
32960.794	33020.794	60
32970.779	33030.779	60
33080.725	33100.725	20
33090.711	33110.711	20
33300.565	33320.565	20
33310.561	33330.561	20
36258.861	36278.861	20
36268.853	36288.853	20
41425.832	41515.832	90
41435.821	41525.821	90
41445.814	41535.814	90
41455.835	41545.835	90
41465.827	41555.827	90
41475.821	41565.821	90
41485.807	41575.807	90
41495.801	41585.801	90
41505.793	41595.793	90
42095.454	42155.454	60
42105.445	42165.445	60
42115.437	42175.437	60
42125.429	42185.429	60
42135.417	42195.417	60
42145.415	42205.415	60
50260.685	50300.685	40
50270.676	50310.676	40
50280.667	50320.667	40
50290.656	50330.656	40
50370.619	50390.619	20
50380.616	50400.616	20
50590.5	50610.5	20
50600.487	50620.487	20
50620.474	50630.474	10
51639.867	51649.867	10
51709.843	51739.843	30
51719.83	51749.83	30
51729.823	51759.823	30
51799.794	51819.794	20
51809.787	51829.787	20
52459.399	52479.399	20
52469.389	52489.389	20
52539.361	52559.361	20
52549.352	52569.352	20
52649.296	52679.296	30
52659.292	52689.292	30
52669.282	52699.282	30
52739.223	52759.223	20
52749.247	52769.247	20
52929.126	52949.126	20
52939.118	52959.118	20
52999.097	53019.097	20
53009.09	53029.09	20
53698.668	53768.668	70
53708.662	53778.662	70
53718.649	53788.649	70
53728.642	53798.642	70
53738.635	53808.635	70
53748.656	53818.656	70
53758.648	53828.648	70
56467.058	56507.058	40
56477.05	56517.05	40
56487.038	56527.038	40
56497.036	56537.036	40
60904.455	60914.455	10
61773.943	61813.943	40
61783.963	61823.963	40
61793.954	61833.954	40
61803.945	61843.945	40
61943.862	62003.862	60
61953.85	62013.85	60
61963.844	62023.844	60
61973.836	62033.836	60
61983.827	62043.827	60
61993.817	62053.817	60
62023.826	62043.826	20
62033.811	62053.811	20
63253.103	63283.103	30
63263.099	63293.099	30
63273.086	63303.086	30
63303.063	63333.063	30
63313.053	63343.053	30
63323.042	63353.042	30
63422.993	63462.993	40
63432.979	63472.979	40
63442.973	63482.973	40
63452.966	63492.966	40
64062.614	64082.614	20
64072.6	64092.6	20
64122.59	64142.59	20
64132.581	64152.581	20
65261.917	65301.917	40
65271.905	65311.905	40
65281.893	65321.893	40
65291.89	65331.89	40
65631.699	65651.699	20
65641.687	65661.687	20
65671.661	65701.661	30
65681.655	65711.655	30
65691.679	65721.679	30
65721.65	65761.65	40
65731.648	65771.648	40
65741.637	65781.637	40
65751.626	65791.626	40
67150.822	67190.822	40
67160.815	67200.815	40
67170.809	67210.809	40
67180.804	67220.804	40
67620.527	67650.527	30
67630.517	67660.517	30
67640.537	67670.537	30
68759.878	68779.878	20
68769.871	68789.871	20
69029.716	69049.716	20
69039.705	69059.705	20
69089.665	69109.665	20
69099.688	69119.688	20
69169.629	69189.629	20
69179.624	69199.624	20
69439.463	69459.463	20
69449.456	69469.456	20
