Recording timestamp	Computer timestamp	Sensor	Eye movement type	Gaze event duration	Fixation point X	Fixation point Y
0	1046436108	Eye Tracker	Fixation	195	829	573
9991	1046446099	Eye Tracker	Fixation	195	829	573
19982	1046456090	Eye Tracker	Fixation	195	829	573
29973	1046466081	Eye Tracker	Fixation	195	829	573
39968	1046476076	Eye Tracker	Fixation	195	829	573
49955	1046486063	Eye Tracker	Fixation	195	829	573
59950	1046496058	Eye Tracker	Fixation	195	829	573
69973	1046506081	Eye Tracker	Fixation	195	829	573
79963	1046516071	Eye Tracker	Fixation	195	829	573
89953	1046526061	Eye Tracker	Fixation	195	829	573
99943	1046536051	Eye Tracker	Fixation	195	829	573
109940	1046546048	Eye Tracker	Fixation	195	829	573
119932	1046556040	Eye Tracker	Fixation	195	829	573
129919	1046566027	Eye Tracker	Fixation	195	829	573
139913	1046576021	Eye Tracker	Fixation	195	829	573
149904	1046586012	Eye Tracker	Fixation	195	829	573
159899	1046596007	Eye Tracker	Fixation	195	829	573
169887	1046605995	Eye Tracker	Fixation	195	829	573
179876	1046615984	Eye Tracker	Fixation	195	829	573
189872	1046625980	Eye Tracker	Fixation	195	829	573
319826	1046755934	Eye Tracker	Fixation	180	855	535
329812	1046765920	Eye Tracker	Fixation	180	855	535
339806	1046775914	Eye Tracker	Fixation	180	855	535
349798	1046785906	Eye Tracker	Fixation	180	855	535
359794	1046795902	Eye Tracker	Fixation	180	855	535
369781	1046805889	Eye Tracker	Fixation	180	855	535
379771	1046815879	Eye Tracker	Fixation	180	855	535
389768	1046825876	Eye Tracker	Fixation	180	855	535
399757	1046835865	Eye Tracker	Fixation	180	855	535
409749	1046845857	Eye Tracker	Fixation	180	855	535
419770	1046855878	Eye Tracker	Fixation	180	855	535
429762	1046865870	Eye Tracker	Fixation	180	855	535
439757	1046875865	Eye Tracker	Fixation	180	855	535
449743	1046885851	Eye Tracker	Fixation	180	855	535
459737	1046895845	Eye Tracker	Fixation	180	855	535
469730	1046905838	Eye Tracker	Fixation	180	855	535
479722	1046915830	Eye Tracker	Fixation	180	855	535
489712	1046925820	Eye Tracker	Fixation	180	855	535
499706	1046935814	Eye Tracker	EyesNotFound	80		
509700	1046945808	Eye Tracker	EyesNotFound	80		
519694	1046955802	Eye Tracker	EyesNotFound	80		
529688	1046965796	Eye Tracker	EyesNotFound	80		
539682	1046975790	Eye Tracker	EyesNotFound	80		
549676	1046985784	Eye Tracker	EyesNotFound	80		
559670	1046995778	Eye Tracker	EyesNotFound	80		
569664	1047005772	Eye Tracker	EyesNotFound	80		
579665	1047015773	Eye Tracker	Fixation	120	809	546
589661	1047025769	Eye Tracker	Fixation	120	809	546
599652	1047035760	Eye Tracker	Fixation	120	809	546
609642	1047045750	Eye Tracker	Fixation	120	809	546
619633	1047055741	Eye Tracker	Fixation	120	809	546
629627	1047065735	Eye Tracker	Fixation	120	809	546
639621	1047075729	Eye Tracker	Fixation	120	809	546
649607	1047085715	Eye Tracker	Fixation	120	809	546
659601	1047095709	Eye Tracker	Fixation	120	809	546
669625	1047105733	Eye Tracker	Fixation	120	809	546
679616	1047115724	Eye Tracker	Fixation	120	809	546
689606	1047125714	Eye Tracker	Fixation	120	809	546
699598	1047135706	Eye Tracker	EyesNotFound	20		
709590	1047145698	Eye Tracker	EyesNotFound	20		
719583	1047155691	Eye Tracker	Fixation	90	807	559
729570	1047165678	Eye Tracker	Fixation	90	807	559
739565	1047175673	Eye Tracker	Fixation	90	807	559
749555	1047185663	Eye Tracker	Fixation	90	807	559
759551	1047195659	Eye Tracker	Fixation	90	807	559
769540	1047205648	Eye Tracker	Fixation	90	807	559
779528	1047215636	Eye Tracker	Fixation	90	807	559
789525	1047225633	Eye Tracker	Fixation	90	807	559
799547	1047235655	Eye Tracker	Fixation	90	807	559
809537	1047245645	Eye Tracker	EyesNotFound	40		
819527	1047255635	Eye Tracker	EyesNotFound	40		
829517	1047265625	Eye Tracker	EyesNotFound	40		
839507	1047275615	Eye Tracker	EyesNotFound	40		
849501	1047285609	Eye Tracker	Fixation	250	916	553
859494	1047295602	Eye Tracker	Fixation	250	916	553
869488	1047305596	Eye Tracker	Fixation	250	916	553
879480	1047315588	Eye Tracker	Fixation	250	916	553
889470	1047325578	Eye Tracker	Fixation	250	916	553
899490	1047335598	Eye Tracker	Fixation	250	916	553
909486	1047345594	Eye Tracker	Fixation	250	916	553
919478	1047355586	Eye Tracker	Fixation	250	916	553
929465	1047365573	Eye Tracker	Fixation	250	916	553
939458	1047375566	Eye Tracker	Fixation	250	916	553
949450	1047385558	Eye Tracker	Fixation	250	916	553
959441	1047395549	Eye Tracker	Fixation	250	916	553
969432	1047405540	Eye Tracker	Fixation	250	916	553
979423	1047415531	Eye Tracker	Fixation	250	916	553
989419	1047425527	Eye Tracker	Fixation	250	916	553
999410	1047435518	Eye Tracker	Fixation	250	916	553
1009400	1047445508	Eye Tracker	Fixation	250	916	553
1019422	1047455530	Eye Tracker	Fixation	250	916	553
1029414	1047465522	Eye Tracker	Fixation	250	916	553
1039409	1047475517	Eye Tracker	Fixation	250	916	553
1049396	1047485504	Eye Tracker	Fixation	250	916	553
1059389	1047495497	Eye Tracker	Fixation	250	916	553
1069383	1047505491	Eye Tracker	Fixation	250	916	553
1079374	1047515482	Eye Tracker	Fixation	250	916	553
1089364	1047525472	Eye Tracker	Fixation	250	916	553
1099356	1047535464	Eye Tracker	EyesNotFound	20		
1109348	1047545456	Eye Tracker	EyesNotFound	20		
1119342	1047555450	Eye Tracker	Fixation	130	883	534
1129359	1047565467	Eye Tracker	Fixation	130	883	534
1139353	1047575461	Eye Tracker	Fixation	130	883	534
1149345	1047585453	Eye Tracker	Fixation	130	883	534
1159340	1047595448	Eye Tracker	Fixation	130	883	534
1169327	1047605435	Eye Tracker	Fixation	130	883	534
1179317	1047615425	Eye Tracker	Fixation	130	883	534
1189313	1047625421	Eye Tracker	Fixation	130	883	534
1199303	1047635411	Eye Tracker	Fixation	130	883	534
1209293	1047645401	Eye Tracker	Fixation	130	883	534
1219286	1047655394	Eye Tracker	Fixation	130	883	534
1229279	1047665387	Eye Tracker	Fixation	130	883	534
1239273	1047675381	Eye Tracker	Fixation	130	883	534
1249274	1047685382	Eye Tracker	EyesNotFound	20		
1259275	1047695383	Eye Tracker	EyesNotFound	20		
1269276	1047705384	Eye Tracker	Fixation	310	866	533
1279268	1047715376	Eye Tracker	Fixation	310	866	533
1289258	1047725366	Eye Tracker	Fixation	310	866	533
1299248	1047735356	Eye Tracker	Fixation	310	866	533
1309244	1047745352	Eye Tracker	Fixation	310	866	533
1319235	1047755343	Eye Tracker	Fixation	310	866	533
1329223	1047765331	Eye Tracker	Fixation	310	866	533
1339217	1047775325	Eye Tracker	Fixation	310	866	533
1349208	1047785316	Eye Tracker	Fixation	310	866	533
