start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action
									
1.669	1.769	242	10	199	490.7	0	410.2	1600	Cap Off
									
1.809	1.909	247.2	9.4	202.5	501.7	0	1600	1600	Cap Off
									
2.069	2.169	300.4	19	190	556	0	1600	1600	Cap Off
									
2.169	2.269	280.9	15.3	186.1	501.8	0	395.8	406.3	Cap Off
									
2.269	2.359	268.8	11.2	187.2	486.3	0	394	1600	Cap Off
									
2.409	2.509	257.6	0	195	462.4	6	382.4	1600	Cap Off
									
2.509	2.609	254.8	10.4	192	468.2	0	361.9	1600	Cap Off
									
2.609	2.709	273.9	21.1	190.4	490.5	0	333.5	800	Cap Off
									
2.709	2.809	285.2	22.1	202.8	502.2	0	324.3	791	Cap Off
									
2.809	2.909	298.9	28.1	209.6	516.4	0	320.1	1600	Cap Off
									
2.909	3.009	306	41.4	198	524.8	0	316.5	1600	Cap Off
									
3.009	3.109	305	60.2	196	521.6	0	333.8	1600	Cap Off
									
3.178	3.278	305.5	53	209	514.1	0	357.4	1600	Cap Off
									
3.278	3.358	300.8	38.3	222	505.3	0	358.4	1600	Cap Off
									
3.458	3.558	334.3	52	214	532	0	348.6	1600	Cap Off
									
3.558	3.618	332.7	48.2	224	536	0	354.4	1600	Cap Off
									
3.628	3.728	325.6	19	253.2	514	0	392.3	1600	Cap Off
									
3.858	3.958	394.2	317	371.9	1600	0	280.1	1600	Cap Off
									
3.958	4.058	396.4	806.6	351.6	1600	0	260.3	1600	Cap Off
									
4.058	4.158	400.6	266.1	334.4	726.4	0	242.9	1600	Cap Off
									
4.158	4.258	395.4	178.5	307.9	636.3	2	227.7	1600	Cap Off
									
4.308	4.408	358.9	66.1	324.6	562.2	0	276	1600	Cap Off
									
4.447	4.537	348.9	117.7	318.7	526.7	0	308.9	1600	Cap Off
									
4.557	4.657	295.5	118.4	340.5	480.3	0	356.2	1600	Cap Off
									
4.707	4.807	269.1	133	342.4	460.2	0	385.3	1600	Cap Off
									
4.807	4.907	279.9	113.5	325.7	475.6	0	376	1600	Cap Off
									
5.037	5.127	309.8	127.4	258.1	532.6	0	320.5	1600	Cap Off
									
5.177	5.277	248.1	69.1	296.4	490	0	340.2	825.1	Cap Off
									
5.297	5.397	220.1	50.6	306.2	460.7	0	349	1600	Cap Off
									
5.427	5.527	211	68	285	440.5	0	352.8	1600	Cap Off
									
5.527	5.627	220	62.4	1600	450.3	0	341.8	1600	Cap Off
									
5.627	5.727	235	68.2	1600	468.3	0	330	1600	Cap Off
									
5.727	5.777	260.3	90.4	353.8	496.8	12	311.5	1600	Cap Off
									
5.867	5.967	609	328.1	1600	865.2	297.8	9	425.2	Apply Tip
									
5.997	6.097	618.2	334.9	1600	879.1	299.2	11.7	417.2	Apply Tip
									
6.146	6.246	614	325.7	1600	883.7	289.3	2	1600	Apply Tip
									
6.246	6.346	620.8	331.7	1600	890.9	308	6.7	420.4	Apply Tip
									
6.346	6.406	604	317.6	656.8	870.2	302.4	1600	439.2	Apply Tip
									
6.466	6.556	337	198.3	1600	572.2	0	357	723.7	Apply Tip
									
