Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
579.663	619.663	40
589.66	629.66	40
599.651	639.651	40
609.638	649.638	40
1359.197	1389.197	30
1369.188	1399.188	30
1379.178	1409.178	30
1439.164	1459.164	20
1449.153	1469.153	20
1649.048	1669.048	20
1659.007	1679.007	20
1978.831	1998.831	20
1988.827	2008.827	20
2048.803	2068.803	20
2058.794	2078.794	20
3617.892	3627.892	10
3757.807	3777.807	20
3767.798	3787.798	20
5027.082	5037.082	10
5776.636	5806.636	30
5786.633	5816.633	30
5796.625	5826.625	30
5846.611	5866.611	20
5856.6	5876.6	20
6426.281	6466.281	40
6436.275	6476.275	40
6446.262	6486.262	40
6456.256	6496.256	40
13971.904	14021.904	50
13981.898	14031.898	50
13991.888	14041.888	50
14001.879	14051.879	50
14011.868	14061.868	50
16720.313	16750.313	30
16730.301	16760.301	30
16740.326	16770.326	30
16780.292	16800.292	20
16790.285	16810.285	20
16920.208	16940.208	20
16930.196	16950.196	20
19548.688	19578.688	30
19558.673	19588.673	30
19568.666	19598.666	30
19768.559	19788.559	20
19778.553	19798.553	20
19808.524	19828.524	20
19818.522	19838.522	20
19878.497	19898.497	20
19888.491	19908.491	20
19918.466	19938.466	20
19928.455	19948.455	20
28683.407	28713.407	30
28693.4	28723.4	30
28703.395	28733.395	30
28873.278	28913.278	40
28883.269	28923.269	40
28893.261	28933.261	40
28903.257	28943.257	40
28933.26	28943.26	10
28993.208	29023.208	30
29003.201	29033.201	30
29013.192	29043.192	30
29073.173	29083.173	10
33380.679	33400.679	20
33390.666	33410.666	20
36368.948	36398.948	30
36378.939	36408.939	30
36388.93	36418.93	30
36458.902	36478.902	20
36468.893	36488.893	20
36518.851	36528.851	10
38627.639	38677.639	50
38637.632	38687.632	50
38647.624	38697.624	50
38657.616	38707.616	50
38667.607	38717.607	50
39617.061	39647.061	30
39627.047	39657.047	30
39637.042	39667.042	30
39796.968	39836.968	40
39806.959	39846.959	40
39816.954	39856.954	40
39826.942	39866.942	40
39886.925	39896.925	10
48481.948	48501.948	20
48491.94	48511.94	20
50081.009	50111.009	30
50091.001	50121.001	30
50100.992	50130.992	30
50700.644	50770.644	70
50710.663	50780.663	70
50720.659	50790.659	70
50730.65	50800.65	70
50740.639	50810.639	70
50750.633	50820.633	70
50760.626	50830.626	70
51290.308	51370.308	80
51300.295	51380.295	80
51310.284	51390.284	80
51320.281	51400.281	80
51330.302	51410.302	80
51340.293	51420.293	80
51350.283	51430.283	80
51360.276	51440.276	80
51420.225	51430.225	10
51470.215	51490.215	20
51480.206	51500.206	20
51500.189	51510.189	10
59225.722	59245.722	20
59235.719	59255.719	20
59265.691	59295.691	30
59275.683	59305.683	30
59285.678	59315.678	30
60604.913	60644.913	40
60614.9	60654.9	40
60624.889	60664.889	40
60634.885	60674.885	40
61144.61	61164.61	20
61154.605	61174.605	20
65302.209	65322.209	20
65312.201	65332.201	20
66991.224	67061.224	70
67001.221	67071.221	70
67011.206	67081.206	70
67021.2	67091.2	70
67031.192	67101.192	70
67041.184	67111.184	70
67051.175	67121.175	70
67071.16	67091.16	20
67081.183	67101.183	20
67111.155	67141.155	30
67121.152	67151.152	30
67131.136	67161.136	30
67151.124	67181.124	30
67161.115	67191.115	30
67171.106	67201.106	30
67311.019	67331.019	20
67321.015	67341.015	20
67341.023	67351.023	10
67620.853	67650.853	30
67630.844	67660.844	30
67640.837	67670.837	30
67670.845	67690.845	20
67680.835	67700.835	20
67710.809	67720.809	10
67990.635	68010.635	20
68000.63	68020.63	20
