Recording timestamp	Computer timestamp	Sensor	Eye movement type	Gaze event duration	Fixation point X	Fixation point Y
0	3514316379	Eye Tracker	Fixation	205	835	583
9997	3514326376	Eye Tracker	Fixation	205	835	583
20018	3514336397	Eye Tracker	Fixation	205	835	583
30006	3514346385	Eye Tracker	Fixation	205	835	583
40000	3514356379	Eye Tracker	Fixation	205	835	583
49992	3514366371	Eye Tracker	Fixation	205	835	583
59987	3514376366	Eye Tracker	Fixation	205	835	583
69973	3514386352	Eye Tracker	Fixation	205	835	583
79965	3514396344	Eye Tracker	Fixation	205	835	583
89961	3514406340	Eye Tracker	Fixation	205	835	583
99951	3514416330	Eye Tracker	Fixation	205	835	583
109942	3514426321	Eye Tracker	Fixation	205	835	583
119931	3514436310	Eye Tracker	Fixation	205	835	583
129924	3514446303	Eye Tracker	Fixation	205	835	583
139919	3514456298	Eye Tracker	Fixation	205	835	583
149936	3514466315	Eye Tracker	Fixation	205	835	583
159930	3514476309	Eye Tracker	Fixation	205	835	583
169922	3514486301	Eye Tracker	Fixation	205	835	583
179915	3514496294	Eye Tracker	Fixation	205	835	583
189906	3514506285	Eye Tracker	Fixation	205	835	583
199894	3514516273	Eye Tracker	Fixation	205	835	583
329820	3514646199	Eye Tracker	Fixation	860	834	566
339814	3514656193	Eye Tracker	Fixation	860	834	566
349800	3514666179	Eye Tracker	Fixation	860	834	566
359794	3514676173	Eye Tracker	Fixation	860	834	566
369786	3514686165	Eye Tracker	Fixation	860	834	566
379776	3514696155	Eye Tracker	Fixation	860	834	566
389772	3514706151	Eye Tracker	Fixation	860	834	566
399768	3514716147	Eye Tracker	Fixation	860	834	566
409764	3514726143	Eye Tracker	Fixation	860	834	566
419760	3514736139	Eye Tracker	Fixation	860	834	566
429756	3514746135	Eye Tracker	Fixation	860	834	566
439752	3514756131	Eye Tracker	Fixation	860	834	566
449749	3514766128	Eye Tracker	Fixation	860	834	566
459745	3514776124	Eye Tracker	Fixation	860	834	566
469731	3514786110	Eye Tracker	Fixation	860	834	566
479721	3514796100	Eye Tracker	Fixation	860	834	566
489717	3514806096	Eye Tracker	Fixation	860	834	566
499708	3514816087	Eye Tracker	Fixation	860	834	566
509700	3514826079	Eye Tracker	Fixation	860	834	566
519690	3514836069	Eye Tracker	Fixation	860	834	566
529713	3514846092	Eye Tracker	Fixation	860	834	566
539708	3514856087	Eye Tracker	Fixation	860	834	566
549694	3514866073	Eye Tracker	Fixation	860	834	566
559688	3514876067	Eye Tracker	Fixation	860	834	566
569681	3514886060	Eye Tracker	Fixation	860	834	566
579673	3514896052	Eye Tracker	Fixation	860	834	566
589664	3514906043	Eye Tracker	Fixation	860	834	566
599652	3514916031	Eye Tracker	Fixation	860	834	566
609648	3514926027	Eye Tracker	Fixation	860	834	566
619639	3514936018	Eye Tracker	Fixation	860	834	566
629627	3514946006	Eye Tracker	Fixation	860	834	566
639620	3514955999	Eye Tracker	Fixation	860	834	566
649643	3514966022	Eye Tracker	Fixation	860	834	566
659639	3514976018	Eye Tracker	Fixation	860	834	566
669625	3514986004	Eye Tracker	Fixation	860	834	566
679617	3514995996	Eye Tracker	Fixation	860	834	566
689609	3515005988	Eye Tracker	Fixation	860	834	566
699602	3515015981	Eye Tracker	Fixation	860	834	566
709594	3515025973	Eye Tracker	Fixation	860	834	566
719584	3515035963	Eye Tracker	Fixation	860	834	566
729576	3515045955	Eye Tracker	Fixation	860	834	566
739570	3515055949	Eye Tracker	Fixation	860	834	566
749589	3515065968	Eye Tracker	Fixation	860	834	566
759582	3515075961	Eye Tracker	Fixation	860	834	566
769575	3515085954	Eye Tracker	Fixation	860	834	566
779566	3515095945	Eye Tracker	Fixation	860	834	566
789558	3515105937	Eye Tracker	Fixation	860	834	566
799547	3515115926	Eye Tracker	Fixation	860	834	566
809542	3515125921	Eye Tracker	Fixation	860	834	566
819533	3515135912	Eye Tracker	Fixation	860	834	566
829524	3515145903	Eye Tracker	Fixation	860	834	566
839515	3515155894	Eye Tracker	Fixation	860	834	566
849507	3515165886	Eye Tracker	Fixation	860	834	566
859502	3515175881	Eye Tracker	Fixation	860	834	566
869489	3515185868	Eye Tracker	Fixation	860	834	566
879486	3515195865	Eye Tracker	Fixation	860	834	566
889483	3515205862	Eye Tracker	Fixation	860	834	566
899480	3515215859	Eye Tracker	Fixation	860	834	566
909477	3515225856	Eye Tracker	Fixation	860	834	566
919477	3515235856	Eye Tracker	Fixation	860	834	566
929471	3515245850	Eye Tracker	Fixation	860	834	566
939466	3515255845	Eye Tracker	Fixation	860	834	566
949452	3515265831	Eye Tracker	Fixation	860	834	566
959446	3515275825	Eye Tracker	Fixation	860	834	566
969439	3515285818	Eye Tracker	Fixation	860	834	566
979439	3515295818	Eye Tracker	Fixation	860	834	566
989439	3515305818	Eye Tracker	Fixation	860	834	566
999441	3515315820	Eye Tracker	Fixation	860	834	566
1009438	3515325817	Eye Tracker	Fixation	860	834	566
1019428	3515335807	Eye Tracker	Fixation	860	834	566
1029416	3515345795	Eye Tracker	Fixation	860	834	566
1039410	3515355789	Eye Tracker	Fixation	860	834	566
1049401	3515365780	Eye Tracker	Fixation	860	834	566
1059396	3515375775	Eye Tracker	Fixation	860	834	566
1069383	3515385762	Eye Tracker	Fixation	860	834	566
1079374	3515395753	Eye Tracker	Fixation	860	834	566
1089370	3515405749	Eye Tracker	Fixation	860	834	566
1099360	3515415739	Eye Tracker	Fixation	860	834	566
1109361	3515425740	Eye Tracker	Fixation	860	834	566
1119362	3515435741	Eye Tracker	Fixation	860	834	566
1129365	3515445744	Eye Tracker	Fixation	860	834	566
1139360	3515455739	Eye Tracker	Fixation	860	834	566
1149345	3515465724	Eye Tracker	Fixation	860	834	566
1159340	3515475719	Eye Tracker	Fixation	860	834	566
1169333	3515485712	Eye Tracker	Fixation	860	834	566
1179325	3515495704	Eye Tracker	Fixation	860	834	566
1189316	3515505695	Eye Tracker	Saccade	20		
1199304	3515515683	Eye Tracker	Saccade	20		
1209301	3515525680	Eye Tracker	Fixation	70	906	546
1219292	3515535671	Eye Tracker	Fixation	70	906	546
1229279	3515545658	Eye Tracker	Fixation	70	906	546
1239272	3515555651	Eye Tracker	Fixation	70	906	546
1249296	3515565675	Eye Tracker	Fixation	70	906	546
1259291	3515575670	Eye Tracker	Fixation	70	906	546
1269277	3515585656	Eye Tracker	Fixation	70	906	546
1279269	3515595648	Eye Tracker	EyesNotFound	20		
1289261	3515605640	Eye Tracker	EyesNotFound	20		
1299254	3515615633	Eye Tracker	Fixation	100	912	525
1309245	3515625624	Eye Tracker	Fixation	100	912	525
1319235	3515635614	Eye Tracker	Fixation	100	912	525
1329229	3515645608	Eye Tracker	Fixation	100	912	525
1339224	3515655603	Eye Tracker	Fixation	100	912	525
1349210	3515665589	Eye Tracker	Fixation	100	912	525
1359205	3515675584	Eye Tracker	Fixation	100	912	525
1369196	3515685575	Eye Tracker	Fixation	100	912	525
1379218	3515695597	Eye Tracker	Fixation	100	912	525
1389209	3515705588	Eye Tracker	Fixation	100	912	525
1399201	3515715580	Eye Tracker	EyesNotFound	20		
1409193	3515725572	Eye Tracker	EyesNotFound	20		
1419186	3515735565	Eye Tracker	Fixation	110	920	505
1429174	3515745553	Eye Tracker	Fixation	110	920	505
1439168	3515755547	Eye Tracker	Fixation	110	920	505
1449159	3515765538	Eye Tracker	Fixation	110	920	505
1459154	3515775533	Eye Tracker	Fixation	110	920	505
1469141	3515785520	Eye Tracker	Fixation	110	920	505
1479131	3515795510	Eye Tracker	Fixation	110	920	505
1489127	3515805506	Eye Tracker	Fixation	110	920	505
1499150	3515815529	Eye Tracker	Fixation	110	920	505
1509141	3515825520	Eye Tracker	Fixation	110	920	505
1519130	3515835509	Eye Tracker	Fixation	110	920	505
1529122	3515845501	Eye Tracker	EyesNotFound	40		
1539114	3515855493	Eye Tracker	EyesNotFound	40		
1549106	3515865485	Eye Tracker	EyesNotFound	40		
1559098	3515875477	Eye Tracker	EyesNotFound	40		
1569090	3515885469	Eye Tracker	Fixation	240	898	533
1579083	3515895462	Eye Tracker	Fixation	240	898	533
1589073	3515905452	Eye Tracker	Fixation	240	898	533
1599062	3515915441	Eye Tracker	Fixation	240	898	533
1609059	3515925438	Eye Tracker	Fixation	240	898	533
1619079	3515935458	Eye Tracker	Fixation	240	898	533
1629068	3515945447	Eye Tracker	Fixation	240	898	533
1639062	3515955441	Eye Tracker	Fixation	240	898	533
1649053	3515965432	Eye Tracker	Fixation	240	898	533
1659049	3515975428	Eye Tracker	Fixation	240	898	533
1669035	3515985414	Eye Tracker	Fixation	240	898	533
1679027	3515995406	Eye Tracker	Fixation	240	898	533
1689019	3516005398	Eye Tracker	Fixation	240	898	533
1699012	3516015391	Eye Tracker	Fixation	240	898	533
1709003	3516025382	Eye Tracker	Fixation	240	898	533
1718994	3516035373	Eye Tracker	Fixation	240	898	533
1728985	3516045364	Eye Tracker	Fixation	240	898	533
1738981	3516055360	Eye Tracker	Fixation	240	898	533
1748999	3516065378	Eye Tracker	Fixation	240	898	533
1758993	3516075372	Eye Tracker	Fixation	240	898	533
1768984	3516085363	Eye Tracker	Fixation	240	898	533
1778977	3516095356	Eye Tracker	Fixation	240	898	533
1788967	3516105346	Eye Tracker	Fixation	240	898	533
1798956	3516115335	Eye Tracker	Fixation	240	898	533
1808948	3516125327	Eye Tracker	EyesNotFound	20		
1818940	3516135319	Eye Tracker	EyesNotFound	20		
1828932	3516145311	Eye Tracker	Fixation	110	911	515
1838925	3516155304	Eye Tracker	Fixation	110	911	515
1848948	3516165327	Eye Tracker	Fixation	110	911	515
1858943	3516175322	Eye Tracker	Fixation	110	911	515
1868929	3516185308	Eye Tracker	Fixation	110	911	515
1878920	3516195299	Eye Tracker	Fixation	110	911	515
1888917	3516205296	Eye Tracker	Fixation	110	911	515
1898906	3516215285	Eye Tracker	Fixation	110	911	515
1908897	3516225276	Eye Tracker	Fixation	110	911	515
1918887	3516235266	Eye Tracker	Fixation	110	911	515
1928881	3516245260	Eye Tracker	Fixation	110	911	515
1938878	3516255257	Eye Tracker	EyesNotFound	40		
1948875	3516265254	Eye Tracker	EyesNotFound	40		
1958872	3516275251	Eye Tracker	EyesNotFound	40		
1968869	3516285248	Eye Tracker	EyesNotFound	40		
1978870	3516295249	Eye Tracker	Fixation	120	892	506
1988861	3516305240	Eye Tracker	Fixation	120	892	506
1998851	3516315230	Eye Tracker	Fixation	120	892	506
2008848	3516325227	Eye Tracker	Fixation	120	892	506
2018838	3516335217	Eye Tracker	Fixation	120	892	506
2028826	3516345205	Eye Tracker	Fixation	120	892	506
2038820	3516355199	Eye Tracker	Fixation	120	892	506
2048812	3516365191	Eye Tracker	Fixation	120	892	506
2058806	3516375185	Eye Tracker	Fixation	120	892	506
2068793	3516385172	Eye Tracker	Fixation	120	892	506
2078784	3516395163	Eye Tracker	Fixation	120	892	506
2088781	3516405160	Eye Tracker	Fixation	120	892	506
2098781	3516415160	Eye Tracker	EyesNotFound	20		
2108781	3516425160	Eye Tracker	EyesNotFound	20		
2118781	3516435160	Eye Tracker	Fixation	110	902	498
2128775	3516445154	Eye Tracker	Fixation	110	902	498
2138770	3516455149	Eye Tracker	Fixation	110	902	498
2148756	3516465135	Eye Tracker	Fixation	110	902	498
2158749	3516475128	Eye Tracker	Fixation	110	902	498
2168742	3516485121	Eye Tracker	Fixation	110	902	498
2178735	3516495114	Eye Tracker	Fixation	110	902	498
2188726	3516505105	Eye Tracker	Fixation	110	902	498
2198714	3516515093	Eye Tracker	Fixation	110	902	498
2208711	3516525090	Eye Tracker	Fixation	110	902	498
2218701	3516535080	Eye Tracker	Fixation	110	902	498
2228703	3516545082	Eye Tracker	EyesNotFound	20		
2238705	3516555084	Eye Tracker	EyesNotFound	20		
2248707	3516565086	Eye Tracker	Unclassified	30		
2258701	3516575080	Eye Tracker	Unclassified	30		
2268687	3516585066	Eye Tracker	Unclassified	30		
2278679	3516595058	Eye Tracker	EyesNotFound	20		
2288671	3516605050	Eye Tracker	EyesNotFound	20		
2298665	3516615044	Eye Tracker	Fixation	200	903	523
2308656	3516625035	Eye Tracker	Fixation	200	903	523
2318645	3516635024	Eye Tracker	Fixation	200	903	523
2328639	3516645018	Eye Tracker	Fixation	200	903	523
2338635	3516655014	Eye Tracker	Fixation	200	903	523
2348651	3516665030	Eye Tracker	Fixation	200	903	523
2358644	3516675023	Eye Tracker	Fixation	200	903	523
2368637	3516685016	Eye Tracker	Fixation	200	903	523
2378629	3516695008	Eye Tracker	Fixation	200	903	523
2388619	3516704998	Eye Tracker	Fixation	200	903	523
2398608	3516714987	Eye Tracker	Fixation	200	903	523
2408604	3516724983	Eye Tracker	Fixation	200	903	523
2418596	3516734975	Eye Tracker	Fixation	200	903	523
2428584	3516744963	Eye Tracker	Fixation	200	903	523
2438577	3516754956	Eye Tracker	Fixation	200	903	523
2448570	3516764949	Eye Tracker	Fixation	200	903	523
2458564	3516774943	Eye Tracker	Fixation	200	903	523
2468551	3516784930	Eye Tracker	Fixation	200	903	523
2478572	3516794951	Eye Tracker	Fixation	200	903	523
2488569	3516804948	Eye Tracker	Fixation	200	903	523
2498559	3516814938	Eye Tracker	EyesNotFound	20		
2508549	3516824928	Eye Tracker	EyesNotFound	20		
2518539	3516834918	Eye Tracker	Fixation	130	877	530
2528533	3516844912	Eye Tracker	Fixation	130	877	530
2538528	3516854907	Eye Tracker	Fixation	130	877	530
2548513	3516864892	Eye Tracker	Fixation	130	877	530
2558507	3516874886	Eye Tracker	Fixation	130	877	530
2568532	3516884911	Eye Tracker	Fixation	130	877	530
2578522	3516894901	Eye Tracker	Fixation	130	877	530
2588513	3516904892	Eye Tracker	Fixation	130	877	530
2598503	3516914882	Eye Tracker	Fixation	130	877	530
2608499	3516924878	Eye Tracker	Fixation	130	877	530
2618491	3516934870	Eye Tracker	Fixation	130	877	530
2628477	3516944856	Eye Tracker	Fixation	130	877	530
2638471	3516954850	Eye Tracker	Fixation	130	877	530
2648462	3516964841	Eye Tracker	EyesNotFound	20		
2658453	3516974832	Eye Tracker	EyesNotFound	20		
2668445	3516984824	Eye Tracker	Fixation	110	884	517
2678436	3516994815	Eye Tracker	Fixation	110	884	517
2688433	3517004812	Eye Tracker	Fixation	110	884	517
2698454	3517014833	Eye Tracker	Fixation	110	884	517
2708443	3517024822	Eye Tracker	Fixation	110	884	517
2718433	3517034812	Eye Tracker	Fixation	110	884	517
2728426	3517044805	Eye Tracker	Fixation	110	884	517
2738422	3517054801	Eye Tracker	Fixation	110	884	517
2748408	3517064787	Eye Tracker	Fixation	110	884	517
