Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0.0	195.0	195	897.0	593.0
320.0	670.0	350	894.0	578.0
820.0	900.0	80	1002.0	589.0
919.0	1179.0	260	986.0	571.0
1259.0	1399.0	140	982.0	591.0
1419.0	1649.0	230	969.0	603.0
1689.0	1799.0	110	959.0	570.0
1839.0	1949.0	110	949.0	543.0
1989.0	2219.0	230	947.0	531.0
2319.0	2419.0	100	909.0	546.0
2568.0	3208.0	640	901.0	479.0
3248.0	3328.0	80	1149.0	436.0
3388.0	3628.0	240	1077.0	448.0
3818.0	4068.0	250	1096.0	505.0
4158.0	4328.0	170	982.0	484.0
4387.0	4497.0	110	942.0	450.0
4517.0	4627.0	110	935.0	425.0
4667.0	4947.0	280	948.0	399.0
4967.0	5237.0	270	945.0	377.0
5287.0	6047.0	760	956.0	365.0
6066.0	7565.0	1499	974.0	339.0
7586.0	8116.0	530	965.0	357.0
8305.0	8835.0	530	962.0	342.0
8875.0	9095.0	220	944.0	360.0
9135.0	9385.0	250	932.0	361.0
9534.0	9714.0	180	916.0	332.0
9824.0	10084.0	260	909.0	336.0
10104.0	10684.0	580	903.0	434.0
10704.0	10834.0	130	885.0	553.0
10854.0	11044.0	190	865.0	621.0
11273.0	11383.0	110	935.0	538.0
11403.0	11483.0	80	906.0	475.0
11523.0	11633.0	110	874.0	441.0
11673.0	11933.0	260	878.0	408.0
11953.0	12703.0	750	887.0	384.0
12962.0	13052.0	90	681.0	322.0
13072.0	13182.0	110	776.0	329.0
13202.0	13322.0	120	851.0	340.0
13342.0	14401.0	1059	883.0	443.0
14442.0	15571.0	1129	891.0	481.0
15651.0	15781.0	130	482.0	674.0
16191.0	19669.0	3478	869.0	477.0
19689.0	20229.0	540	872.0	474.0
20308.0	21827.0	1519	874.0	472.0
21967.0	22077.0	110	876.0	521.0
22137.0	22397.0	260	883.0	471.0
22417.0	25275.0	2858	870.0	463.0
25355.0	25455.0	100	1248.0	636.0
25475.0	25615.0	140	1113.0	599.0
25635.0	25715.0	80	1016.0	567.0
25775.0	26135.0	360	888.0	497.0
26155.0	26245.0	90	827.0	461.0
26285.0	26455.0	170	832.0	420.0
26475.0	28754.0	2279	877.0	397.0
28783.0	29183.0	400	830.0	436.0
29343.0	29503.0	160	620.0	642.0
29603.0	29753.0	150	811.0	591.0
29773.0	29853.0	80	870.0	584.0
29873.0	29963.0	90	909.0	576.0
30003.0	30273.0	270	942.0	534.0
30292.0	30512.0	220	993.0	491.0
30572.0	30672.0	100	1007.0	437.0
30822.0	31052.0	230	965.0	358.0
31092.0	31352.0	260	954.0	328.0
31372.0	31502.0	130	962.0	313.0
31522.0	31642.0	120	980.0	302.0
31702.0	31882.0	180	993.0	282.0
31971.0	32211.0	240	997.0	288.0
32251.0	32351.0	100	973.0	331.0
32371.0	32451.0	80	939.0	402.0
32501.0	32571.0	70	937.0	469.0
32821.0	32921.0	100	987.0	304.0
32941.0	33171.0	230	977.0	308.0
33191.0	33431.0	240	1002.0	283.0
33451.0	33561.0	110	1021.0	257.0
33790.0	34620.0	830	1028.0	196.0
34670.0	35340.0	670	1046.0	157.0
35359.0	35489.0	130	1040.0	164.0
35509.0	36299.0	790	1012.0	177.0
36309.0	36589.0	280	973.0	225.0
36829.0	36919.0	90	1220.0	505.0
37068.0	37238.0	170	1096.0	519.0
37358.0	37468.0	110	1005.0	509.0
37488.0	37588.0	100	965.0	515.0
37638.0	37718.0	80	931.0	521.0
37758.0	38018.0	260	911.0	534.0
38038.0	38218.0	180	891.0	536.0
38318.0	38448.0	130	881.0	544.0
38508.0	40637.0	2129	912.0	561.0
40806.0	40916.0	110	919.0	565.0
40956.0	41466.0	510	921.0	536.0
41506.0	42705.0	1199	900.0	535.0
42805.0	44654.0	1849	889.0	537.0
44734.0	45464.0	730	893.0	535.0
45484.0	45604.0	120	910.0	534.0
45623.0	45713.0	90	921.0	538.0
46043.0	46183.0	140	755.0	472.0
46203.0	46273.0	70	826.0	421.0
46293.0	46403.0	110	866.0	378.0
46423.0	46533.0	110	914.0	337.0
46553.0	46673.0	120	951.0	310.0
46693.0	46873.0	180	981.0	258.0
46893.0	47103.0	210	995.0	210.0
47253.0	47673.0	420	1010.0	161.0
47692.0	47772.0	80	1060.0	109.0
47782.0	47862.0	80	1121.0	99.0
47922.0	48102.0	180	1131.0	237.0
48192.0	48452.0	260	1025.0	493.0
48472.0	48622.0	150	985.0	564.0
48642.0	48732.0	90	949.0	571.0
48772.0	48882.0	110	927.0	538.0
48902.0	49032.0	130	921.0	493.0
49091.0	49451.0	360	910.0	466.0
49471.0	49581.0	110	875.0	450.0
49601.0	49731.0	130	859.0	433.0
49791.0	50001.0	210	869.0	404.0
50071.0	50221.0	150	866.0	428.0
50341.0	50431.0	90	871.0	457.0
50451.0	50551.0	100	883.0	424.0
50591.0	50851.0	260	893.0	371.0
50870.0	51520.0	650	924.0	339.0
51560.0	51660.0	100	945.0	322.0
52390.0	52920.0	530	947.0	333.0
53069.0	53619.0	550	974.0	371.0
53659.0	54189.0	530	961.0	365.0
54208.0	55008.0	800	936.0	363.0
55018.0	55188.0	170	1023.0	357.0
55228.0	55448.0	220	1122.0	353.0
55468.0	55578.0	110	1165.0	336.0
55618.0	55788.0	170	1135.0	312.0
55887.0	55987.0	100	790.0	367.0
56217.0	56297.0	80	969.0	736.0
56317.0	56447.0	130	934.0	638.0
56507.0	56617.0	110	912.0	542.0
56657.0	56737.0	80	915.0	483.0
57037.0	57157.0	120	753.0	112.0
57177.0	57307.0	130	812.0	143.0
57327.0	57417.0	90	849.0	189.0
57437.0	57607.0	170	882.0	215.0
57626.0	57716.0	90	932.0	241.0
57736.0	57836.0	100	941.0	254.0
57856.0	57986.0	130	913.0	249.0
58136.0	58386.0	250	833.0	260.0
58406.0	58806.0	400	820.0	247.0
58826.0	59216.0	390	841.0	231.0
59256.0	59366.0	110	829.0	236.0
59425.0	59575.0	150	834.0	245.0
59615.0	59805.0	190	621.0	273.0
59825.0	59955.0	130	577.0	301.0
60095.0	60495.0	400	846.0	320.0
60515.0	60605.0	90	950.0	441.0
60785.0	60965.0	180	903.0	463.0
61404.0	61514.0	110	1523.0	713.0
61724.0	62224.0	500	1443.0	590.0
62314.0	62394.0	80	1613.0	576.0
62574.0	62684.0	110	1464.0	618.0
62773.0	63163.0	390	1352.0	452.0
63243.0	63453.0	210	1328.0	394.0
