Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
789.524	819.524	30
799.519	829.519	30
809.537	839.537	30
2418.588	2428.588	10
3208.145	3248.145	40
3218.134	3258.134	40
3228.131	3268.131	40
3238.122	3278.122	40
3328.077	3348.077	20
3338.067	3358.067	20
4127.591	4157.591	30
4137.582	4167.582	30
4147.579	4177.579	30
10833.703	10853.703	20
10843.694	10863.694	20
11143.506	11163.506	20
11153.528	11173.528	20
11213.477	11233.477	20
11223.47	11243.47	20
12842.545	12892.545	50
12852.533	12902.533	50
12862.53	12912.53	50
12872.521	12922.521	50
12882.512	12932.512	50
15570.936	15650.936	80
15580.933	15660.933	80
15590.925	15670.925	80
15600.941	15680.941	80
15610.934	15690.934	80
15620.927	15700.927	80
15630.922	15710.922	80
15640.909	15720.909	80
15830.816	15850.816	20
15840.804	15860.804	20
16000.698	16020.698	20
16010.692	16030.692	20
16060.653	16080.653	20
16070.644	16090.644	20
16100.648	16120.648	20
16110.643	16130.643	20
16150.608	16190.608	40
16160.598	16200.598	40
16170.587	16210.587	40
16180.584	16220.584	40
25275.308	25305.308	30
25285.3	25315.3	30
25295.296	25325.296	30
25325.266	25355.266	30
25335.26	25365.26	30
25345.254	25375.254	30
25755.029	25775.029	20
25765.023	25785.023	20
28753.259	28783.259	30
28763.252	28793.252	30
28773.276	28803.276	30
29243.003	29273.003	30
29252.996	29282.996	30
29262.991	29292.991	30
29282.972	29302.972	20
29292.965	29312.965	20
29502.85	29522.85	20
29512.84	29532.84	20
32790.927	32820.927	30
32800.916	32830.916	30
32810.912	32840.912	30
36298.889	36308.889	10
36588.704	36618.704	30
36598.697	36628.697	30
36608.719	36638.719	30
36688.651	36718.651	30
36698.647	36728.647	30
36708.635	36738.635	30
36808.583	36828.583	20
36818.573	36838.573	20
40676.328	40716.328	40
40686.322	40726.322	40
40696.316	40736.316	40
40706.333	40746.333	40
45713.406	45733.406	20
45723.398	45743.398	20
45753.4	45793.4	40
45763.397	45803.397	40
45773.358	45813.358	40
45783.348	45823.348	40
47772.209	47782.209	10
55008.001	55018.001	10
55207.864	55227.864	20
55217.851	55237.851	20
55787.529	55847.529	60
55797.525	55857.525	60
55807.546	55867.546	60
55817.502	55877.502	60
55827.495	55887.495	60
55837.52	55897.52	60
55987.422	56067.422	80
55997.419	56077.419	80
56007.409	56087.409	80
56017.395	56097.395	80
56027.389	56107.389	80
56037.381	56117.381	80
56047.378	56127.378	80
56057.362	56137.362	80
56127.339	56147.339	20
56137.326	56157.326	20
56826.935	56846.935	20
56836.929	56856.929	20
56916.892	56956.892	40
56926.886	56966.886	40
56936.874	56976.874	40
56946.868	56986.868	40
59575.314	59615.314	40
59585.335	59625.335	40
59595.332	59635.332	40
59605.321	59645.321	40
60065.028	60095.028	30
60075.051	60105.051	30
60085.043	60115.043	30
60494.79	60514.79	20
60504.78	60524.78	20
60984.5	61014.5	30
60994.498	61024.498	30
61004.489	61034.489	30
61204.382	61254.382	50
61214.371	61264.371	50
61224.362	61274.362	50
61234.354	61284.354	50
61244.351	61294.351	50
61324.313	61344.313	20
61334.3	61354.3	20
61514.185	61524.185	10
61574.162	61604.162	30
61584.153	61614.153	30
61594.15	61624.15	30
61624.152	61644.152	20
61634.144	61654.144	20
62283.756	62313.756	30
62293.747	62323.747	30
62303.735	62333.735	30
62393.696	62413.696	20
62403.686	62423.686	20
62433.659	62463.659	30
62443.655	62473.655	30
62453.64	62483.64	30
62703.493	62733.493	30
62713.49	62743.49	30
62723.481	62753.481	30
62753.486	62773.486	20
62763.481	62783.481	20
63163.238	63203.238	40
63173.224	63213.224	40
63183.218	63223.218	40
63193.212	63233.212	40
63453.082	63483.082	30
63463.076	63493.076	30
63473.067	63503.067	30
