Recording timestamp	Computer timestamp	Sensor	Eye movement type	Gaze event duration	Fixation point X	Fixation point Y
0	1286659918	Eye Tracker	Fixation	195	995	535
9990	1286669908	Eye Tracker	Fixation	195	995	535
19981	1286679899	Eye Tracker	Fixation	195	995	535
29974	1286689892	Eye Tracker	Fixation	195	995	535
39969	1286699887	Eye Tracker	Fixation	195	995	535
49986	1286709904	Eye Tracker	Fixation	195	995	535
59980	1286719898	Eye Tracker	Fixation	195	995	535
69971	1286729889	Eye Tracker	Fixation	195	995	535
79964	1286739882	Eye Tracker	Fixation	195	995	535
89954	1286749872	Eye Tracker	Fixation	195	995	535
99945	1286759863	Eye Tracker	Fixation	195	995	535
109941	1286769859	Eye Tracker	Fixation	195	995	535
119931	1286779849	Eye Tracker	Fixation	195	995	535
129919	1286789837	Eye Tracker	Fixation	195	995	535
139913	1286799831	Eye Tracker	Fixation	195	995	535
149935	1286809853	Eye Tracker	Fixation	195	995	535
159931	1286819849	Eye Tracker	Fixation	195	995	535
169918	1286829836	Eye Tracker	Fixation	195	995	535
179907	1286839825	Eye Tracker	Fixation	195	995	535
189903	1286849821	Eye Tracker	Fixation	195	995	535
319825	1286979743	Eye Tracker	Fixation	730	999	529
329813	1286989731	Eye Tracker	Fixation	730	999	529
339807	1286999725	Eye Tracker	Fixation	730	999	529
349798	1287009716	Eye Tracker	Fixation	730	999	529
359795	1287019713	Eye Tracker	Fixation	730	999	529
369780	1287029698	Eye Tracker	Fixation	730	999	529
379771	1287039689	Eye Tracker	Fixation	730	999	529
389767	1287049685	Eye Tracker	Fixation	730	999	529
399789	1287059707	Eye Tracker	Fixation	730	999	529
409780	1287069698	Eye Tracker	Fixation	730	999	529
419771	1287079689	Eye Tracker	Fixation	730	999	529
429762	1287089680	Eye Tracker	Fixation	730	999	529
439753	1287099671	Eye Tracker	Fixation	730	999	529
449745	1287109663	Eye Tracker	Fixation	730	999	529
459738	1287119656	Eye Tracker	Fixation	730	999	529
469730	1287129648	Eye Tracker	Fixation	730	999	529
479722	1287139640	Eye Tracker	Fixation	730	999	529
489712	1287149630	Eye Tracker	Fixation	730	999	529
499701	1287159619	Eye Tracker	Fixation	730	999	529
509698	1287169616	Eye Tracker	Fixation	730	999	529
519720	1287179638	Eye Tracker	Fixation	730	999	529
529707	1287189625	Eye Tracker	Fixation	730	999	529
539698	1287199616	Eye Tracker	Fixation	730	999	529
549689	1287209607	Eye Tracker	Fixation	730	999	529
559680	1287219598	Eye Tracker	Fixation	730	999	529
569671	1287229589	Eye Tracker	Fixation	730	999	529
579666	1287239584	Eye Tracker	Fixation	730	999	529
589662	1287249580	Eye Tracker	Fixation	730	999	529
599652	1287259570	Eye Tracker	Fixation	730	999	529
609644	1287269562	Eye Tracker	Fixation	730	999	529
619632	1287279550	Eye Tracker	Fixation	730	999	529
629634	1287289552	Eye Tracker	Fixation	730	999	529
639636	1287299554	Eye Tracker	Fixation	730	999	529
649638	1287309556	Eye Tracker	Fixation	730	999	529
659632	1287319550	Eye Tracker	Fixation	730	999	529
669625	1287329543	Eye Tracker	Fixation	730	999	529
679616	1287339534	Eye Tracker	Fixation	730	999	529
689607	1287349525	Eye Tracker	Fixation	730	999	529
699598	1287359516	Eye Tracker	Fixation	730	999	529
709589	1287369507	Eye Tracker	Fixation	730	999	529
719583	1287379501	Eye Tracker	Fixation	730	999	529
729571	1287389489	Eye Tracker	Fixation	730	999	529
739565	1287399483	Eye Tracker	Fixation	730	999	529
749588	1287409506	Eye Tracker	Fixation	730	999	529
759582	1287419500	Eye Tracker	Fixation	730	999	529
769570	1287429488	Eye Tracker	Fixation	730	999	529
779559	1287439477	Eye Tracker	Fixation	730	999	529
789555	1287449473	Eye Tracker	Fixation	730	999	529
799547	1287459465	Eye Tracker	Fixation	730	999	529
809537	1287469455	Eye Tracker	Fixation	730	999	529
819527	1287479445	Eye Tracker	Fixation	730	999	529
829520	1287489438	Eye Tracker	Fixation	730	999	529
839515	1287499433	Eye Tracker	Fixation	730	999	529
849505	1287509423	Eye Tracker	Fixation	730	999	529
859495	1287519413	Eye Tracker	Fixation	730	999	529
869487	1287529405	Eye Tracker	Fixation	730	999	529
879510	1287539428	Eye Tracker	Fixation	730	999	529
889500	1287549418	Eye Tracker	Fixation	730	999	529
899491	1287559409	Eye Tracker	Fixation	730	999	529
909487	1287569405	Eye Tracker	Fixation	730	999	529
919477	1287579395	Eye Tracker	Fixation	730	999	529
929465	1287589383	Eye Tracker	Fixation	730	999	529
939459	1287599377	Eye Tracker	Fixation	730	999	529
949452	1287609370	Eye Tracker	Fixation	730	999	529
959442	1287619360	Eye Tracker	Fixation	730	999	529
969432	1287629350	Eye Tracker	Fixation	730	999	529
979423	1287639341	Eye Tracker	Fixation	730	999	529
989419	1287649337	Eye Tracker	Fixation	730	999	529
999440	1287659358	Eye Tracker	Fixation	730	999	529
1009431	1287669349	Eye Tracker	Fixation	730	999	529
1019421	1287679339	Eye Tracker	Fixation	730	999	529
1029414	1287689332	Eye Tracker	Fixation	730	999	529
1039408	1287699326	Eye Tracker	Fixation	730	999	529
1049396	1287709314	Eye Tracker	Saccade	30		
1059389	1287719307	Eye Tracker	Saccade	30		
1069381	1287729299	Eye Tracker	Saccade	30		
1079373	1287739291	Eye Tracker	Unclassified	30		
1089365	1287749283	Eye Tracker	Unclassified	30		
1099354	1287759272	Eye Tracker	Unclassified	30		
1109355	1287769273	Eye Tracker	EyesNotFound	20		
1119356	1287779274	Eye Tracker	EyesNotFound	20		
1129359	1287789277	Eye Tracker	Fixation	90	903	521
1139353	1287799271	Eye Tracker	Fixation	90	903	521
1149345	1287809263	Eye Tracker	Fixation	90	903	521
1159340	1287819258	Eye Tracker	Fixation	90	903	521
1169327	1287829245	Eye Tracker	Fixation	90	903	521
1179317	1287839235	Eye Tracker	Fixation	90	903	521
1189314	1287849232	Eye Tracker	Fixation	90	903	521
1199306	1287859224	Eye Tracker	Fixation	90	903	521
1209296	1287869214	Eye Tracker	Fixation	90	903	521
1219292	1287879210	Eye Tracker	EyesNotFound	60		
1229288	1287889206	Eye Tracker	EyesNotFound	60		
1239284	1287899202	Eye Tracker	EyesNotFound	60		
1249280	1287909198	Eye Tracker	EyesNotFound	60		
1259276	1287919194	Eye Tracker	EyesNotFound	60		
1269272	1287929190	Eye Tracker	EyesNotFound	60		
1279268	1287939186	Eye Tracker	Fixation	270	903	471
1289258	1287949176	Eye Tracker	Fixation	270	903	471
1299248	1287959166	Eye Tracker	Fixation	270	903	471
1309245	1287969163	Eye Tracker	Fixation	270	903	471
1319235	1287979153	Eye Tracker	Fixation	270	903	471
1329222	1287989140	Eye Tracker	Fixation	270	903	471
1339217	1287999135	Eye Tracker	Fixation	270	903	471
1349210	1288009128	Eye Tracker	Fixation	270	903	471
1359205	1288019123	Eye Tracker	Fixation	270	903	471
1369221	1288029139	Eye Tracker	Fixation	270	903	471
1379211	1288039129	Eye Tracker	Fixation	270	903	471
1389203	1288049121	Eye Tracker	Fixation	270	903	471
1399195	1288059113	Eye Tracker	Fixation	270	903	471
1409187	1288069105	Eye Tracker	Fixation	270	903	471
1419179	1288079097	Eye Tracker	Fixation	270	903	471
1429173	1288089091	Eye Tracker	Fixation	270	903	471
1439167	1288099085	Eye Tracker	Fixation	270	903	471
1449154	1288109072	Eye Tracker	Fixation	270	903	471
1459148	1288119066	Eye Tracker	Fixation	270	903	471
1469170	1288129088	Eye Tracker	Fixation	270	903	471
1479161	1288139079	Eye Tracker	Fixation	270	903	471
1489152	1288149070	Eye Tracker	Fixation	270	903	471
1499142	1288159060	Eye Tracker	Fixation	270	903	471
1509139	1288169057	Eye Tracker	Fixation	270	903	471
1519130	1288179048	Eye Tracker	Fixation	270	903	471
1529117	1288189035	Eye Tracker	Fixation	270	903	471
1539111	1288199029	Eye Tracker	Fixation	270	903	471
1549102	1288209020	Eye Tracker	EyesNotFound	20		
1559093	1288219011	Eye Tracker	EyesNotFound	20		
1569084	1288229002	Eye Tracker	Fixation	110	898	486
1579075	1288238993	Eye Tracker	Fixation	110	898	486
1589072	1288248990	Eye Tracker	Fixation	110	898	486
