event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	175	175	
Fixation	275	525	250	
Fixation	545	785	240	
Fixation	825	1234	410	
Fixation	1274	1384	110	
Saccade	1384	1404	20	3.3
Fixation	1404	1474	70	
Fixation	1514	1754	240	
Fixation	1774	2054	280	
Fixation	2074	2204	130	
Fixation	2224	2324	100	
Fixation	2344	2554	210	
Fixation	2593	2693	100	
Fixation	2743	2843	100	
Fixation	2863	3383	520	
Fixation	3463	3673	210	
Saccade	3753	3783	30	
Fixation	3783	3883	100	
Saccade	3883	3903	20	
Fixation	4013	4103	90	
Fixation	4123	4223	100	
Fixation	4263	4502	240	
Fixation	4522	4652	130	
Fixation	4672	4902	230	
Fixation	4942	5152	210	
Saccade	5152	5172	20	
Fixation	5212	5322	110	
Fixation	5362	5442	80	
Saccade	5442	5472	30	5.43
Fixation	5472	5612	140	
Fixation	5662	5872	210	
Fixation	5912	6161	250	
Fixation	6181	6301	120	
Saccade	6301	6331	30	7.05
Fixation	6331	6571	240	
Fixation	6611	6771	160	
Saccade	6771	6831	60	
Fixation	6891	7121	230	
Saccade	7181	7201	20	
Fixation	7201	7411	210	
Fixation	7431	7810	380	
Fixation	7830	7940	110	
Fixation	7960	8070	110	
Fixation	8140	8310	170	
Fixation	8390	8560	170	
Fixation	8580	9170	590	
Fixation	9230	9469	240	
Fixation	9489	9589	100	
Fixation	9629	10169	540	
Fixation	10209	10419	210	
Fixation	10489	11019	530	
Fixation	11109	11338	230	
Fixation	11358	11658	300	
Fixation	11758	11928	170	
Fixation	11948	12158	210	
Fixation	12198	12708	510	
Fixation	12728	13137	410	
Fixation	13197	13637	440	
Fixation	13697	13957	260	
Fixation	14007	14217	210	
Fixation	14277	14597	320	
Saccade	14597	14646	50	
Fixation	14706	14826	120	
Saccade	14826	14836	10	
Fixation	15006	15076	70	
Saccade	15126	15146	20	
Saccade	15156	15166	10	
Fixation	15166	15336	170	
Fixation	15376	15506	130	
Fixation	15526	15756	230	
Fixation	15776	16016	240	
Fixation	16056	17055	999	
Saccade	17145	17165	20	
Fixation	17165	17235	70	
Saccade	17235	17255	20	
Fixation	17295	17545	250	
Fixation	17565	17685	120	
Fixation	17725	17905	180	
Fixation	18015	18234	220	
Fixation	18274	18524	250	
Fixation	18544	18704	160	
Fixation	18794	18944	150	
Fixation	18964	19054	90	
Fixation	19244	19424	180	
Fixation	19444	19793	350	
Fixation	19813	20583	770	
Fixation	20643	20873	230	
Fixation	20923	21173	250	
Fixation	21343	21572	230	
Fixation	21612	21852	240	
Saccade	21922	21942	20	
Fixation	21942	22062	120	
Saccade	22062	22082	20	
Saccade	22102	22122	20	
Fixation	22192	22262	70	
Saccade	22262	22282	20	4.62
Fixation	22282	22442	160	
Saccade	22502	22522	20	
Saccade	22592	22612	20	
Fixation	22612	22842	230	
Fixation	22882	22992	110	
Fixation	23012	23162	150	
Saccade	23162	23192	30	
Saccade	23211	23241	30	
Saccade	23311	23321	10	
Saccade	23351	23371	20	
Fixation	23371	23461	90	
Saccade	23461	23471	10	7.26
Fixation	23471	23671	200	
Fixation	23711	23821	110	
Fixation	23841	24491	650	
Fixation	24531	26260	1729	
Saccade	26260	26320	60	
Saccade	26400	26420	20	
Saccade	26460	26490	30	
Fixation	26510	26659	150	
Fixation	26739	26819	80	
Saccade	26819	26859	40	
Fixation	26909	29028	2119	
Fixation	29048	29558	510	
Fixation	29598	29838	240	
Fixation	29878	30127	250	
Fixation	30147	30257	110	
Fixation	30277	30667	390	
Saccade	30767	30847	80	
Saccade	30897	30917	20	
Saccade	30937	30957	20	
Saccade	31027	31057	30	
Saccade	31097	31117	20	
Saccade	31217	31257	40	
Fixation	31297	31407	110	
Fixation	31427	31527	100	
Fixation	31577	31677	100	
Fixation	31697	31806	110	
Fixation	31826	32566	740	
Fixation	32656	32876	220	
Fixation	32996	34005	1009	
Saccade	34045	34065	20	
Saccade	34285	34295	10	
Saccade	34375	34425	50	
Saccade	34535	34545	10	
Saccade	34585	34605	20	
Fixation	34625	34725	100	
Fixation	34765	35025	260	
Fixation	35045	35654	610	
Fixation	35744	35854	110	
Fixation	35874	35944	70	
Fixation	36044	36124	80	
Fixation	36164	36404	240	
Fixation	36464	36624	160	
Fixation	36744	36973	230	
Fixation	36993	37103	110	
Fixation	37163	37353	190	
Fixation	37393	37633	240	
Fixation	37673	37903	230	
Fixation	37973	38093	120	
Saccade	38093	38143	50	
Fixation	38163	38503	340	
Fixation	38543	38653	110	
Fixation	38692	38802	110	
Fixation	38822	38922	100	
Fixation	38962	39182	220	
Fixation	39242	40192	949	
Fixation	40242	40411	170	
Fixation	40491	40911	420	
Fixation	40931	42101	1169	
Saccade	42101	42140	40	14.54
Fixation	42140	42260	120	
Fixation	42280	44339	2059	
Saccade	44379	44449	70	
Saccade	44539	44579	40	
Fixation	44579	44659	80	
Fixation	44679	44779	100	
Fixation	44799	44919	120	
Fixation	45059	45588	530	
Fixation	45608	46138	530	
Fixation	46178	49406	3228	
Fixation	49506	51935	2429	
Saccade	51935	51955	20	
Saccade	51975	51995	20	
Saccade	52045	52085	40	
Fixation	52265	52405	140	
Fixation	52424	52524	100	
Fixation	52544	52654	110	
Fixation	52694	53674	979	
Fixation	53724	53894	170	
Fixation	53964	54353	390	
Fixation	54373	55053	680	
Fixation	55073	55163	90	
Fixation	55223	55423	200	
Fixation	55513	55683	170	
Saccade	55683	55703	20	
Fixation	55763	55892	130	
Fixation	55962	56172	210	
Saccade	56192	56242	50	
Fixation	56242	56312	70	
Fixation	56362	56472	110	
Fixation	56492	56572	80	
Fixation	56592	56702	110	
Fixation	56742	56992	250	
Fixation	57012	57102	90	
Fixation	57142	57422	280	
Fixation	57442	58171	730	
Fixation	58281	58421	140	
Fixation	58531	58771	240	
Fixation	58791	58971	180	
Fixation	58991	59590	600	
Fixation	59610	59720	110	
Fixation	59760	60470	710	
Fixation	60490	61689	1199	
Fixation	61709	62689	979	
Fixation	62708	62938	230	
Fixation	62958	63218	260	
Fixation	63258	63568	310	
Saccade	63568	63588	20	6.47
Fixation	63588	63738	150	
Saccade	63738	63758	20	3.98
Fixation	63758	63938	180	
Fixation	63958	64168	210	
Saccade	64497	64557	60	
Fixation	64557	64627	70	
Fixation	64647	64757	110	
Fixation	64777	64867	90	
Saccade	64867	64887	20	1.63
Fixation	64887	65007	120	
Saccade	65077	65097	20	
Saccade	65137	65157	20	
Fixation	65227	65417	190	
Fixation	65507	65597	90	
Saccade	65597	65667	70	
Fixation	65727	65837	110	
Fixation	65857	65957	100	
Fixation	66027	66127	100	
Fixation	66296	66536	240	
Fixation	66556	66656	100	
Fixation	66696	66936	240	
Fixation	66956	67126	170	
Fixation	67246	67376	130	
Fixation	67396	67915	520	
Fixation	67975	68205	230	
Fixation	68265	68635	370	
Fixation	68695	68905	210	
Saccade	68905	68925	20	
Fixation	68965	69135	170	
Saccade	69135	69165	30	6.48
Fixation	69165	69325	160	
Fixation	69365	69594	230	
Fixation	69614	69814	200	
Saccade	69814	69834	20	
Fixation	69944	70144	200	
Fixation	70224	70394	170	
Saccade	70414	70454	40	
Saccade	70894	70924	30	
Fixation	71593	71663	70	
Fixation	71743	71823	80	
Saccade	72103	72123	20	
Saccade	72133	72163	30	
Saccade	72313	72323	10	
Fixation	72323	72493	170	
Fixation	72563	72713	150	
