Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
1389.179	1409.179	20
1399.169	1419.169	20
3757.813	3787.813	30
3767.805	3797.805	30
3777.796	3807.796	30
3887.737	3907.737	20
3897.728	3917.728	20
5156.98	5176.98	20
5166.972	5186.972	20
5446.829	5476.829	30
5456.824	5486.824	30
5466.811	5496.811	30
6306.326	6336.326	30
6316.315	6346.315	30
6326.312	6356.312	30
6776.06	6836.06	60
6786.047	6846.047	60
6796.036	6856.036	60
6806.033	6866.033	60
6816.025	6876.025	60
6826.016	6886.016	60
7185.806	7205.806	20
7195.795	7215.795	20
14601.508	14651.508	50
14611.499	14661.499	50
14621.489	14671.489	50
14631.48	14681.48	50
14641.477	14691.477	50
14831.374	14841.374	10
15131.188	15151.188	20
15141.18	15161.18	20
15161.191	15171.191	10
17150.018	17170.018	20
17160.015	17180.015	20
17239.978	17259.978	20
17249.97	17269.97	20
21927.254	21947.254	20
21937.244	21957.244	20
22067.165	22087.165	20
22077.16	22097.16	20
22107.132	22127.132	20
22117.126	22137.126	20
22267.029	22287.029	20
22277.024	22297.024	20
22506.891	22526.891	20
22516.913	22536.913	20
22596.846	22616.846	20
22606.842	22626.842	20
23166.525	23196.525	30
23176.516	23206.516	30
23186.507	23216.507	30
23216.48	23246.48	30
23226.474	23256.474	30
23236.467	23266.467	30
23316.429	23326.429	10
23356.397	23376.397	20
23366.42	23386.42	20
23466.364	23476.364	10
26264.697	26324.697	60
26274.694	26334.694	60
26284.716	26344.716	60
26294.703	26354.703	60
26304.696	26364.696	60
26314.688	26374.688	60
26404.647	26424.647	20
26414.633	26434.633	20
26464.592	26494.592	30
26474.588	26504.588	30
26484.58	26514.58	30
26824.386	26864.386	40
26834.378	26874.378	40
26844.369	26884.369	40
26854.361	26894.361	40
30772.096	30852.096	80
30782.087	30862.087	80
30792.084	30872.084	80
30802.075	30882.075	80
30812.06	30892.06	80
30822.054	30902.054	80
30832.048	30912.048	80
30842.043	30922.043	80
30902.019	30922.019	20
30912.009	30932.009	20
30941.987	30961.987	20
30951.979	30971.979	20
31031.942	31061.942	30
31041.937	31071.937	30
31051.924	31081.924	30
31101.913	31121.913	20
31111.905	31131.905	20
31221.844	31261.844	40
31231.836	31271.836	40
31241.831	31281.831	40
31251.819	31291.819	40
34050.184	34070.184	20
34060.177	34080.177	20
34290.047	34300.047	10
34380.0	34430.0	50
34389.996	34439.996	50
34399.986	34449.986	50
34409.976	34459.976	50
34419.967	34469.967	50
34539.899	34549.899	10
34589.859	34609.859	20
34599.85	34619.85	20
38097.811	38147.811	50
38107.808	38157.808	50
38117.83	38167.83	50
38127.817	38177.817	50
38137.81	38187.81	50
42105.509	42145.509	40
42115.499	42155.499	40
42125.491	42165.491	40
42135.48	42175.48	40
44384.155	44454.155	70
44394.176	44464.176	70
44404.166	44474.166	70
44414.155	44484.155	70
44424.152	44494.152	70
44434.144	44504.144	70
44444.131	44514.131	70
44544.082	44584.082	40
44554.075	44594.075	40
44564.06	44604.06	40
44574.054	44614.054	40
51939.771	51959.771	20
51949.763	51969.763	20
51979.735	51999.735	20
51989.729	52009.729	20
52049.705	52089.705	40
52059.701	52099.701	40
52069.693	52109.693	40
52079.68	52119.68	40
55687.586	55707.586	20
55697.578	55717.578	20
56197.281	56247.281	50
56207.274	56257.274	50
56217.267	56267.267	50
56227.262	56277.262	50
56237.28	56287.28	50
63572.99	63592.99	20
63582.981	63602.981	20
63742.88	63762.88	20
63752.898	63772.898	20
64502.458	64562.458	60
64512.442	64572.442	60
64522.437	64582.437	60
64532.431	64592.431	60
64542.426	64602.426	60
64552.412	64612.412	60
64872.237	64892.237	20
64882.228	64902.228	20
65082.122	65102.122	20
65092.118	65112.118	20
65142.078	65162.078	20
65152.064	65172.064	20
65601.81	65671.81	70
65611.803	65681.803	70
65621.798	65691.798	70
65631.787	65701.787	70
65641.78	65711.78	70
65651.772	65721.772	70
65661.764	65731.764	70
68909.876	68929.876	20
68919.866	68939.866	20
69139.748	69169.748	30
69149.734	69179.734	30
69159.728	69189.728	30
69819.362	69839.362	20
69829.35	69849.35	20
70419.014	70459.014	40
70429.002	70469.002	40
70438.995	70478.995	40
70448.988	70488.988	40
70898.733	70928.733	30
70908.723	70938.723	30
70918.714	70948.714	30
72108.028	72128.028	20
72118.018	72138.018	20
72138.007	72168.007	30
72147.993	72177.993	30
72157.987	72187.987	30
72317.882	72327.882	10
