start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action
									
0.8	0.9	420.4	0	244.5	637.2	68	182.9	1600	Cap Off
									
0.9	1	427.8	0	251	641	77.2	179.8	1600	Cap Off
									
1	1.05	438.7	7	259.1	654.6	83.5	177.6	521.5	Cap Off
									
1.089	1.189	381.3	0	205.8	607.6	26.9	226.2	1600	Cap Off
									
1.189	1.289	398.9	0	218.1	624.7	39	229	1600	Cap Off
									
1.349	1.449	397.5	0	217.7	630.8	32	245.8	1600	Cap Off
									
1.499	1.599	397.9	0	219.6	631	34	244.5	626.3	Cap Off
									
1.599	1.699	395	4	228	630.5	39.8	225.4	603.6	Cap Off
									
1.789	1.889	403.6	0	215.7	613.4	34	232	1600	Cap Off
									
1.889	1.969	390.1	10.4	224.4	624.6	41.5	221.5	589.5	Cap Off
									
1.989	2.089	390.3	0	216.4	622	35.4	250.2	1600	Cap Off
									
2.089	2.189	399.4	0	232.7	636.7	47	243.8	580.5	Cap Off
									
2.239	2.339	381.9	23	245	622.1	49.3	240.8	590	Cap Off
									
2.369	2.469	360.2	20	245.2	599.3	41.2	257.4	1600	Cap Off
									
2.469	2.569	365.5	4	249.6	599.8	37.7	260.2	614.1	Cap Off
									
2.569	2.669	375.8	0	259.5	607.4	45	259.1	555.2	Cap Off
									
2.669	2.769	383.7	0	263.9	609.3	50	264.7	622.1	Cap Off
									
2.818	2.918	363.9	0	247.9	590	24	293.7	648.4	Cap Off
									
3.068	3.168	376.4	5.4	254.2	608.8	23.1	280.2	632.3	Cap Off
									
3.168	3.268	380.1	7	250.1	615.7	15.8	275.8	1600	Cap Off
									
3.268	3.318	390.4	63.2	299.4	612.5	0	1600	1600	Cap Off
									
3.358	3.458	387.4	180	323.4	620.7	5	1600	1600	Cap Off
									
3.488	3.588	431.1	146	348.5	663.1	7.1	1600	1600	Cap Off
									
3.658	3.738	396.3	157.5	333.5	634.3	1	273.1	611.9	Cap Off
									
3.758	3.858	377.7	177.6	317.5	617.8	0	274	1600	Cap Off
									
3.858	3.958	378.9	215.3	313.4	619.9	0	257.9	1600	Cap Off
									
3.958	4.058	400.5	309.5	318	641.9	0	243.2	598.1	Cap Off
									
4.058	4.128	424.2	361.1	338.6	674.1	15.6	217.3	568	Cap Off
									
4.168	4.268	398.9	464.7	312.1	643.1	0	239.1	589	Cap Off
									
4.268	4.368	391.6	504.5	310	637.9	0	242.4	595	Cap Off
									
4.368	4.468	390.1	522.2	314.7	639.3	0	242.6	1600	Cap Off
									
4.468	4.568	400	514.9	322.1	648.1	4	235	588.1	Cap Off
									
