Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0.0	205.0	205	835.0	583.0
330.0	1190.0	860	834.0	566.0
1209.0	1279.0	70	906.0	546.0
1299.0	1399.0	100	912.0	525.0
1419.0	1529.0	110	920.0	505.0
1569.0	1809.0	240	898.0	533.0
1829.0	1939.0	110	911.0	515.0
1979.0	2099.0	120	892.0	506.0
2119.0	2229.0	110	902.0	498.0
2299.0	2499.0	200	903.0	523.0
2519.0	2649.0	130	877.0	530.0
2668.0	2778.0	110	884.0	517.0
2798.0	3438.0	640	870.0	503.0
3478.0	3578.0	100	885.0	497.0
3618.0	3858.0	240	895.0	506.0
3918.0	4108.0	190	908.0	492.0
4168.0	4278.0	110	934.0	472.0
4298.0	4398.0	100	958.0	474.0
4417.0	4537.0	120	926.0	470.0
4617.0	4707.0	90	1105.0	516.0
4847.0	4977.0	130	1043.0	549.0
5027.0	5097.0	70	1140.0	601.0
5117.0	5227.0	110	1184.0	602.0
5247.0	5447.0	200	1195.0	603.0
5487.0	6027.0	540	940.0	388.0
6096.0	6216.0	120	951.0	409.0
6236.0	6366.0	130	973.0	428.0
6386.0	6476.0	90	997.0	444.0
6516.0	6766.0	250	1027.0	451.0
6786.0	7176.0	390	1062.0	414.0
7196.0	7296.0	100	1058.0	395.0
7376.0	7576.0	200	788.0	502.0
7745.0	7865.0	120	838.0	510.0
7885.0	8545.0	660	866.0	488.0
8565.0	9564.0	999	878.0	473.0
9584.0	9904.0	320	901.0	475.0
9944.0	10324.0	380	892.0	520.0
10344.0	10754.0	410	902.0	503.0
10794.0	11174.0	380	897.0	522.0
11213.0	11613.0	400	898.0	513.0
11633.0	11743.0	110	891.0	486.0
11763.0	12423.0	660	896.0	469.0
12463.0	12713.0	250	888.0	458.0
12753.0	12993.0	240	879.0	431.0
13182.0	13282.0	100	862.0	444.0
13302.0	13412.0	110	867.0	459.0
13462.0	13542.0	80	1105.0	411.0
13582.0	13772.0	190	1102.0	422.0
13862.0	14032.0	170	827.0	501.0
14152.0	14232.0	80	863.0	495.0
14252.0	14342.0	90	888.0	488.0
14382.0	14492.0	110	907.0	482.0
14512.0	14762.0	250	913.0	506.0
14871.0	15001.0	130	813.0	665.0
15221.0	15311.0	90	927.0	670.0
15461.0	15571.0	110	971.0	686.0
15611.0	15741.0	130	952.0	642.0
15761.0	15881.0	120	947.0	616.0
15901.0	16011.0	110	915.0	588.0
16031.0	16261.0	230	892.0	542.0
16300.0	18479.0	2179	904.0	529.0
18529.0	18629.0	100	786.0	496.0
18649.0	18769.0	120	739.0	424.0
18869.0	19029.0	160	854.0	401.0
19119.0	19349.0	230	869.0	444.0
19369.0	19479.0	110	867.0	417.0
19499.0	20109.0	610	868.0	388.0
20198.0	22996.0	2798	865.0	393.0
23017.0	23237.0	220	904.0	404.0
23586.0	23826.0	240	748.0	544.0
23846.0	24066.0	220	786.0	593.0
24136.0	24356.0	220	789.0	574.0
24396.0	24516.0	120	776.0	561.0
24666.0	25176.0	510	758.0	530.0
25235.0	25545.0	310	778.0	559.0
25635.0	28074.0	2439	785.0	550.0
28194.0	29183.0	989	755.0	542.0
29253.0	30872.0	1619	749.0	536.0
31012.0	31082.0	70	1098.0	733.0
31222.0	31382.0	160	982.0	631.0
31402.0	31562.0	160	915.0	534.0
31662.0	31782.0	120	816.0	493.0
31801.0	31941.0	140	806.0	485.0
31961.0	32181.0	220	808.0	469.0
32201.0	32611.0	410	826.0	461.0
32651.0	33041.0	390	837.0	475.0
33061.0	34140.0	1079	842.0	486.0
34220.0	34380.0	160	838.0	480.0
34400.0	34600.0	200	824.0	491.0
34680.0	34780.0	100	837.0	479.0
34950.0	35350.0	400	857.0	466.0
35519.0	35629.0	110	758.0	543.0
35809.0	35899.0	90	639.0	598.0
35969.0	36039.0	70	768.0	578.0
36079.0	36179.0	100	864.0	564.0
36199.0	36299.0	100	935.0	563.0
36319.0	36429.0	110	970.0	565.0
36469.0	36599.0	130	990.0	540.0
36649.0	36729.0	80	996.0	519.0
36749.0	36839.0	90	969.0	512.0
36878.0	36998.0	120	952.0	484.0
37018.0	37128.0	110	955.0	441.0
37148.0	37238.0	90	947.0	424.0
37298.0	37408.0	110	928.0	378.0
37448.0	37528.0	80	921.0	345.0
37618.0	37688.0	70	919.0	306.0
37728.0	37828.0	100	928.0	287.0
37868.0	38608.0	740	939.0	273.0
38677.0	39077.0	400	935.0	286.0
39117.0	39297.0	180	926.0	301.0
39377.0	39477.0	100	924.0	309.0
39987.0	40067.0	80	1106.0	49.0
40087.0	40527.0	440	1096.0	61.0
40646.0	42125.0	1479	1093.0	76.0
42145.0	43394.0	1249	1106.0	41.0
43415.0	43645.0	230	1082.0	52.0
43684.0	43754.0	70	1056.0	55.0
43994.0	44074.0	80	1041.0	391.0
44094.0	44514.0	420	920.0	417.0
44534.0	44904.0	370	850.0	424.0
44944.0	45744.0	800	830.0	432.0
45763.0	45893.0	130	795.0	450.0
45933.0	46593.0	660	780.0	477.0
46633.0	46723.0	90	800.0	483.0
46763.0	46893.0	130	782.0	491.0
46953.0	47443.0	490	799.0	484.0
47502.0	48042.0	540	819.0	505.0
48082.0	48572.0	490	801.0	489.0
48612.0	49482.0	870	808.0	487.0
49611.0	49731.0	120	819.0	490.0
49831.0	50381.0	550	817.0	486.0
50401.0	50781.0	380	803.0	481.0
50820.0	51070.0	250	813.0	491.0
51130.0	52059.0	929	805.0	472.0
52120.0	52300.0	180	818.0	471.0
52819.0	52959.0	140	815.0	484.0
52979.0	53079.0	100	870.0	432.0
53099.0	53329.0	230	903.0	382.0
53369.0	54059.0	690	934.0	323.0
54078.0	54178.0	100	953.0	266.0
54198.0	54328.0	130	993.0	226.0
54348.0	54748.0	400	1014.0	219.0
54768.0	55228.0	460	1034.0	203.0
55328.0	55748.0	420	1044.0	201.0
55767.0	55877.0	110	981.0	297.0
55917.0	55987.0	70	935.0	355.0
56027.0	56147.0	120	950.0	382.0
56167.0	56277.0	110	921.0	482.0
56347.0	56447.0	100	933.0	605.0
56467.0	56837.0	370	903.0	639.0
56887.0	57127.0	240	1098.0	506.0
57167.0	57267.0	100	1035.0	462.0
57416.0	57566.0	150	792.0	518.0
57586.0	57676.0	90	822.0	460.0
57696.0	57806.0	110	843.0	419.0
57846.0	58116.0	270	868.0	376.0
58136.0	58266.0	130	877.0	345.0
58286.0	58376.0	90	884.0	328.0
58396.0	58596.0	200	888.0	304.0
58666.0	58886.0	220	861.0	284.0
58946.0	59096.0	150	881.0	271.0
59195.0	59445.0	250	899.0	264.0
59465.0	59715.0	250	900.0	251.0
59895.0	60025.0	130	907.0	297.0
60045.0	60545.0	500	924.0	331.0
60585.0	61015.0	430	925.0	318.0
61114.0	61374.0	260	894.0	325.0
61394.0	62194.0	800	886.0	330.0
62214.0	62304.0	90	898.0	335.0
62364.0	62614.0	250	915.0	328.0
62633.0	62893.0	260	906.0	338.0
62913.0	63023.0	110	894.0	329.0
63063.0	64012.0	949	910.0	317.0
64033.0	64123.0	90	935.0	309.0
64152.0	64232.0	80	1058.0	277.0
64302.0	64712.0	410	1033.0	291.0
64902.0	64972.0	70	1202.0	609.0
65162.0	65272.0	110	1057.0	574.0
65312.0	65562.0	250	1034.0	548.0
65582.0	65982.0	400	1023.0	539.0
66001.0	66091.0	90	975.0	486.0
66261.0	66391.0	130	743.0	399.0
66411.0	66531.0	120	791.0	383.0
66551.0	66641.0	90	820.0	373.0
66661.0	66791.0	130	835.0	360.0
