Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK09	Thomas	Entire Recording	1		Fixation	Partial	1	0	205	205			0.43498	0.53985	2.39979										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	2	325	1184	860			0.43414	0.52413	2.46762										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Whole	1	1184	1204	20						25.7	130.52	130.97	3.75			0.43414	0.52413	0.47192	0.50595
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	3	1204	1274	70			0.47192	0.50595	2.57449										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	4	1294	1394	100			0.47493	0.48639	2.57324										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	5	1414	1524	110			0.47905	0.46769	2.5725										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	6	1564	1804	240			0.46787	0.49312	2.51727										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	7	1824	1934	110			0.47451	0.4772	2.52766										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	8	1974	2094	120			0.46464	0.46807	2.54898										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	9	2114	2224	110			0.46994	0.46156	2.56673										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	10	2294	2494	200			0.47041	0.48446	2.55242										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	11	2514	2643	130			0.45695	0.49071	2.57238										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	12	2663	2773	110			0.46033	0.47877	2.56427										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	13	2793	3433	640			0.45331	0.4656	2.48467										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	14	3473	3573	100			0.46113	0.46013	2.51464										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	15	3613	3853	240			0.46624	0.46836	2.53367										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	16	3913	4103	190			0.47296	0.45576	2.56388										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	17	4163	4273	110			0.48635	0.4373	2.58624										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	18	4293	4392	100			0.49911	0.43862	2.5963										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	19	4412	4532	120			0.48254	0.4356	2.60642										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	2	4592	4612	20							174.84	174.84						0.57566	0.47789
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	20	4612	4702	90			0.57566	0.47789	2.6281										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	21	4842	4972	130			0.54305	0.50859	2.566										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	22	5022	5092	70			0.59396	0.5563	2.57076										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	23	5112	5222	110			0.61649	0.55782	2.5984										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	24	5242	5442	200			0.62265	0.55791	2.59181										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Whole	3	5442	5482	40						123.85	320.59	448.06	14.94			0.62265	0.55791	0.48933	0.35915
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	25	5482	6022	540			0.48933	0.35915	2.6502										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	26	6091	6211	120			0.49517	0.37903	2.61258										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	27	6231	6361	130			0.50674	0.39669	2.589										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	28	6381	6471	90			0.51903	0.41152	2.58684										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	29	6511	6761	250			0.53479	0.4173	2.60173										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	30	6781	7171	390			0.55326	0.38296	2.65552										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	31	7191	7291	100			0.5512	0.36591	2.62068										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	4	7331	7371	40							314.81	405.39						0.41017	0.46481
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	32	7371	7571	200			0.41017	0.46481	2.55278										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	33	7611	7721	110			0.42509	0.46513	2.52411										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	34	7740	7860	120			0.43626	0.47227	2.53815										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	35	7880	8540	660			0.4509	0.45214	2.54113										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	36	8560	9559	999			0.45744	0.43765	2.52903										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	37	9579	9899	320			0.46902	0.44007	2.55133										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	38	9939	10319	380			0.46434	0.48154	2.54623										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	39	10339	10749	410			0.46957	0.46577	2.58211										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	40	10789	11168	380			0.46722	0.48357	2.57357										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	41	11208	11608	400			0.46772	0.47528	2.55383										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	42	11628	11738	110			0.46382	0.45039	2.58901										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	43	11758	12418	660			0.4669	0.43391	2.60403										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	44	12458	12708	250			0.4627	0.42425	2.57683										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	45	12748	12987	240			0.45758	0.39941	2.56257										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	46	13047	13127	80			0.44626	0.39885	2.56776										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	47	13177	13277	100			0.44908	0.41094	2.55347										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	48	13297	13407	110			0.45137	0.42477	2.54459										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Whole	5	13407	13457	50						19.76	217.83	307.8	11.37			0.45137	0.42477	0.57571	0.38012
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	49	13457	13537	80			0.57571	0.38012	2.53433										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	50	13577	13767	190			0.57389	0.39061	2.52845										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	6	13767	13787	20							144.92	144.92				0.57389	0.39061		
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	51	13857	14027	170			0.4307	0.46417	2.46138										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	52	14147	14227	80			0.44939	0.45818	2.50672										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	53	14247	14337	90			0.46255	0.45194	2.52297										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	54	14377	14487	110			0.47238	0.44599	2.50806										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	55	14507	14756	250			0.47569	0.46898	2.47671										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	7	14826	14866	40							183.82	269.47						0.42361	0.61591
