Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK04	Thomas	Entire Recording	1		Fixation	Partial	1	0	195	195			0.46719	0.54902	2.38874										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	2	315	665	350			0.46577	0.5351	2.44952										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	1	785	815	30							172.79	213.64						0.52171	0.54554
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	3	815	894	80			0.52171	0.54554	2.50347										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	4	914	1174	260			0.51353	0.52874	2.48547										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	5	1254	1394	140			0.51136	0.54718	2.48795										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	6	1414	1644	230			0.50481	0.5582	2.48822										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	7	1684	1794	110			0.49926	0.52783	2.55444										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	8	1834	1944	110			0.49411	0.5026	2.53731										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	9	1984	2214	230			0.49334	0.49178	2.54645										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	10	2314	2414	100			0.47334	0.50543	2.50313										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	2	2414	2424	10							106.91	106.91				0.47334	0.50543		
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	11	2563	3203	640			0.46903	0.44329	2.52584										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Whole	3	3203	3243	40						16.9	270.65	375.47	11.78			0.46903	0.44329	0.5982	0.40405
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Whole	12	3243	3323	80			0.5982	0.40405	2.60721										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	4	3323	3343	20							232.14	232.14				0.5982	0.40405		
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	13	3383	3623	240			0.56103	0.41526	2.61243										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	14	3813	4063	250			0.57073	0.46727	2.57867										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	5	4123	4153	30							168.3	200.28						0.51122	0.44833
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	15	4153	4322	170			0.51122	0.44833	2.56866										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	16	4382	4492	110			0.49066	0.41628	2.62792										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	17	4512	4622	110			0.48673	0.39384	2.60923										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	18	4662	4942	280			0.4935	0.36904	2.59523										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	19	4962	5232	270			0.49199	0.34951	2.51918										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	20	5282	6041	760			0.49816	0.33799	2.48916										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	21	6061	7561	1499			0.5071	0.31408	2.58507										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	22	7581	8110	530			0.50277	0.33068	2.59571										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	23	8300	8830	530			0.50116	0.31665	2.59586										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	24	8870	9090	220			0.49145	0.33304	2.59214										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	25	9130	9380	250			0.48516	0.33452	2.59202										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	26	9400	9509	110			0.48516	0.32516	2.5828										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	27	9529	9709	180			0.47733	0.3077	2.60295										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	28	9819	10079	260			0.47323	0.31115	2.60684										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	29	10099	10679	580			0.4703	0.40181	2.53552										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	30	10699	10829	130			0.46071	0.51183	2.49185										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Whole	6	10829	10849	20						260.79	148.31	163.74	3.48			0.46071	0.51183	0.45051	0.57474
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	31	10849	11039	190			0.45051	0.57474	2.47916										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	7	11139	11159	20							131.77	146.61							
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	8	11208	11228	20							113.59	113.59							
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	32	11268	11378	110			0.48701	0.49807	2.55364										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	33	11398	11478	80			0.47167	0.43954	2.58369										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	34	11518	11628	110			0.45506	0.40812	2.56808										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	35	11668	11928	260			0.45743	0.37757	2.56612										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	36	11948	12698	750			0.46185	0.35516	2.55854										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	9	12838	12888	50							159.85	187.42							
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	37	12957	13047	90			0.35491	0.29811	2.62912										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	38	13067	13177	110			0.40427	0.30468	2.66333										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	39	13197	13317	120			0.44301	0.31516	2.67292										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	40	13337	14397	1059			0.46005	0.41027	2.50472										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	41	14437	15566	1129			0.46386	0.44519	2.51207										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Whole	10	15566	15646	80						220.11	263.84	357.19	20.2			0.46386	0.44519	0.25129	0.62422
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	42	15646	15776	130			0.25129	0.62422	2.52846										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	11	15826	15846	20							132.55	150.73							
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	12	15996	16016	20							174.55	174.55							
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	13	16056	16076	20							128.91	154.36							
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	14	16096	16116	20							208.87	230.74							
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	15	16146	16186	40							147.75	156.71						0.45265	0.44153
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	43	16186	19664	3478			0.45265	0.44153	2.53388										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	44	19684	20223	540			0.45433	0.43876	2.57361										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	45	20303	21822	1519			0.45546	0.4367	2.60531										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	46	21962	22072	110			0.45651	0.48199	2.51782										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	47	22132	22392	260			0.45977	0.43651	2.6295										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	48	22412	25270	2858			0.45318	0.42841	2.55992										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	16	25270	25300	30							420.29	563.79				0.45318	0.42841		
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	17	25320	25350	30							355.59	421.51						0.64988	0.58911
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	49	25350	25450	100			0.64988	0.58911	2.72682										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	50	25470	25610	140			0.57947	0.55432	2.7052										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	51	25630	25710	80			0.52907	0.52499	2.61813										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	18	25750	25770	20							113.83	113.83						0.46227	0.46061
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	52	25770	26130	360			0.46227	0.46061	2.50846										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	53	26150	26240	90			0.43096	0.42684	2.44652										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	54	26280	26450	170			0.43341	0.38935	2.47186										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	55	26470	28748	2279			0.45688	0.36752	2.54755										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Whole	19	28748	28778	30						235.92	173.52	201.74	2.79			0.45688	0.36752	0.43234	0.40379
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	56	28778	29178	400			0.43234	0.40379	2.58285										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	20	29238	29268	30							169.01	181.77							
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	21	29278	29298	20							107.41	107.41							
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	57	29338	29498	160			0.32306	0.59481	2.44388										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	22	29498	29518	20							124.11	124.11				0.32306	0.59481		
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	58	29598	29748	150			0.42247	0.54704	2.37574										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	59	29768	29848	80			0.4533	0.54041	2.34086										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	60	29868	29958	90			0.47368	0.53291	2.30551										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	61	29998	30267	270			0.49037	0.49408	2.3418										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	62	30287	30507	220			0.51722	0.45498	2.39772										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	63	30567	30667	100			0.52435	0.40434	2.47732										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	64	30817	31047	230			0.50235	0.33165	2.51433										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	65	31087	31347	260			0.49694	0.30333	2.5107										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	66	31367	31497	130			0.50113	0.28968	2.53648										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	67	31517	31637	120			0.51036	0.27993	2.55016										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	68	31697	31876	180			0.51727	0.26065	2.55232										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	69	31966	32206	240			0.51939	0.2666	2.56563										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	70	32246	32346	100			0.50673	0.30668	2.54774										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	71	32366	32446	80			0.48928	0.37248	2.50503										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	72	32496	32566	70			0.4882	0.43441	2.48132										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	23	32786	32816	30							179.74	209.82						0.51392	0.28192
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	73	32816	32916	100			0.51392	0.28192	2.52828										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	74	32936	33166	230			0.50902	0.28564	2.47416										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	75	33186	33426	240			0.52186	0.26168	2.42253										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	76	33446	33555	110			0.53181	0.23763	2.32341										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	77	33595	33705	110			0.53161	0.21327	2.30166										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	78	33785	34615	830			0.53528	0.18141	2.39313										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	79	34665	35334	670			0.54475	0.14567	2.46913										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	80	35354	35484	130			0.54142	0.15195	2.48913										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	81	35504	36294	790			0.52683	0.16392	2.56351										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Whole	24	36294	36304	10						245.88	128.18	128.18	2.93			0.52683	0.16392	0.50681	0.20862
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Whole	82	36304	36584	280			0.50681	0.20862	2.47892										
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	25	36584	36614	30							914.75	1182.74				0.50681	0.20862		
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	26	36684	36714	30							766.87	766.87							
TK04	Thomas	Entire Recording	1	fullstream	Saccade	Partial	27	36804	36824	20							242.56	242.56						0.63523	0.46727
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	83	36824	36914	90			0.63523	0.46727	2.4796										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	84	37063	37233	170			0.571	0.48058	2.50439										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	85	37253	37333	80			0.54177	0.48039	2.47157										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	86	37353	37463	110			0.52318	0.47168	2.45592										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	87	37483	37583	100			0.50242	0.4764	2.4489										
TK04	Thomas	Entire Recording	1	fullstream	Fixation	Partial	88	37633	37713	80			0.48466	0.48254	2.44595										
