Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0.0	175.0	175	866.0	524.0
280.0	560.0	280	862.0	518.0
1459.0	1529.0	70	784.0	449.0
1549.0	1649.0	100	892.0	430.0
1669.0	1789.0	120	849.0	425.0
1809.0	1919.0	110	864.0	454.0
2069.0	2359.0	290	878.0	505.0
2409.0	3139.0	730	877.0	506.0
3178.0	3358.0	180	891.0	524.0
3458.0	3618.0	160	921.0	550.0
3628.0	3758.0	130	896.0	576.0
3858.0	4288.0	430	945.0	493.0
4308.0	4428.0	120	905.0	513.0
4447.0	4537.0	90	898.0	526.0
4557.0	4687.0	130	863.0	536.0
4707.0	4937.0	230	837.0	550.0
5037.0	5127.0	90	878.0	573.0
5177.0	5277.0	100	850.0	534.0
5297.0	5407.0	110	856.0	570.0
5427.0	5777.0	350	846.0	648.0
5867.0	5977.0	110	1090.0	550.0
5997.0	6107.0	110	1054.0	525.0
6146.0	6406.0	260	1012.0	510.0
6466.0	6556.0	90	779.0	655.0
6576.0	6706.0	130	854.0	593.0
6726.0	6986.0	260	933.0	526.0
7026.0	7266.0	240	966.0	529.0
7326.0	7556.0	230	919.0	473.0
7596.0	8236.0	640	910.0	445.0
8275.0	8365.0	90	914.0	434.0
8425.0	8795.0	370	913.0	416.0
8865.0	9275.0	410	922.0	447.0
9295.0	9655.0	360	912.0	474.0
9724.0	10124.0	400	907.0	507.0
10144.0	10244.0	100	900.0	497.0
10324.0	10524.0	200	927.0	502.0
10564.0	12073.0	1509	915.0	498.0
12093.0	12193.0	100	888.0	472.0
12263.0	12623.0	360	871.0	444.0
12643.0	13303.0	660	846.0	454.0
13382.0	13452.0	70	843.0	481.0
13492.0	13642.0	150	887.0	464.0
13662.0	13762.0	100	911.0	413.0
13782.0	13972.0	190	895.0	405.0
14022.0	14162.0	140	883.0	678.0
14182.0	14312.0	130	892.0	645.0
14332.0	14642.0	310	894.0	580.0
14741.0	15561.0	820	897.0	520.0
15581.0	15691.0	110	869.0	487.0
15711.0	15821.0	110	852.0	481.0
15861.0	15971.0	110	831.0	473.0
16800.0	16920.0	120	595.0	275.0
16980.0	17180.0	200	765.0	351.0
17240.0	17360.0	120	859.0	399.0
17380.0	17600.0	220	888.0	404.0
17610.0	17790.0	180	893.0	368.0
17850.0	18510.0	660	881.0	342.0
18529.0	18659.0	130	882.0	344.0
18689.0	19159.0	470	887.0	329.0
