Recording timestamp	Computer timestamp	Sensor	Eye movement type	Gaze event duration	Fixation point X	Fixation point Y
0	2953372147	Eye Tracker	Fixation	175	866	524
9986	2953382133	Eye Tracker	Fixation	175	866	524
19979	2953392126	Eye Tracker	Fixation	175	866	524
29972	2953402119	Eye Tracker	Fixation	175	866	524
39964	2953412111	Eye Tracker	Fixation	175	866	524
49954	2953422101	Eye Tracker	Fixation	175	866	524
59944	2953432091	Eye Tracker	Fixation	175	866	524
69941	2953442088	Eye Tracker	Fixation	175	866	524
79932	2953452079	Eye Tracker	Fixation	175	866	524
89919	2953462066	Eye Tracker	Fixation	175	866	524
99913	2953472060	Eye Tracker	Fixation	175	866	524
109905	2953482052	Eye Tracker	Fixation	175	866	524
119900	2953492047	Eye Tracker	Fixation	175	866	524
129917	2953502064	Eye Tracker	Fixation	175	866	524
139907	2953512054	Eye Tracker	Fixation	175	866	524
149904	2953522051	Eye Tracker	Fixation	175	866	524
159895	2953532042	Eye Tracker	Fixation	175	866	524
169885	2953542032	Eye Tracker	Fixation	175	866	524
279826	2953651973	Eye Tracker	Fixation	280	862	518
289813	2953661960	Eye Tracker	Fixation	280	862	518
299805	2953671952	Eye Tracker	Fixation	280	862	518
309798	2953681945	Eye Tracker	Fixation	280	862	518
319795	2953691942	Eye Tracker	Fixation	280	862	518
329781	2953701928	Eye Tracker	Fixation	280	862	518
339802	2953711949	Eye Tracker	Fixation	280	862	518
349798	2953721945	Eye Tracker	Fixation	280	862	518
359789	2953731936	Eye Tracker	Fixation	280	862	518
369779	2953741926	Eye Tracker	Fixation	280	862	518
379769	2953751916	Eye Tracker	Fixation	280	862	518
389762	2953761909	Eye Tracker	Fixation	280	862	518
399757	2953771904	Eye Tracker	Fixation	280	862	518
409744	2953781891	Eye Tracker	Fixation	280	862	518
419736	2953791883	Eye Tracker	Fixation	280	862	518
429728	2953801875	Eye Tracker	Fixation	280	862	518
439722	2953811869	Eye Tracker	Fixation	280	862	518
449712	2953821859	Eye Tracker	Fixation	280	862	518
459703	2953831850	Eye Tracker	Fixation	280	862	518
469698	2953841845	Eye Tracker	Fixation	280	862	518
479720	2953851867	Eye Tracker	Fixation	280	862	518
489711	2953861858	Eye Tracker	Fixation	280	862	518
499702	2953871849	Eye Tracker	Fixation	280	862	518
509693	2953881840	Eye Tracker	Fixation	280	862	518
519689	2953891836	Eye Tracker	Fixation	280	862	518
529675	2953901822	Eye Tracker	Fixation	280	862	518
539669	2953911816	Eye Tracker	Fixation	280	862	518
549662	2953921809	Eye Tracker	Fixation	280	862	518
559662	2953931809	Eye Tracker	EyesNotFound	20		
569662	2953941809	Eye Tracker	EyesNotFound	20		
579663	2953951810	Eye Tracker	Saccade	40		
589660	2953961807	Eye Tracker	Saccade	40		
599651	2953971798	Eye Tracker	Saccade	40		
609638	2953981785	Eye Tracker	Saccade	40		
619631	2953991778	Eye Tracker	EyesNotFound	710		
629624	2954001771	Eye Tracker	EyesNotFound	710		
639614	2954011761	Eye Tracker	EyesNotFound	710		
649604	2954021751	Eye Tracker	EyesNotFound	710		
659595	2954031742	Eye Tracker	EyesNotFound	710		
669590	2954041737	Eye Tracker	EyesNotFound	710		
679583	2954051730	Eye Tracker	EyesNotFound	710		
689583	2954061730	Eye Tracker	EyesNotFound	710		
699583	2954071730	Eye Tracker	EyesNotFound	710		
709585	2954081732	Eye Tracker	EyesNotFound	710		
719581	2954091728	Eye Tracker	EyesNotFound	710		
729567	2954101714	Eye Tracker	EyesNotFound	710		
739562	2954111709	Eye Tracker	EyesNotFound	710		
749554	2954121701	Eye Tracker	EyesNotFound	710		
759546	2954131693	Eye Tracker	EyesNotFound	710		
769534	2954141681	Eye Tracker	EyesNotFound	710		
779526	2954151673	Eye Tracker	EyesNotFound	710		
789522	2954161669	Eye Tracker	EyesNotFound	710		
799514	2954171661	Eye Tracker	EyesNotFound	710		
809500	2954181647	Eye Tracker	EyesNotFound	710		
819494	2954191641	Eye Tracker	EyesNotFound	710		
829486	2954201633	Eye Tracker	EyesNotFound	710		
839487	2954211634	Eye Tracker	EyesNotFound	710		
849488	2954221635	Eye Tracker	EyesNotFound	710		
859489	2954231636	Eye Tracker	EyesNotFound	710		
869484	2954241631	Eye Tracker	EyesNotFound	710		
879477	2954251624	Eye Tracker	EyesNotFound	710		
889466	2954261613	Eye Tracker	EyesNotFound	710		
899456	2954271603	Eye Tracker	EyesNotFound	710		
909448	2954281595	Eye Tracker	EyesNotFound	710		
919445	2954291592	Eye Tracker	EyesNotFound	710		
929430	2954301577	Eye Tracker	EyesNotFound	710		
939426	2954311573	Eye Tracker	EyesNotFound	710		
949416	2954321563	Eye Tracker	EyesNotFound	710		
959440	2954331587	Eye Tracker	EyesNotFound	710		
969429	2954341576	Eye Tracker	EyesNotFound	710		
979422	2954351569	Eye Tracker	EyesNotFound	710		
989415	2954361562	Eye Tracker	EyesNotFound	710		
999408	2954371555	Eye Tracker	EyesNotFound	710		
1009392	2954381539	Eye Tracker	EyesNotFound	710		
1019388	2954391535	Eye Tracker	EyesNotFound	710		
1029380	2954401527	Eye Tracker	EyesNotFound	710		
1039377	2954411524	Eye Tracker	EyesNotFound	710		
1049362	2954421509	Eye Tracker	EyesNotFound	710		
1059384	2954431531	Eye Tracker	EyesNotFound	710		
1069379	2954441526	Eye Tracker	EyesNotFound	710		
1079371	2954451518	Eye Tracker	EyesNotFound	710		
1089359	2954461506	Eye Tracker	EyesNotFound	710		
1099351	2954471498	Eye Tracker	EyesNotFound	710		
1109342	2954481489	Eye Tracker	EyesNotFound	710		
1119338	2954491485	Eye Tracker	EyesNotFound	710		
1129328	2954501475	Eye Tracker	EyesNotFound	710		
1139318	2954511465	Eye Tracker	EyesNotFound	710		
1149310	2954521457	Eye Tracker	EyesNotFound	710		
1159303	2954531450	Eye Tracker	EyesNotFound	710		
1169293	2954541440	Eye Tracker	EyesNotFound	710		
1179283	2954551430	Eye Tracker	EyesNotFound	710		
1189279	2954561426	Eye Tracker	EyesNotFound	710		
1199303	2954571450	Eye Tracker	EyesNotFound	710		
1209287	2954581434	Eye Tracker	EyesNotFound	710		
1219283	2954591430	Eye Tracker	EyesNotFound	710		
1229273	2954601420	Eye Tracker	EyesNotFound	710		
1239269	2954611416	Eye Tracker	EyesNotFound	710		
1249256	2954621403	Eye Tracker	EyesNotFound	710		
1259254	2954631401	Eye Tracker	EyesNotFound	710		
1269252	2954641399	Eye Tracker	EyesNotFound	710		
1279250	2954651397	Eye Tracker	EyesNotFound	710		
1289248	2954661395	Eye Tracker	EyesNotFound	710		
1299246	2954671393	Eye Tracker	EyesNotFound	710		
1309237	2954681384	Eye Tracker	EyesNotFound	710		
1319228	2954691375	Eye Tracker	EyesNotFound	710		
1329219	2954701366	Eye Tracker	Unclassified	10		
1339213	2954711360	Eye Tracker	EyesNotFound	20		
1349207	2954721354	Eye Tracker	EyesNotFound	20		
1359197	2954731344	Eye Tracker	Saccade	30		
1369188	2954741335	Eye Tracker	Saccade	30		
1379178	2954751325	Eye Tracker	Saccade	30		
1389180	2954761327	Eye Tracker	EyesNotFound	20		
1399182	2954771329	Eye Tracker	EyesNotFound	20		
1409185	2954781332	Eye Tracker	Unclassified	30		
1419178	2954791325	Eye Tracker	Unclassified	30		
1429170	2954801317	Eye Tracker	Unclassified	30		
1439164	2954811311	Eye Tracker	Saccade	20		
1449153	2954821300	Eye Tracker	Saccade	20		
1459142	2954831289	Eye Tracker	Fixation	70	784	449
1469138	2954841285	Eye Tracker	Fixation	70	784	449
1479129	2954851276	Eye Tracker	Fixation	70	784	449
1489121	2954861268	Eye Tracker	Fixation	70	784	449
1499112	2954871259	Eye Tracker	Fixation	70	784	449
1509103	2954881250	Eye Tracker	Fixation	70	784	449
1519098	2954891245	Eye Tracker	Fixation	70	784	449
1529099	2954901246	Eye Tracker	EyesNotFound	20		
1539100	2954911247	Eye Tracker	EyesNotFound	20		
1549103	2954921250	Eye Tracker	Fixation	100	892	430
1559093	2954931240	Eye Tracker	Fixation	100	892	430
1569084	2954941231	Eye Tracker	Fixation	100	892	430
1579074	2954951221	Eye Tracker	Fixation	100	892	430
1589070	2954961217	Eye Tracker	Fixation	100	892	430
1599062	2954971209	Eye Tracker	Fixation	100	892	430
1609048	2954981195	Eye Tracker	Fixation	100	892	430
1619042	2954991189	Eye Tracker	Fixation	100	892	430
1629035	2955001182	Eye Tracker	Fixation	100	892	430
1639030	2955011177	Eye Tracker	Fixation	100	892	430
1649048	2955021195	Eye Tracker	Saccade	20		
1659007	2955031154	Eye Tracker	Saccade	20		
1669003	2955041150	Eye Tracker	Fixation	120	849	425
1679024	2955051171	Eye Tracker	Fixation	120	849	425
1689016	2955061163	Eye Tracker	Fixation	120	849	425
1699005	2955071152	Eye Tracker	Fixation	120	849	425
1708997	2955081144	Eye Tracker	Fixation	120	849	425
1718993	2955091140	Eye Tracker	Fixation	120	849	425
1728979	2955101126	Eye Tracker	Fixation	120	849	425
1738972	2955111119	Eye Tracker	Fixation	120	849	425
1748967	2955121114	Eye Tracker	Fixation	120	849	425
1758957	2955131104	Eye Tracker	Fixation	120	849	425
1768948	2955141095	Eye Tracker	Fixation	120	849	425
1778937	2955151084	Eye Tracker	Fixation	120	849	425
1788939	2955161086	Eye Tracker	EyesNotFound	20		
1798941	2955171088	Eye Tracker	EyesNotFound	20		
1808943	2955181090	Eye Tracker	Fixation	110	864	454
1818937	2955191084	Eye Tracker	Fixation	110	864	454
1828927	2955201074	Eye Tracker	Fixation	110	864	454
1838923	2955211070	Eye Tracker	Fixation	110	864	454
1848912	2955221059	Eye Tracker	Fixation	110	864	454
1858900	2955231047	Eye Tracker	Fixation	110	864	454
1868897	2955241044	Eye Tracker	Fixation	110	864	454
1878918	2955251065	Eye Tracker	Fixation	110	864	454
1888909	2955261056	Eye Tracker	Fixation	110	864	454
1898899	2955271046	Eye Tracker	Fixation	110	864	454
1908892	2955281039	Eye Tracker	Fixation	110	864	454
1918883	2955291030	Eye Tracker	EyesNotFound	40		
1928874	2955301021	Eye Tracker	EyesNotFound	40		
1938865	2955311012	Eye Tracker	EyesNotFound	40		
1948856	2955321003	Eye Tracker	EyesNotFound	40		
1958851	2955330998	Eye Tracker	Unclassified	20		
1968841	2955340988	Eye Tracker	Unclassified	20		
1978831	2955350978	Eye Tracker	Saccade	20		
1988827	2955360974	Eye Tracker	Saccade	20		
1998849	2955370996	Eye Tracker	EyesNotFound	50		
2008805	2955380952	Eye Tracker	EyesNotFound	50		
2018798	2955390945	Eye Tracker	EyesNotFound	50		
2028821	2955400968	Eye Tracker	EyesNotFound	50		
2038816	2955410963	Eye Tracker	EyesNotFound	50		
2048803	2955420950	Eye Tracker	Saccade	20		
2058794	2955430941	Eye Tracker	Saccade	20		
2068789	2955440936	Eye Tracker	Fixation	290	878	505
2078781	2955450928	Eye Tracker	Fixation	290	878	505
2088772	2955460919	Eye Tracker	Fixation	290	878	505
2098763	2955470910	Eye Tracker	Fixation	290	878	505
2108786	2955480933	Eye Tracker	Fixation	290	878	505
2118781	2955490928	Eye Tracker	Fixation	290	878	505
2128766	2955500913	Eye Tracker	Fixation	290	878	505
2138760	2955510907	Eye Tracker	Fixation	290	878	505
2148754	2955520901	Eye Tracker	Fixation	290	878	505
2158746	2955530893	Eye Tracker	Fixation	290	878	505
2168736	2955540883	Eye Tracker	Fixation	290	878	505
2178725	2955550872	Eye Tracker	Fixation	290	878	505
2188722	2955560869	Eye Tracker	Fixation	290	878	505
2198713	2955570860	Eye Tracker	Fixation	290	878	505
2208700	2955580847	Eye Tracker	Fixation	290	878	505
2218693	2955590840	Eye Tracker	Fixation	290	878	505
2228686	2955600833	Eye Tracker	Fixation	290	878	505
2238681	2955610828	Eye Tracker	Fixation	290	878	505
2248699	2955620846	Eye Tracker	Fixation	290	878	505
2258688	2955630835	Eye Tracker	Fixation	290	878	505
2268685	2955640832	Eye Tracker	Fixation	290	878	505
2278675	2955650822	Eye Tracker	Fixation	290	878	505
2288667	2955660814	Eye Tracker	Fixation	290	878	505
2298657	2955670804	Eye Tracker	Fixation	290	878	505
2308650	2955680797	Eye Tracker	Fixation	290	878	505
2318645	2955690792	Eye Tracker	Fixation	290	878	505
2328631	2955700778	Eye Tracker	Fixation	290	878	505
2338624	2955710771	Eye Tracker	Fixation	290	878	505
2348618	2955720765	Eye Tracker	Fixation	290	878	505
2358618	2955730765	Eye Tracker	EyesNotFound	20		
2368618	2955740765	Eye Tracker	EyesNotFound	20		
2378618	2955750765	Eye Tracker	Unclassified	10		
2388610	2955760757	Eye Tracker	EyesNotFound	20		
2398602	2955770749	Eye Tracker	EyesNotFound	20		
2408595	2955780742	Eye Tracker	Fixation	730	877	506
2418588	2955790735	Eye Tracker	Fixation	730	877	506
2428580	2955800727	Eye Tracker	Fixation	730	877	506
2438575	2955810722	Eye Tracker	Fixation	730	877	506
2448563	2955820710	Eye Tracker	Fixation	730	877	506
2458551	2955830698	Eye Tracker	Fixation	730	877	506
2468548	2955840695	Eye Tracker	Fixation	730	877	506
2478540	2955850687	Eye Tracker	Fixation	730	877	506
2488530	2955860677	Eye Tracker	Fixation	730	877	506
2498551	2955870698	Eye Tracker	Fixation	730	877	506
2508542	2955880689	Eye Tracker	Fixation	730	877	506
2518533	2955890680	Eye Tracker	Fixation	730	877	506
2528524	2955900671	Eye Tracker	Fixation	730	877	506
2538519	2955910666	Eye Tracker	Fixation	730	877	506
2548513	2955920660	Eye Tracker	Fixation	730	877	506
2558503	2955930650	Eye Tracker	Fixation	730	877	506
2568494	2955940641	Eye Tracker	Fixation	730	877	506
2578482	2955950629	Eye Tracker	Fixation	730	877	506
2588479	2955960626	Eye Tracker	Fixation	730	877	506
2598472	2955970619	Eye Tracker	Fixation	730	877	506
2608468	2955980615	Eye Tracker	Fixation	730	877	506
2618464	2955990611	Eye Tracker	Fixation	730	877	506
2628460	2956000607	Eye Tracker	Fixation	730	877	506
2638456	2956010603	Eye Tracker	Fixation	730	877	506
2648456	2956020603	Eye Tracker	Fixation	730	877	506
2658446	2956030593	Eye Tracker	Fixation	730	877	506
2668443	2956040590	Eye Tracker	Fixation	730	877	506
2678434	2956050581	Eye Tracker	Fixation	730	877	506
2688425	2956060572	Eye Tracker	Fixation	730	877	506
2698415	2956070562	Eye Tracker	Fixation	730	877	506
2708406	2956080553	Eye Tracker	Fixation	730	877	506
2718401	2956090548	Eye Tracker	Fixation	730	877	506
2728420	2956100567	Eye Tracker	Fixation	730	877	506
2738413	2956110560	Eye Tracker	Fixation	730	877	506
2748406	2956120553	Eye Tracker	Fixation	730	877	506
2758396	2956130543	Eye Tracker	Fixation	730	877	506
2768386	2956140533	Eye Tracker	Fixation	730	877	506
2778377	2956150524	Eye Tracker	Fixation	730	877	506
2788374	2956160521	Eye Tracker	Fixation	730	877	506
2798365	2956170512	Eye Tracker	Fixation	730	877	506
2808352	2956180499	Eye Tracker	Fixation	730	877	506
2818346	2956190493	Eye Tracker	Fixation	730	877	506
2828337	2956200484	Eye Tracker	Fixation	730	877	506
2838332	2956210479	Eye Tracker	Fixation	730	877	506
2848351	2956220498	Eye Tracker	Fixation	730	877	506
2858341	2956230488	Eye Tracker	Fixation	730	877	506
2868333	2956240480	Eye Tracker	Fixation	730	877	506
2878325	2956250472	Eye Tracker	Fixation	730	877	506
2888317	2956260464	Eye Tracker	Fixation	730	877	506
2898309	2956270456	Eye Tracker	Fixation	730	877	506
2908301	2956280448	Eye Tracker	Fixation	730	877	506
2918297	2956290444	Eye Tracker	Fixation	730	877	506
2928283	2956300430	Eye Tracker	Fixation	730	877	506
2938276	2956310423	Eye Tracker	Fixation	730	877	506
2948270	2956320417	Eye Tracker	Fixation	730	877	506
2958291	2956330438	Eye Tracker	Fixation	730	877	506
2968282	2956340429	Eye Tracker	Fixation	730	877	506
2978272	2956350419	Eye Tracker	Fixation	730	877	506
2988269	2956360416	Eye Tracker	Fixation	730	877	506
2998260	2956370407	Eye Tracker	Fixation	730	877	506
3008247	2956380394	Eye Tracker	Fixation	730	877	506
3018239	2956390386	Eye Tracker	Fixation	730	877	506
3028232	2956400379	Eye Tracker	Fixation	730	877	506
3038227	2956410374	Eye Tracker	Fixation	730	877	506
3048215	2956420362	Eye Tracker	Fixation	730	877	506
3058205	2956430352	Eye Tracker	Fixation	730	877	506
3068201	2956440348	Eye Tracker	Fixation	730	877	506
3078201	2956450348	Eye Tracker	Fixation	730	877	506
3088201	2956460348	Eye Tracker	Fixation	730	877	506
3098203	2956470350	Eye Tracker	Fixation	730	877	506
3108196	2956480343	Eye Tracker	Fixation	730	877	506
3118191	2956490338	Eye Tracker	Fixation	730	877	506
3128177	2956500324	Eye Tracker	Fixation	730	877	506
3138168	2956510315	Eye Tracker	EyesNotFound	40		
3148159	2956520306	Eye Tracker	EyesNotFound	40		
3158150	2956530297	Eye Tracker	EyesNotFound	40		
3168141	2956540288	Eye Tracker	EyesNotFound	40		
3178134	2956550281	Eye Tracker	Fixation	180	891	524
3188132	2956560279	Eye Tracker	Fixation	180	891	524
3198123	2956570270	Eye Tracker	Fixation	180	891	524
3208141	2956580288	Eye Tracker	Fixation	180	891	524
3218134	2956590281	Eye Tracker	Fixation	180	891	524
3228128	2956600275	Eye Tracker	Fixation	180	891	524
3238122	2956610269	Eye Tracker	Fixation	180	891	524
3248109	2956620256	Eye Tracker	Fixation	180	891	524
3258097	2956630244	Eye Tracker	Fixation	180	891	524
3268095	2956640242	Eye Tracker	Fixation	180	891	524
3278086	2956650233	Eye Tracker	Fixation	180	891	524
3288076	2956660223	Eye Tracker	Fixation	180	891	524
3298066	2956670213	Eye Tracker	Fixation	180	891	524
3308089	2956680236	Eye Tracker	Fixation	180	891	524
3318085	2956690232	Eye Tracker	Fixation	180	891	524
3328071	2956700218	Eye Tracker	Fixation	180	891	524
3338065	2956710212	Eye Tracker	Fixation	180	891	524
3348057	2956720204	Eye Tracker	Fixation	180	891	524
3358047	2956730194	Eye Tracker	EyesNotFound	20		
3368037	2956740184	Eye Tracker	EyesNotFound	20		
