Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
340.0	430.0	90	787.0	510.0
550.0	920.0	370	943.0	514.0
959.0	1269.0	310	938.0	515.0
1299.0	1509.0	210	1175.0	530.0
1679.0	1789.0	110	1166.0	484.0
1829.0	2019.0	190	959.0	490.0
2039.0	2319.0	280	875.0	482.0
2359.0	2759.0	400	874.0	500.0
2778.0	2938.0	160	884.0	532.0
2958.0	3278.0	320	900.0	571.0
3298.0	3498.0	200	902.0	584.0
3598.0	3668.0	70	987.0	536.0
3708.0	3958.0	250	964.0	543.0
3978.0	4168.0	190	957.0	566.0
4307.0	4437.0	130	463.0	740.0
4457.0	4557.0	100	537.0	721.0
4577.0	4677.0	100	545.0	733.0
4697.0	4827.0	130	556.0	740.0
4987.0	5227.0	240	984.0	582.0
5267.0	5507.0	240	895.0	514.0
5547.0	5957.0	410	848.0	469.0
6017.0	6127.0	110	869.0	433.0
6296.0	6446.0	150	1112.0	423.0
6576.0	6826.0	250	1049.0	474.0
6866.0	7106.0	240	1088.0	459.0
7266.0	7406.0	140	1095.0	484.0
7526.0	7646.0	120	903.0	523.0
7696.0	8396.0	700	930.0	515.0
8415.0	9974.0	1559	956.0	530.0
10014.0	10913.0	899	972.0	557.0
11533.0	11643.0	110	963.0	558.0
11663.0	11903.0	240	949.0	564.0
11943.0	12213.0	270	936.0	570.0
12233.0	12303.0	70	940.0	551.0
12343.0	12573.0	230	944.0	539.0
12633.0	12743.0	110	973.0	532.0
12763.0	13073.0	310	934.0	472.0
13092.0	13242.0	150	921.0	479.0
13282.0	13542.0	260	874.0	444.0
13562.0	13672.0	110	862.0	388.0
13692.0	13792.0	100	905.0	342.0
13832.0	13942.0	110	946.0	365.0
14002.0	14092.0	90	865.0	624.0
14112.0	14342.0	230	883.0	601.0
14382.0	14492.0	110	972.0	644.0
14532.0	14972.0	440	908.0	528.0
14991.0	16020.0	1029	870.0	417.0
16061.0	16421.0	360	877.0	433.0
16460.0	16610.0	150	879.0	452.0
16660.0	16820.0	160	918.0	508.0
17050.0	17210.0	160	895.0	344.0
17310.0	19988.0	2678	904.0	363.0
20008.0	20238.0	230	919.0	344.0
20318.0	20468.0	150	913.0	510.0
20558.0	20748.0	190	912.0	627.0
20978.0	21118.0	140	497.0	424.0
21318.0	21408.0	90	743.0	464.0
21448.0	21848.0	400	766.0	479.0
21867.0	23396.0	1529	755.0	484.0
23416.0	28533.0	5117	779.0	460.0
28883.0	28973.0	90	1169.0	631.0
28993.0	29143.0	150	1069.0	587.0
29163.0	29263.0	100	952.0	507.0
29283.0	29713.0	430	851.0	466.0
29733.0	30093.0	360	828.0	452.0
30133.0	31122.0	989	841.0	432.0
31232.0	32211.0	979	843.0	433.0
32231.0	32681.0	450	862.0	428.0
32711.0	32891.0	180	737.0	457.0
33311.0	33421.0	110	644.0	544.0
33461.0	33561.0	100	728.0	527.0
33730.0	33810.0	80	810.0	468.0
33850.0	33960.0	110	840.0	451.0
33980.0	34130.0	150	866.0	417.0
34250.0	34360.0	110	917.0	350.0
34380.0	34490.0	110	910.0	310.0
34510.0	34880.0	370	917.0	275.0
34960.0	35230.0	270	913.0	261.0
35250.0	35380.0	130	904.0	239.0
35399.0	35939.0	540	905.0	217.0
36099.0	36179.0	80	898.0	257.0
36199.0	36269.0	70	892.0	285.0
36329.0	36439.0	110	872.0	330.0
36459.0	36579.0	120	867.0	380.0
36599.0	36689.0	90	864.0	415.0
36729.0	36959.0	230	856.0	483.0
36999.0	37259.0	260	871.0	514.0
37278.0	37888.0	610	885.0	511.0
37958.0	38128.0	170	913.0	183.0
38148.0	38528.0	380	926.0	174.0
38548.0	40367.0	1819	936.0	166.0
40417.0	40547.0	130	899.0	455.0
40676.0	41605.0	929	890.0	508.0
41646.0	41746.0	100	1097.0	443.0
41846.0	41976.0	130	1101.0	380.0
41996.0	42096.0	100	1037.0	388.0
42166.0	42456.0	290	963.0	401.0
42475.0	42625.0	150	927.0	405.0
42725.0	42975.0	250	905.0	415.0
42995.0	43255.0	260	893.0	432.0
43295.0	45184.0	1889	863.0	446.0
45264.0	46413.0	1149	852.0	447.0
46513.0	48372.0	1859	845.0	453.0
48462.0	48912.0	450	847.0	458.0
49042.0	49182.0	140	795.0	603.0
49241.0	49521.0	280	784.0	529.0
49561.0	49651.0	90	822.0	520.0
49691.0	49941.0	250	853.0	507.0
49961.0	50231.0	270	871.0	484.0
50381.0	50661.0	280	883.0	451.0
50681.0	50941.0	260	885.0	428.0
51000.0	51120.0	120	888.0	379.0
51160.0	51270.0	110	940.0	330.0
51310.0	51560.0	250	1011.0	380.0
51580.0	52070.0	490	1020.0	482.0
52080.0	52280.0	200	939.0	550.0
52300.0	52540.0	240	908.0	507.0
52699.0	52839.0	140	1319.0	499.0
52959.0	53069.0	110	1172.0	493.0
53109.0	53279.0	170	1129.0	547.0
53299.0	53379.0	80	1143.0	551.0
53549.0	54089.0	540	839.0	555.0
54159.0	54229.0	70	888.0	509.0
54249.0	55438.0	1189	906.0	508.0
55478.0	55908.0	430	916.0	517.0
55928.0	56148.0	220	890.0	511.0
56167.0	56557.0	390	897.0	489.0
56577.0	57387.0	810	908.0	494.0
57447.0	58596.0	1149	891.0	506.0
58676.0	59595.0	919	892.0	510.0
59615.0	60395.0	780	894.0	513.0
60415.0	60585.0	170	878.0	530.0
60695.0	60935.0	240	796.0	606.0
60975.0	61145.0	170	841.0	556.0
61364.0	61514.0	150	667.0	765.0
61534.0	61624.0	90	724.0	742.0
61684.0	61774.0	90	676.0	736.0
61984.0	62114.0	130	858.0	522.0
62134.0	62204.0	70	947.0	480.0
62244.0	62464.0	220	998.0	471.0
62534.0	62684.0	150	1037.0	463.0
62714.0	63174.0	460	885.0	510.0
63213.0	63303.0	90	879.0	531.0
63343.0	63443.0	100	829.0	562.0
63483.0	64093.0	610	862.0	551.0
64183.0	64343.0	160	873.0	536.0
64463.0	64623.0	160	649.0	533.0
64782.0	64992.0	210	851.0	553.0
65012.0	65142.0	130	879.0	554.0
65292.0	65442.0	150	810.0	491.0
65712.0	65952.0	240	929.0	552.0
65992.0	66092.0	100	921.0	577.0
66182.0	66292.0	110	930.0	524.0
66391.0	66471.0	80	914.0	504.0
66491.0	66711.0	220	876.0	515.0
66731.0	66811.0	80	855.0	505.0
68390.0	68580.0	190	1557.0	720.0
68600.0	68840.0	240	1534.0	692.0
