Recording timestamp	Computer timestamp	Sensor	Eye movement type	Gaze event duration	Fixation point X	Fixation point Y
0	3411047947	Eye Tracker	Unclassified	35		
9997	3411057944	Eye Tracker	Unclassified	35		
19989	3411067936	Eye Tracker	Unclassified	35		
29979	3411077926	Eye Tracker	Unclassified	35		
39999	3411087946	Eye Tracker	Saccade	30		
49992	3411097939	Eye Tracker	Saccade	30		
59988	3411107935	Eye Tracker	Saccade	30		
69974	3411117921	Eye Tracker	Fixation	120	923	571
79968	3411127915	Eye Tracker	Fixation	120	923	571
89960	3411137907	Eye Tracker	Fixation	120	923	571
99951	3411147898	Eye Tracker	Fixation	120	923	571
109943	3411157890	Eye Tracker	Fixation	120	923	571
119932	3411167879	Eye Tracker	Fixation	120	923	571
129928	3411177875	Eye Tracker	Fixation	120	923	571
139919	3411187866	Eye Tracker	Fixation	120	923	571
149906	3411197853	Eye Tracker	Fixation	120	923	571
159900	3411207847	Eye Tracker	Fixation	120	923	571
169893	3411217840	Eye Tracker	Fixation	120	923	571
179888	3411227835	Eye Tracker	Fixation	120	923	571
189885	3411237832	Eye Tracker	EyesNotFound	80		
199882	3411247829	Eye Tracker	EyesNotFound	80		
209879	3411257826	Eye Tracker	EyesNotFound	80		
219876	3411267823	Eye Tracker	EyesNotFound	80		
229873	3411277820	Eye Tracker	EyesNotFound	80		
239870	3411287817	Eye Tracker	EyesNotFound	80		
249867	3411297814	Eye Tracker	EyesNotFound	80		
259864	3411307811	Eye Tracker	EyesNotFound	80		
269867	3411317814	Eye Tracker	Fixation	200	915	576
279861	3411327808	Eye Tracker	Fixation	200	915	576
289854	3411337801	Eye Tracker	Fixation	200	915	576
299845	3411347792	Eye Tracker	Fixation	200	915	576
309836	3411357783	Eye Tracker	Fixation	200	915	576
319826	3411367773	Eye Tracker	Fixation	200	915	576
329823	3411377770	Eye Tracker	Fixation	200	915	576
339814	3411387761	Eye Tracker	Fixation	200	915	576
349801	3411397748	Eye Tracker	Fixation	200	915	576
359794	3411407741	Eye Tracker	Fixation	200	915	576
369786	3411417733	Eye Tracker	Fixation	200	915	576
379777	3411427724	Eye Tracker	Fixation	200	915	576
389768	3411437715	Eye Tracker	Fixation	200	915	576
399759	3411447706	Eye Tracker	Fixation	200	915	576
409755	3411457702	Eye Tracker	Fixation	200	915	576
419777	3411467724	Eye Tracker	Fixation	200	915	576
429767	3411477714	Eye Tracker	Fixation	200	915	576
439757	3411487704	Eye Tracker	Fixation	200	915	576
449749	3411497696	Eye Tracker	Fixation	200	915	576
459744	3411507691	Eye Tracker	Fixation	200	915	576
469735	3411517682	Eye Tracker	EyesNotFound	20		
479726	3411527673	Eye Tracker	EyesNotFound	20		
489719	3411537666	Eye Tracker	Unclassified	10		
499716	3411547663	Eye Tracker	EyesNotFound	40		
