Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK08	Thomas	Entire Recording	1		Saccade	Partial	1	35	65	30							164.8	220.69						0.48088	0.52886
TK08	Thomas	Entire Recording	1		Fixation	Partial	1	65	185	120			0.48088	0.52886	2.43171										
TK08	Thomas	Entire Recording	1		Fixation	Partial	2	265	465	200			0.47652	0.53354	2.44692										
TK08	Thomas	Entire Recording	1		Fixation	Partial	3	535	665	130			0.47982	0.52827	2.46933										
TK08	Thomas	Entire Recording	1		Saccade	Whole	2	665	685	20						3.33	264.87	273.34	7.38			0.47982	0.52827	0.562	0.52349
TK08	Thomas	Entire Recording	1		Fixation	Partial	4	685	775	90			0.562	0.52349	2.55413										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	5	795	1044	250			0.55321	0.51395	2.56212										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	6	1084	1304	220			0.51375	0.46696	2.56364										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	7	1344	1474	130			0.50193	0.44808	2.53844										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	8	1494	1704	210			0.49697	0.43454	2.57254										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	9	1784	1964	180			0.49946	0.49224	2.57741										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	10	1984	2194	210			0.49607	0.51107	2.57247										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	11	2234	2344	110			0.48758	0.52268	2.53002										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	12	2364	2793	430			0.47469	0.4973	2.56028										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	13	2813	2923	110			0.46332	0.46259	2.5509										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	14	3063	3313	250			0.4796	0.45661	2.56562										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	15	3353	3463	110			0.48572	0.44294	2.59844										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	16	3483	3593	110			0.49208	0.42348	2.61354										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	17	3653	3733	80			0.48398	0.409	2.6138										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	18	3753	4123	370			0.47575	0.40299	2.58133										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	19	4163	4562	400			0.46473	0.40463	2.58708										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	20	4582	4812	230			0.44779	0.39506	2.60487										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	3	4862	4902	40							270.14	307.67						0.57918	0.41882
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	21	4902	5092	190			0.57918	0.41882	2.60934										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	22	5132	5382	250			0.55268	0.43083	2.59324										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	23	5402	5512	110			0.52098	0.44302	2.60215										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	24	5532	5832	300			0.52343	0.46453	2.55463										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	25	5852	6061	210			0.53826	0.44282	2.53963										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	4	6081	6111	30							178.07	199.59						0.45007	0.45629
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	26	6111	6381	270			0.45007	0.45629	2.53016										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	27	6401	6511	110			0.45779	0.42636	2.58034										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	28	6531	6761	230			0.46792	0.39121	2.59407										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	29	6781	7271	490			0.47566	0.3731	2.56263										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	30	7351	8690	1339			0.48246	0.36659	2.55245										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	31	8710	8830	120			0.4922	0.3905	2.62867										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	32	8850	9090	240			0.49319	0.4024	2.65178										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	33	9130	9280	150			0.4887	0.42286	2.6709										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	34	9300	10759	1459			0.4871	0.43949	2.6526										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	35	10779	11029	250			0.48521	0.45625	2.59452										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	36	11069	11958	890			0.4879	0.44752	2.61803										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	5	11958	11978	20							110.6	110.6				0.4879	0.44752		
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	37	12048	12278	230			0.45906	0.36265	2.58215										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	38	12298	12408	110			0.46308	0.3856	2.577										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	39	12428	12538	110			0.46228	0.40126	2.55045										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	40	12578	12957	380			0.46358	0.41588	2.53398										
