event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	205	205	
Fixation	325	1184	860	
Saccade	1184	1204	20	3.75
Fixation	1204	1274	70	
Fixation	1294	1394	100	
Fixation	1414	1524	110	
Fixation	1564	1804	240	
Fixation	1824	1934	110	
Fixation	1974	2094	120	
Fixation	2114	2224	110	
Fixation	2294	2494	200	
Fixation	2514	2643	130	
Fixation	2663	2773	110	
Fixation	2793	3433	640	
Fixation	3473	3573	100	
Fixation	3613	3853	240	
Fixation	3913	4103	190	
Fixation	4163	4273	110	
Fixation	4293	4392	100	
Fixation	4412	4532	120	
Saccade	4592	4612	20	
Fixation	4612	4702	90	
Fixation	4842	4972	130	
Fixation	5022	5092	70	
Fixation	5112	5222	110	
Fixation	5242	5442	200	
Saccade	5442	5482	40	14.94
Fixation	5482	6022	540	
Fixation	6091	6211	120	
Fixation	6231	6361	130	
Fixation	6381	6471	90	
Fixation	6511	6761	250	
Fixation	6781	7171	390	
Fixation	7191	7291	100	
Saccade	7331	7371	40	
Fixation	7371	7571	200	
Fixation	7611	7721	110	
Fixation	7740	7860	120	
Fixation	7880	8540	660	
Fixation	8560	9559	999	
Fixation	9579	9899	320	
Fixation	9939	10319	380	
Fixation	10339	10749	410	
Fixation	10789	11168	380	
Fixation	11208	11608	400	
Fixation	11628	11738	110	
Fixation	11758	12418	660	
Fixation	12458	12708	250	
Fixation	12748	12987	240	
Fixation	13047	13127	80	
Fixation	13177	13277	100	
Fixation	13297	13407	110	
Saccade	13407	13457	50	11.37
Fixation	13457	13537	80	
Fixation	13577	13767	190	
Saccade	13767	13787	20	
Fixation	13857	14027	170	
Fixation	14147	14227	80	
Fixation	14247	14337	90	
Fixation	14377	14487	110	
Fixation	14507	14756	250	
Saccade	14826	14866	40	
Fixation	14866	14996	130	
Saccade	15136	15146	10	
Saccade	15196	15216	20	
Fixation	15216	15306	90	
Fixation	15326	15436	110	
Fixation	15456	15566	110	
Fixation	15606	15736	130	
Fixation	15756	15876	120	
Fixation	15896	16006	110	
Fixation	16026	16255	230	
Fixation	16295	18474	2179	
Saccade	18474	18504	30	
Fixation	18524	18624	100	
Saccade	18624	18644	20	4.36
Fixation	18644	18764	120	
Fixation	18864	19024	160	
Fixation	19114	19344	230	
Fixation	19364	19474	110	
Fixation	19494	20103	610	
Fixation	20193	22992	2798	
Fixation	23012	23231	220	
Saccade	23231	23261	30	
Saccade	23491	23511	20	
Fixation	23581	23821	240	
Fixation	23841	24061	220	
Fixation	24131	24351	220	
Fixation	24391	24511	120	
Fixation	24661	25170	510	
Fixation	25230	25540	310	
Fixation	25630	28069	2439	
Saccade	28109	28149	40	
Saccade	28169	28189	20	
Fixation	28189	29178	989	
Saccade	29178	29218	40	
Saccade	29238	29248	10	
Fixation	29248	30867	1619	
Saccade	30867	30887	20	
Saccade	30907	30937	30	
Saccade	30967	31007	40	
Fixation	31007	31077	70	
Saccade	31197	31217	20	
Fixation	31217	31377	160	
Fixation	31397	31557	160	
Fixation	31657	31776	120	
Fixation	31796	31936	140	
Fixation	31956	32176	220	
Fixation	32196	32606	410	
Fixation	32646	33036	390	
Fixation	33056	34135	1079	
Fixation	34215	34375	160	
Fixation	34395	34595	200	
Fixation	34675	34775	100	
Fixation	34945	35344	400	
Saccade	35414	35434	20	
Fixation	35514	35624	110	
Saccade	35624	35654	30	
Saccade	35764	35784	20	
Saccade	35794	35804	10	
Fixation	35804	35894	90	
Fixation	35964	36034	70	
Fixation	36074	36174	100	
Fixation	36194	36294	100	
Fixation	36314	36424	110	
Fixation	36464	36594	130	
Fixation	36644	36724	80	
Fixation	36744	36833	90	
Fixation	36873	36993	120	
Fixation	37013	37123	110	
Fixation	37143	37233	90	
Fixation	37293	37403	110	
Fixation	37443	37523	80	
Fixation	37613	37683	70	
Fixation	37723	37823	100	
Fixation	37863	38602	740	
Fixation	38672	39072	400	
Fixation	39112	39292	180	
Fixation	39372	39472	100	
Saccade	39472	39522	50	
Fixation	39982	40062	80	
Fixation	40082	40521	440	
Fixation	40641	42120	1479	
Fixation	42140	43390	1249	
Fixation	43410	43640	230	
Fixation	43679	43749	70	
Saccade	43749	43769	20	
Saccade	43899	43939	40	
Saccade	43969	43989	20	
Fixation	43989	44069	80	
Fixation	44089	44509	420	
Fixation	44529	44899	370	
Fixation	44939	45738	800	
Fixation	45758	45888	130	
Fixation	45928	46588	660	
Fixation	46628	46718	90	
Fixation	46758	46888	130	
Fixation	46948	47437	490	
Saccade	47477	47497	20	
Fixation	47497	48037	540	
Fixation	48077	48567	490	
Fixation	48607	49476	870	
Fixation	49606	49726	120	
Fixation	49826	50376	550	
Fixation	50396	50775	380	
Fixation	50815	51065	250	
Fixation	51125	52055	929	
Fixation	52115	52294	180	
Saccade	52364	52424	60	
Saccade	52614	52644	30	
Saccade	52684	52704	20	
Saccade	52744	52774	30	
Fixation	52814	52954	140	
Fixation	52974	53074	100	
Fixation	53094	53324	230	
Fixation	53364	54053	690	
Fixation	54073	54173	100	
Fixation	54193	54323	130	
Fixation	54343	54743	400	
Fixation	54763	55223	460	
Fixation	55323	55742	420	
Fixation	55762	55872	110	
Fixation	55912	55982	70	
Fixation	56022	56142	120	
Fixation	56162	56272	110	
Saccade	56272	56292	20	
Saccade	56322	56342	20	
Fixation	56342	56442	100	
Fixation	56462	56832	370	
Saccade	56832	56882	50	10.73
Fixation	56882	57122	240	
Fixation	57162	57262	100	
Saccade	57262	57291	30	
Saccade	57311	57331	20	
Fixation	57411	57561	150	
Fixation	57581	57671	90	
Fixation	57691	57801	110	
Fixation	57841	58111	270	
Fixation	58131	58261	130	
Fixation	58281	58371	90	
Fixation	58391	58591	200	
Fixation	58661	58881	220	
Fixation	58941	59090	150	
Fixation	59190	59440	250	
Fixation	59460	59710	250	
Fixation	59890	60020	130	
Fixation	60040	60540	500	
Fixation	60580	61009	430	
Fixation	61109	61369	260	
Fixation	61389	62189	800	
Fixation	62209	62299	90	
Fixation	62359	62608	250	
Fixation	62628	62888	260	
Fixation	62908	63018	110	
Fixation	63058	64008	949	
Fixation	64028	64118	90	
Saccade	64118	64147	30	5.61
Fixation	64147	64227	80	
Fixation	64297	64707	410	
Saccade	64837	64877	40	
Fixation	64897	64967	70	
Saccade	65007	65047	40	
Saccade	65057	65077	20	
Saccade	65087	65097	10	
Fixation	65157	65267	110	
Fixation	65307	65557	250	
Fixation	65577	65976	400	
Fixation	65996	66086	90	
Saccade	66166	66196	30	
Fixation	66256	66386	130	
Fixation	66406	66526	120	
Fixation	66546	66636	90	
Fixation	66656	66786	130	
Fixation	66826	67076	250	
Fixation	67096	67336	240	
Fixation	67356	67476	120	
Fixation	67496	67585	90	
Fixation	67645	67825	180	
Fixation	67845	68535	690	
Saccade	68535	68575	40	
Fixation	68595	68685	90	
Fixation	68765	68935	170	
Saccade	68935	68955	20	
Fixation	68995	69195	200	
Fixation	69274	69404	130	
Fixation	69424	69504	80	
Fixation	69524	69694	170	
Fixation	69714	69844	130	
Saccade	69844	69864	20	3.71
Fixation	69864	69974	110	
Fixation	69994	70204	210	
Fixation	70244	70374	130	
Fixation	70394	70504	110	
Fixation	70694	70764	70	
Fixation	70824	71033	210	
Saccade	71073	71123	50	
Saccade	71373	71423	50	
Saccade	71623	71643	20	
Saccade	71653	71673	20	
Fixation	71773	72043	270	
Fixation	72063	72293	230	
Fixation	72473	72553	80	
Saccade	72653	72672	20	
Fixation	72742	72852	110	
Fixation	72872	72982	110	
Fixation	73022	73242	220	
Saccade	73242	73272	30	
Fixation	73312	73692	380	
Fixation	73712	73802	90	
Fixation	73862	74252	390	
Saccade	74252	74272	20	
Fixation	74411	74491	80	
Saccade	74531	74561	30	
Fixation	74561	74921	360	
