start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action
									
0.33	0.43	1600	1600	1600	1600	1600	1600	1600	Cap Off
									
0.43	0.53	1600	1600	1600	1600	1600	1600	1600	Cap Off
									
0.53	0.63	1600	1600	1600	1600	1600	1600	1600	Cap Off
									
0.63	0.73	237.9	52.5	125	421.3	0	363.3	686.4	Cap Off
									
0.73	0.83	238.2	52.1	127	422.7	0	359.1	684	Cap Off
									
0.83	0.93	238.1	54.5	123.3	420.4	0	363.2	688.3	Cap Off
									
0.93	1.03	240.5	54.3	123	419.3	0	365.3	690.2	Cap Off
									
1.03	1.13	247.8	49	126.6	428.1	0	366.8	689.1	Cap Off
									
1.13	1.19	259	46	129.6	438	0	369	691	Cap Off
									
1.209	1.279	327	0	202.7	512	28.9	304.2	625.3	Cap Off
									
1.299	1.399	325.8	0	207.5	515	31	300.2	625	Cap Off
									
1.419	1.519	323.6	0	211.5	516.2	36	293.5	621.7	Cap Off
									
1.569	1.669	292.5	5	173	481.8	0	329.2	1600	Cap Off
									
1.669	1.769	286.9	9	170.6	473	0	331.5	1600	Cap Off
									
1.769	1.809	301.5	8	172.8	477	0	336.4	668.6	Cap Off
									
1.829	1.929	311.5	0	197.5	504	20	314.8	651.6	Cap Off
									
1.979	2.079	321.6	0	1600	520	25	318.6	656	Cap Off
									
2.119	2.219	348.8	0	1600	552	43	293.5	1600	Cap Off
									
2.299	2.399	368.8	0	242.7	572	51	291.3	617.6	Cap Off
									
2.399	2.499	363.8	1	242.6	570	51.2	285.8	615.5	Cap Off
									
2.519	2.619	337.4	6	217.4	546	20	310.7	1600	Cap Off
									
2.668	2.768	338.4	0	218.4	545	18	312.9	647.3	Cap Off
									
2.798	2.898	334	0	217.4	549	21	322.9	561.7	Cap Off
									
2.898	2.998	338.5	0	223.6	551	21.5	324.5	659.8	Cap Off
									
2.998	3.098	334.9	0	224.4	546.1	19.7	329.1	665.6	Cap Off
									
3.098	3.198	338.2	0	223.2	545.1	18	330.2	667.5	Cap Off
									
3.198	3.298	342.3	0	224.2	552	16.6	327.4	663.5	Cap Off
									
3.298	3.398	338.8	0	223.2	549	17	327.1	663.2	Cap Off
									
3.398	3.438	331.6	0	215.3	543	12	329.5	561.5	Cap Off
									
3.478	3.578	341.5	0	226.6	553	20	313.8	651.7	Cap Off
									
3.618	3.718	351.4	0	227.6	559	24	311.4	644.6	Cap Off
									
3.718	3.818	346.4	0	215	555	11	317.2	651.4	Cap Off
									
3.818	3.858	346.4	0	214	557	11	317.6	651.2	Cap Off
									
3.918	4.018	358	6	222.6	570	17	303.9	639.2	Cap Off
									
4.018	4.108	350.8	3	216.1	561	13	309.7	646.4	Cap Off
									
4.168	4.268	340.3	179	255.8	555	0	305	40.3	Cap Off
									
4.298	4.398	404.6	157.3	303.4	621.1	11.3	242.4	1600	Cap Off
									
4.417	4.517	401.8	163	306	616.9	17	246.4	578.1	Cap Off
									
4.617	4.707	661.5	0	570.5	884.4	277.7	147.2	340.8	Cap Off
									
4.847	4.947	763.9	0	685.9	1006.2	408.9	201.7	287.1	Cap Off
									
5.027	5.097	852.4	0	769	1085.5	500.6	284.3	261.9	Cap Off
									
5.117	5.217	911.9	0	830	1150.3	559.7	326.9	245.5	Cap Off
									
5.247	5.347	938.5	0	854	1180.4	581	346.1	244.2	Cap Off
									
5.347	5.447	939.2	0	856	1185.5	583.5	349.2	243.6	Cap Off
									
5.487	5.587	670.8	249.5	626.3	943.8	319.9	5.7	295.5	Apply Tip
									
5.587	5.687	663.1	256.1	620.6	936.6	315.5	0	300.3	Apply Tip
									
5.687	5.787	662.3	268.8	626.3	937.5	318	0	301.3	Apply Tip
									
5.787	5.887	663.3	275.1	630.7	939.4	320.9	0	301	Apply Tip
									
5.887	5.987	653.1	285.1	617.4	930.4	308.1	0	312	Apply Tip
									
5.987	6.027	646.7	299	615.8	922.8	305.9	1	1600	Apply Tip
									
6.096	6.196	645.4	299	613.7	918.7	305.7	0	284.3	Apply Tip
									
6.236	6.336	636.3	306.2	603.8	906.6	297	3.6	326.3	Apply Tip
									
6.386	6.476	632.6	304.9	598.3	900.5	296.4	6	1600	Apply Tip
									
6.516	6.616	640	302.2	601.6	904.9	299.6	0	278	Apply Tip
									
6.616	6.716	631.3	308.5	595.6	897.3	293.5	9.2	270.9	Apply Tip
									
6.716	6.766	631.4	311.5	595.6	898.3	293	20	270.4	Apply Tip
									
6.786	6.886	673.5	330.4	643.4	942.7	339.1	1600	316.9	Apply Tip
									
6.886	6.986	678.2	326.1	646.2	948.3	344.9	1600	0	Apply Tip
									
6.986	7.086	681.9	324.8	650.6	952.4	346.8	1600	0	Apply Tip
									
7.086	7.176	688.4	322.1	658	960.2	354.1	1600	279.9	Apply Tip
									
7.196	7.296	683.9	342.5	656.5	957.8	347.5	1600	326.8	Apply Tip
									
7.376	7.476	371	476.4	328.2	629.7	23	1600	1600	Apply Tip
									
7.476	7.576	359.6	483.9	311.4	616.7	11.2	1600	1600	Apply Tip
									
7.745	7.845	392	579.7	330.7	644	23.1	102.5	592.9	Apply Tip
									
7.885	7.985	404.6	496.2	344.2	660.3	41.3	26.7	584.2	Apply Tip
									
7.985	8.085	400	469.9	338.5	655.6	31.8	22	592.4	Apply Tip
									
8.085	8.185	399.2	467.2	337	653.9	28.8	9.2	595.4	Apply Tip
									
8.185	8.285	398.7	464	337.3	656.6	24	3	597.6	Apply Tip
									
8.285	8.385	403.1	463.5	337.1	656.3	18.8	0	602.7	Apply Tip
									
8.385	8.485	401.8	465.6	334.8	653.4	15.2	3	606.8	Apply Tip
									
8.485	8.545	400.3	466.4	331.3	651.8	11	5	612.2	Apply Tip
									
8.565	8.665	407.6	464.5	342.3	663.5	27.3	1	606.7	Apply Tip
									
8.665	8.765	412.2	461.2	345.6	666.9	25.8	0	607.3	Apply Tip
									
8.765	8.865	414.3	458.4	347.3	668.1	21.5	0	609.7	Apply Tip
									
8.865	8.965	411.2	461.1	345.2	664	20.2	0	613.7	Apply Tip
									
8.965	9.065	409.1	464.2	341.8	657.9	24.1	0	554.8	Apply Tip
									
9.065	9.165	401.3	468.3	337.2	647.1	20.6	0	553.8	Apply Tip
									
9.165	9.265	392.3	479	330.4	638.3	16.1	3.2	629.4	Apply Tip
									
9.265	9.365	384.5	482.6	326.1	631.6	21.3	11	563.7	Apply Tip
									
9.365	9.465	384.6	479	321	629	21.3	13	559.6	Apply Tip
									
9.465	9.564	384.4	477.9	315.2	629.2	12.2	6.4	554.1	Apply Tip
									
9.584	9.684	404.6	455.9	336.8	649.1	29.8	1600	529.6	Apply Tip
									
9.684	9.784	394.6	460.6	325.2	632.9	19.8	1600	530	Apply Tip
									
9.784	9.884	388.8	458.7	321.3	628.1	27.6	31.1	529	Apply Tip
									
9.944	10.044	383.9	442.4	311	615	15	0	501.7	Apply Tip
									
10.044	10.144	384.4	437.3	309.4	614.4	17	0	498.7	Apply Tip
									
10.144	10.244	384.6	437.5	315.1	614.2	22	0	501.7	Apply Tip
									
10.244	10.324	381.5	438.7	311.8	610.2	20	0	607.3	Apply Tip
									
10.344	10.444	384.5	440.9	319.6	614	27.9	4.5	604.8	Apply Tip
									
10.444	10.544	388.3	438.8	316.4	615.6	36.2	1600	486.4	Apply Tip
									
10.544	10.644	389.1	437.7	310.6	616.6	25.5	1600	482.9	Apply Tip
									
10.644	10.744	382.8	444.6	297.3	613.2	14.1	19.2	482.9	Apply Tip
									
10.794	10.894	384.3	442.7	305.7	611.1	13	5.8	490.2	Apply Tip
									
10.894	10.994	389.7	438.3	307	616	18.4	8	1600	Apply Tip
									
10.994	11.094	391.7	438	306.1	615	31.6	23.3	473.7	Apply Tip
									
11.094	11.174	394.2	433.6	311	615	35.8	24.2	467	Apply Tip
									
11.213	11.313	402	427.2	318	623.3	39.2	1600	1600	Apply Tip
									
11.313	11.413	409.2	421.2	311.1	636	12.2	0	1600	Apply Tip
									
11.413	11.513	409.6	421.5	317.1	636.2	20	0	454.5	Apply Tip
									
11.513	11.613	407.9	423.2	329.5	635.1	32.8	24	481.2	Apply Tip
									
11.633	11.733	400.3	434.4	325.5	632.3	21	0	497.4	Apply Tip
									
11.763	11.863	399.2	438.1	329.6	633.7	32.4	1600	493.4	Apply Tip
									
11.863	11.963	398	439.6	326.3	634	30	16.1	603.8	Apply Tip
									
11.963	12.063	399.8	437	328.7	636.3	26.5	7.1	495.1	Apply Tip
									
12.063	12.163	400	437.4	332.7	636.9	30	0	502.4	Apply Tip
									
12.163	12.263	397.1	442.2	324.6	631.8	24	0	1600	Apply Tip
									
12.263	12.363	396.4	443.6	325.6	630.3	25.3	0	498.4	Apply Tip
									
12.363	12.423	396.9	442.2	329.2	630.8	28	0	1600	Apply Tip
									
12.463	12.563	389.1	453	333.1	627.2	27.3	0	1600	Apply Tip
									
12.563	12.663	389.1	447.5	324.3	629.1	18.1	0	610.3	Apply Tip
									
12.663	12.713	388.9	447.4	346.8	629.1	41.2	31.4	9	Apply Tip
									
12.753	12.853	367.3	480.4	342.4	611.9	34.5	118	8.1	Apply Tip
									
12.853	12.953	384.3	462	351.7	628.6	40.6	79	14.4	Apply Tip
									
12.953	12.993	381.3	466	356.9	625.7	45.6	70	20.5	Apply Tip
									
13.182	13.282	364.2	533.7	342.2	611.5	36.1	114	14.8	Apply Tip
									
13.302	13.402	371.7	475	345.4	619.1	34	176.3	10.6	Apply Tip
									
13.462	13.542	667.4	317	655.1	933	336.4	3.6	311.2	Apply Tip
									
13.582	13.682	682.7	318.7	668.8	947.3	351.5	2.2	324.1	Apply Tip
									
13.682	13.772	660.9	330.3	651.8	925.1	335.4	18.9	309.6	Apply Tip
									
13.862	13.962	343	503.6	324.5	597.4	17.7	305.2	7	Apply Tip
									
13.962	14.032	331	515.2	313.1	585.4	11.7	314.8	9.8	Apply Tip
									
14.152	14.232	346	510.4	320.3	595.3	9.4	1600	0	Apply Tip
									
14.252	14.342	355.2	560.4	337.2	603.9	25.6	299.2	1	Apply Tip
									
14.382	14.482	348.2	522.1	339.4	597	29.7	292.3	6.4	Apply Tip
									
14.512	14.612	354	509.9	330.4	601.9	25.5	280	10.3	Apply Tip
									
14.612	14.712	376.3	496.9	348.2	631.9	42.5	255.3	26	Apply Tip
									
14.712	14.762	391.7	490.4	361.3	648.3	66.1	242	44.6	Apply Tip
									
14.871	14.971	264.5	535.5	141.9	495.4	0	367.8	130.6	Setting Units
									
15.221	15.311	394.1	409.2	1600	610.8	3.2	294.7	219.3	Setting Units
									
15.461	15.561	475	339	0	680.8	26.2	286.8	344.7	Setting Units
									
15.611	15.711	475.6	341.3	1	685.2	39.2	270	360.5	Setting Units
									
15.761	15.861	478.8	346.2	22.1	692	75	269.2	402.6	Setting Units
									
15.901	16.001	439.1	387.5	19.9	656.3	66.3	287.8	404.8	Setting Units
									
16.031	16.131	422.1	416.8	23.4	643.3	71.4	302.2	411.7	Setting Units
									
16.131	16.231	421.3	418.7	15.5	641.1	67	311.1	406.3	Setting Units
									
16.3	16.4	430.4	411.7	20.6	649.1	70.1	301.7	409.2	Setting Units
									
16.4	16.5	425.7	415.7	14.8	644.3	65	306.4	404.4	Setting Units
									
16.5	16.6	424.6	413	11.2	642.9	61	307.7	399.8	Setting Units
									
16.6	16.7	422.3	418.6	10.3	641.7	58	308.5	398.2	Setting Units
									
16.7	16.8	421.9	417.3	8.1	640.9	57	309.8	397.6	Setting Units
									
16.8	16.9	422	419.5	6.7	640.8	55	310.5	396.7	Setting Units
									
16.9	17	421.9	417.4	7.2	641	55	310.5	395.6	Setting Units
									
