Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
347.0	507.0	160.0	975.0	835.0
676.0	966.0	290.0	961.0	849.0
2106.0	2496.0	390.0	1787.0	380.0
3566.0	3876.0	310.0	898.0	842.0
3888.0	4098.0	210.0	946.0	926.0
4188.0	4268.0	80.0	1009.0	1060.0
9942.0	10162.0	220.0	1178.0	817.0
10229.0	10499.0	270.0	817.0	764.0
10512.0	10912.0	400.0	928.0	684.0
10969.0	11419.0	450.0	1050.0	676.0
11449.0	11599.0	150.0	833.0	772.0
11622.0	12022.0	400.0	883.0	722.0
12142.0	12322.0	180.0	1086.0	625.0
12338.0	12468.0	130.0	931.0	537.0
12508.0	12748.0	240.0	866.0	639.0
12769.0	12919.0	150.0	961.0	687.0
12952.0	13092.0	140.0	925.0	525.0
13109.0	13319.0	210.0	940.0	517.0
13361.0	13511.0	150.0	843.0	656.0
13542.0	13772.0	230.0	992.0	658.0
13802.0	14202.0	400.0	971.0	741.0
14218.0	14818.0	600.0	900.0	638.0
14848.0	15178.0	330.0	971.0	720.0
15207.0	15717.0	510.0	924.0	684.0
15731.0	15941.0	210.0	890.0	618.0
15971.0	16181.0	210.0	1124.0	714.0
16219.0	17578.0	1359.0	920.0	655.0
17646.0	17746.0	100.0	1141.0	790.0
17897.0	18237.0	340.0	900.0	778.0
18249.0	18669.0	420.0	1136.0	774.0
18736.0	18916.0	180.0	771.0	854.0
18955.0	19355.0	400.0	915.0	623.0
19509.0	19899.0	390.0	1046.0	641.0
20284.0	20444.0	160.0	1058.0	690.0
20518.0	21048.0	530.0	817.0	723.0
21166.0	21576.0	410.0	866.0	769.0
21596.0	21996.0	400.0	919.0	776.0
22035.0	22165.0	130.0	1126.0	725.0
22187.0	22707.0	520.0	954.0	642.0
22737.0	22987.0	250.0	870.0	809.0
23213.0	23663.0	450.0	1020.0	625.0
23696.0	23886.0	190.0	897.0	540.0
23902.0	24072.0	170.0	809.0	548.0
24114.0	24414.0	300.0	890.0	672.0
24444.0	24794.0	350.0	1065.0	582.0
24831.0	25081.0	250.0	893.0	577.0
25091.0	25381.0	290.0	932.0	614.0
25415.0	25735.0	320.0	1097.0	615.0
25764.0	26534.0	770.0	919.0	625.0
26545.0	28884.0	2339.0	927.0	507.0
28899.0	30458.0	1559.0	939.0	555.0
30481.0	30661.0	180.0	900.0	639.0
30687.0	31057.0	370.0	947.0	569.0
31078.0	31228.0	150.0	931.0	665.0
31259.0	31409.0	150.0	868.0	588.0
31442.0	31742.0	300.0	920.0	511.0
31778.0	32308.0	530.0	946.0	715.0
32347.0	33037.0	690.0	1126.0	741.0
33071.0	33261.0	190.0	895.0	581.0
33268.0	34627.0	1359.0	892.0	684.0
34650.0	34980.0	330.0	985.0	877.0
35165.0	36544.0	1379.0	921.0	366.0
36659.0	37009.0	350.0	936.0	337.0
37137.0	37237.0	100.0	957.0	1038.0
37258.0	37558.0	300.0	943.0	803.0
37574.0	37794.0	220.0	906.0	645.0
37818.0	38318.0	500.0	907.0	760.0
38356.0	38456.0	100.0	912.0	777.0
38638.0	39178.0	540.0	899.0	290.0
39247.0	40446.0	1199.0	987.0	673.0
40572.0	40732.0	160.0	839.0	710.0
40754.0	40924.0	170.0	1129.0	745.0
40942.0	41222.0	280.0	1255.0	808.0
41334.0	41514.0	180.0	808.0	840.0
41533.0	41893.0	360.0	944.0	690.0
41921.0	42141.0	220.0	874.0	773.0
42151.0	42711.0	560.0	911.0	711.0
42745.0	42965.0	220.0	866.0	550.0
42983.0	43113.0	130.0	931.0	618.0
43145.0	43355.0	210.0	859.0	552.0
43361.0	43571.0	210.0	821.0	621.0
43601.0	44630.0	1029.0	844.0	608.0
44690.0	44860.0	170.0	1117.0	706.0
44871.0	45211.0	340.0	936.0	672.0
45233.0	45453.0	220.0	955.0	717.0
45484.0	46154.0	670.0	893.0	698.0
46160.0	46670.0	510.0	902.0	700.0
46783.0	46893.0	110.0	833.0	822.0
46930.0	47070.0	140.0	837.0	762.0
47113.0	47653.0	540.0	728.0	660.0
47892.0	48212.0	320.0	938.0	558.0
48232.0	48632.0	400.0	836.0	631.0
48667.0	48887.0	220.0	953.0	515.0
48910.0	49080.0	170.0	928.0	474.0
49099.0	50448.0	1349.0	951.0	573.0
50661.0	50751.0	90.0	945.0	727.0
50769.0	50869.0	100.0	1148.0	792.0
51010.0	51180.0	170.0	1256.0	823.0
51426.0	51546.0	120.0	738.0	803.0
51635.0	51945.0	310.0	782.0	694.0
51980.0	52190.0	210.0	904.0	738.0
52225.0	52455.0	230.0	761.0	696.0
52656.0	52806.0	150.0	1070.0	681.0
52814.0	52974.0	160.0	972.0	765.0
53066.0	53186.0	120.0	766.0	718.0
53204.0	54044.0	840.0	931.0	723.0
54068.0	54778.0	710.0	982.0	792.0
55194.0	55514.0	320.0	908.0	541.0
55555.0	55775.0	220.0	776.0	670.0
55805.0	56595.0	790.0	1014.0	660.0
56715.0	56925.0	210.0	961.0	921.0
56945.0	57055.0	110.0	1135.0	896.0
57067.0	57227.0	160.0	1259.0	924.0
57312.0	57462.0	150.0	801.0	754.0
57487.0	57737.0	250.0	898.0	670.0
57746.0	57946.0	200.0	819.0	644.0
