Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
317.665	347.665	30.0
319.826	349.826	30.0
323.053	353.053	30.0
327.365	357.365	30.0
329.818	359.818	30.0
333.603	363.603	30.0
337.065	367.065	30.0
339.808	369.808	30.0
344.153	374.153	30.0
509.698	549.698	40.0
511.549	551.549	40.0
513.24	553.24	40.0
519.691	559.691	40.0
521.254	561.254	40.0
523.849	563.849	40.0
529.712	569.712	40.0
530.959	570.959	40.0
534.458	574.458	40.0
539.703	579.703	40.0
540.664	580.664	40.0
555.676	605.676	50.0
559.689	609.689	50.0
560.074	610.074	50.0
566.285	616.285	50.0
569.681	619.681	50.0
569.779	619.779	50.0
576.894	626.894	50.0
579.484	629.484	50.0
579.666	629.666	50.0
587.503	637.503	50.0
589.189	639.189	50.0
589.661	639.661	50.0
598.112	648.112	50.0
598.894	648.894	50.0
599.652	649.652	50.0
656.96	676.96	20.0
659.633	679.633	20.0
661.727	681.727	20.0
666.624	686.624	20.0
669.624	689.624	20.0
672.323	692.323	20.0
1544.952	1564.952	20.0
1548.241	1568.241	20.0
1549.103	1569.103	20.0
1554.479	1574.479	20.0
1558.979	1578.979	20.0
1559.099	1579.099	20.0
1564.006	1584.006	20.0
1907.898	1937.898	30.0
1908.897	1938.897	30.0
1913.498	1943.498	30.0
1917.465	1947.465	30.0
1918.888	1948.888	30.0
1924.18	1954.18	30.0
1927.032	1957.032	30.0
1928.881	1958.881	30.0
2506.693	2526.693	20.0
2508.548	2528.548	20.0
2513.128	2533.128	20.0
2517.203	2537.203	20.0
2518.54	2538.54	20.0
2522.756	2542.756	20.0
2538.223	2598.223	60.0
2538.523	2598.523	60.0
2542.012	2602.012	60.0
2548.511	2608.511	60.0
2548.733	2608.733	60.0
2551.64	2611.64	60.0
2558.507	2618.507	60.0
2559.243	2619.243	60.0
2561.268	2621.268	60.0
2568.53	2628.53	60.0
2569.753	2629.753	60.0
2570.896	2630.896	60.0
2578.517	2638.517	60.0
2580.263	2640.263	60.0
2580.549	2640.549	60.0
2588.511	2648.511	60.0
2590.202	2650.202	60.0
2590.773	2650.773	60.0
2695.883	2715.883	20.0
2696.385	2716.385	20.0
2698.447	2718.447	20.0
2706.038	2726.038	20.0
2706.394	2726.394	20.0
2708.441	2728.441	20.0
2725.36	2755.36	30.0
2727.416	2757.416	30.0
2728.426	2758.426	30.0
2735.021	2765.021	30.0
2737.903	2767.903	30.0
2738.414	2768.414	30.0
2744.682	2774.682	30.0
2748.39	2778.39	30.0
2748.404	2778.404	30.0
3544.643	3564.643	20.0
3547.951	3567.951	20.0
3548.548	3568.548	20.0
3555.155	3575.155	20.0
3557.946	3577.946	20.0
3558.253	3578.253	20.0
3877.768	3887.768	10.0
3878.709	3888.709	10.0
3881.439	3891.439	10.0
4092.751	4122.751	30.0
4097.615	4127.615	30.0
4101.719	4131.719	30.0
4103.323	4133.323	30.0
4107.61	4137.61	30.0
4111.389	4141.389	30.0
4113.895	4143.895	30.0
4117.601	4147.601	30.0
4121.059	4151.059	30.0
4135.039	4155.039	20.0
4137.613	4157.613	20.0
4140.399	4160.399	20.0
4145.611	4165.611	20.0
4147.603	4167.603	20.0
4150.069	4170.069	20.0
4166.755	4186.755	20.0
4167.591	4187.591	20.0
4169.409	4189.409	20.0
4177.327	4197.327	20.0
4177.576	4197.576	20.0
4179.079	4199.079	20.0
4494.288	4544.288	50.0
4497.261	4547.261	50.0
4497.402	4547.402	50.0
4504.849	4554.849	50.0
4506.888	4556.888	50.0
4507.396	4557.396	50.0
4515.437	4565.437	50.0
4516.515	4566.515	50.0
4517.388	4567.388	50.0
4526.025	4576.025	50.0
4526.142	4576.142	50.0
4527.385	4577.385	50.0
4535.769	4585.769	50.0
4536.613	4586.613	50.0
4537.371	4587.371	50.0
7331.157	7361.157	30.0
7335.386	7365.386	30.0
7335.736	7365.736	30.0
7340.849	7370.849	30.0
7345.727	7375.727	30.0
7345.966	7375.966	30.0
7350.541	7380.541	30.0
7355.722	7385.722	30.0
7356.546	7386.546	30.0
7360.218	7390.218	30.0
9651.259	9681.259	30.0
9653.491	9683.491	30.0
9654.411	9684.411	30.0
9660.955	9690.955	30.0
9663.97	9693.97	30.0
