Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
0	45	45
175	185	10
285	315	30
515	545	30
805	824	20
1564	1574	10
1784	1794	10
1804	1824	20
2284	2294	10
2593	2613	20
4013	4043	30
4552	4602	50
4652	4672	20
4702	4722	20
4752	4762	10
4982	5032	50
5382	5392	10
5582	5612	30
5792	5822	30
6051	6091	40
6511	6521	10
6661	6681	20
6871	6891	20
7041	7081	40
7311	7331	20
7570	7600	30
8150	8190	40
8380	8400	20
8590	8630	40
8830	8860	30
9090	9100	10
9299	9319	20
9459	9479	20
9689	9709	20
9889	9919	30
10069	10099	30
10519	10549	30
10779	10809	30
11018	11078	60
11098	11148	50
11158	11178	20
11188	11248	60
11538	11568	30
11608	11648	40
11678	11748	70
11988	12018	30
12428	12468	40
12627	12667	40
13597	13637	40
13897	13927	30
15266	15296	30
15356	15396	40
15416	15506	90
15546	15566	20
15995	16025	30
16185	16255	70
16295	16355	60
16505	16525	20
16885	16915	30
18434	18504	70
18984	18994	10
19124	19134	10
19773	19843	70
19893	19913	20
20053	20073	20
20443	20493	50
20703	20733	30
20843	20873	30
21082	21112	30
22172	22202	30
22432	22482	50
24131	24161	30
24241	24260	20
24270	24310	40
24350	24420	70
24430	24440	10
24460	24470	10
24600	24610	10
25500	25570	70
25920	25939	20
26119	26149	30
26309	26329	20
26859	26889	30
27938	27958	20
28388	28418	30
28458	28488	30
28518	28538	20
28638	28658	20
28808	28848	40
28978	28988	10
29168	29218	50
29597	29647	50
30537	30577	40
30757	30787	30
30827	30877	50
32016	32096	80
32116	32136	20
32386	32406	20
33055	33095	40
33155	33195	40
33225	33255	30
33485	33515	30
33715	33725	10
33905	33935	30
34514	34524	10
34774	34794	20
35164	35174	10
35664	35694	30
35864	35874	10
35904	35914	10
37063	37093	30
37263	37283	20
37662	37682	20
37992	38022	30
38122	38152	30
38292	38322	30
38872	38922	50
39072	39112	40
39152	39172	20
39222	39242	20
39691	39801	110
39841	39861	20
40761	40811	50
40871	40891	20
40901	41000	100
41330	41350	20
41780	41870	90
41890	41940	50
42270	42300	30
42580	42600	20
42709	42749	40
42969	43009	40
44388	44408	20
44418	44488	70
44518	44538	20
45018	45048	30
45328	45418	90
45448	45458	10
45498	45508	10
45738	45768	30
46147	46167	20
46397	46427	30
46667	46697	30
47027	47057	30
47277	47297	20
47457	47477	20
47716	47776	60
48466	48476	10
48736	48766	30
49575	49615	40
49805	49825	20
49875	49905	30
50375	50495	120
50505	50545	40
50605	50655	50
50675	50725	50
50765	50775	10
50865	50885	20
51154	51174	20
51424	51464	40
51854	51874	20
52144	52164	20
52753	52863	110
53313	53343	30
53523	53543	20
53613	53643	30
54113	54133	20
54662	54692	30
55032	55112	80
55152	55172	20
55232	55262	30
55422	55462	40
56081	56131	50
56461	56501	40
56621	56641	20
56651	56671	20
56711	56721	10
56991	57021	30
57241	57271	30
57670	57700	30
58090	58120	30
58360	58440	80
58460	58470	10
58740	58770	30
58940	58950	10
59110	59120	10
59200	59240	40
59989	60099	110
60369	60379	10
60489	60499	10
61118	61148	30
61478	61498	20
61858	61908	50
61938	61958	20
61968	61988	20
62028	62048	20
62088	62098	10
62138	62158	20
63237	63277	40
63477	63507	30
63537	63557	20
63567	63617	50
63667	63687	20
63947	63987	40
64227	64237	10
64556	64596	40
65146	65166	20
65816	65846	30
67245	67285	40
67655	67694	40
68354	68374	20
69034	69054	20
69433	69483	50
69533	69563	30
69583	69593	10
69623	69643	20
70173	70203	30
70583	70623	40
71452	71472	20
71662	71702	40
73051	73101	50
73311	73361	50
73401	73431	30
73481	73501	20
73631	73661	30
74091	74101	10
74271	74281	10
74870	74900	30
75700	75720	20
75920	75930	10
76069	76089	20
78128	78218	90
78278	78308	30
78968	78998	30
79338	79367	30
79757	79797	40
79837	79867	30
79907	79937	30
80067	80087	20
80427	80477	50
80617	80657	40
80837	80857	20
81416	81436	20
81666	81706	40
82016	82066	50
82196	82226	30
82466	82486	20
83135	83165	30
84075	84095	20
84394	84494	100
84514	84524	10
84534	84554	20
84684	84714	30
84984	84994	10
85234	85264	30
85434	85464	30
85774	85804	30
86023	86043	20
86233	86243	10
86393	86423	30
86673	86733	60
87653	87673	20
87842	87882	40
89551	89671	120
89681	89751	70
90231	90251	20
90311	90341	30
90831	90851	20
91130	91150	20
91420	91450	30
91710	91750	40
91900	91920	20
91950	91960	10
92200	92230	30
92390	92410	20
92620	92640	20
92829	92859	30
93009	93059	50
93309	93339	30
93889	93909	20
94189	94229	40
94668	94698	30
94858	94868	10
95368	95388	20
95518	95578	60
95768	95788	20
96038	96067	30
96317	96337	20
96717	96747	30
96817	96837	20
97367	97397	30
97567	97587	20
97906	97936	30
98286	98316	30
98476	98506	30
98956	98996	40
99116	99156	40
99206	99226	20
100325	100365	40
100565	100605	40
100735	100745	10
101054	101074	20
101084	101114	30
101134	101154	20
101564	101604	40
101674	101714	40
101724	101734	10
102204	102244	40
102314	102334	20
102474	102494	20
102823	102853	30
102993	103033	40
103193	103203	10
103353	103373	20
103553	103583	30
103963	103983	20
104143	104183	40
104323	104353	30
104832	104892	60
105032	105042	10
105082	105092	10
105142	105152	10
105552	105562	10
105692	105712	20
106111	106131	20
106361	106391	30
106411	106431	20
107021	107071	50
107151	107191	40
107231	107241	10
107541	107561	20
107661	107681	20
108010	108050	40
108460	108490	30
109360	109389	30
110439	110449	10
110629	110649	20
110969	110989	20
111258	111288	30
112468	112508	40
112528	112568	40
112608	112618	10
112658	112668	10
113107	113137	30
113357	113367	10
113817	113847	30
114277	114307	30
114696	114716	20
115026	115046	20
115236	115266	30
115326	115356	30
115366	115386	20
115406	115416	10
115566	115596	30
115976	115986	10
116325	116415	90
116435	116475	40
116515	116535	20
117015	117065	50
117205	117245	40
117285	117295	10
117575	117625	50
118054	118104	50
118714	118764	50
118774	118834	60
118944	118994	50
119004	119044	40
119164	119194	30
119204	119264	60
119314	119344	30
119493	119523	30
119993	120023	30
120183	120223	40
120233	120283	50
120303	120313	10
120433	120443	10
120663	120693	30
121162	121202	40
122292	122312	20
122522	122552	30
122682	122702	20
123631	123641	10
123741	123761	20
123781	123801	20
124251	124261	10
124550	124590	40
125010	125040	30
125080	125130	50
125450	125480	30
125810	125850	40
126309	126319	10
126749	126839	90
127219	127329	110
127828	127858	30
129128	129158	30
129218	129268	50
129318	129328	10
129607	129647	40
129827	129907	80
129927	129977	50
129997	130017	20
130037	130057	20
130277	130317	40
130827	130867	40
131286	131296	10
131586	131616	30
131906	131926	20
132715	132755	40
132775	132795	20
133265	133305	40
134504	134524	20
134724	134764	40
135694	135704	10
136433	136453	20
136623	136653	30
136753	136793	40
136893	136913	20
137093	137103	10
137123	137153	30
137363	137393	30
137403	137423	20
137892	137912	20
139461	139491	30
139501	139541	40
