Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0	195	195	851.0	358.0
295	1174	880	886.0	321.0
1744	1824	80	553.0	786.0
1864	1984	120	729.0	839.0
2274	2394	120	326.0	736.0
2454	2763	310	674.0	779.0
2853	2993	140	850.0	800.0
3043	3193	150	802.0	696.0
3333	3403	70	899.0	814.0
3423	3493	70	936.0	850.0
3513	3603	90	969.0	946.0
3623	3773	150	915.0	894.0
3813	3963	150	938.0	793.0
4023	4123	100	963.0	779.0
4223	4312	90	941.0	801.0
4342	4462	120	860.0	704.0
4582	4692	110	958.0	805.0
4742	5062	320	815.0	724.0
5222	5302	80	661.0	761.0
5322	5502	180	772.0	692.0
5682	5962	280	892.0	675.0
6051	6281	230	939.0	892.0
6371	6541	170	814.0	605.0
6561	6761	200	907.0	613.0
6801	7081	280	752.0	635.0
7261	7571	310	892.0	703.0
7641	7800	160	910.0	784.0
7820	7960	140	804.0	803.0
8260	8590	330	887.0	664.0
8600	8740	140	913.0	718.0
8750	8820	70	909.0	779.0
8880	9000	120	908.0	780.0
9100	12867	3768	864.0	610.0
12947	13157	210	1225.0	592.0
13187	13277	90	1267.0	734.0
13347	13427	80	1115.0	650.0
13447	13517	70	1254.0	762.0
13827	13977	150	1114.0	847.0
14127	14257	130	1126.0	641.0
14267	14487	220	1137.0	609.0
14736	14896	160	948.0	771.0
14936	15116	180	1226.0	716.0
15166	15286	120	986.0	449.0
15336	15536	200	1168.0	708.0
15576	16056	480	974.0	533.0
16096	16285	190	1147.0	795.0
16296	16525	230	1136.0	800.0
16575	17715	1139	978.0	537.0
17825	17965	140	1146.0	794.0
18004	18154	150	1144.0	766.0
18204	18434	230	903.0	417.0
18454	18634	180	790.0	412.0
18654	18854	200	684.0	433.0
18864	19044	180	757.0	490.0
19134	19284	150	617.0	512.0
19314	19544	230	741.0	657.0
19574	19883	310	851.0	795.0
19933	20273	340	711.0	393.0
20353	20703	350	1036.0	337.0
21053	21153	100	644.0	550.0
21163	21682	520	716.0	641.0
21712	21782	70	930.0	895.0
21822	22052	230	869.0	878.0
22082	22222	140	975.0	906.0
22292	23241	949	713.0	601.0
23271	23371	100	943.0	837.0
23411	23491	80	954.0	848.0
23551	24960	1409	953.0	854.0
25620	26320	700	972.0	853.0
26360	27289	929	951.0	801.0
27319	27639	320	840.0	785.0
27659	27979	320	984.0	733.0
28029	28159	130	780.0	716.0
28308	28588	280	735.0	718.0
28638	29298	660	738.0	814.0
29328	29997	670	668.0	526.0
30137	30607	470	972.0	763.0
30717	30897	180	787.0	786.0
30927	31187	260	940.0	787.0
31307	31946	640	961.0	772.0
32306	32456	150	468.0	679.0
32696	32866	170	1004.0	906.0
33016	33126	110	527.0	659.0
33136	33286	150	561.0	682.0
33316	33645	330	766.0	757.0
33785	34025	240	987.0	854.0
34045	34125	80	887.0	810.0
34235	35384	1149	854.0	811.0
35454	36454	999	809.0	830.0
36524	36604	80	844.0	720.0
36674	36764	90	875.0	821.0
37153	37303	150	1045.0	861.0
37323	37393	70	958.0	873.0
37423	37603	180	798.0	836.0
37633	38103	470	781.0	940.0
38153	38283	130	595.0	611.0
38303	38732	430	587.0	704.0
38772	38882	110	844.0	883.0
39522	39612	90	1053.0	842.0
39632	39822	190	1034.0	826.0
40252	40621	370	1149.0	838.0
40821	40981	160	920.0	665.0
41191	41581	390	627.0	708.0
41691	41861	170	1105.0	712.0
41871	42040	170	1088.0	706.0
42140	42220	80	1015.0	829.0
42270	42400	130	938.0	854.0
42480	42580	100	368.0	577.0
42600	42670	70	489.0	671.0
42760	42880	120	553.0	704.0
42900	43200	300	513.0	645.0
43280	43540	260	1037.0	730.0
43630	43749	120	1139.0	805.0
43769	43839	70	1117.0	764.0
44109	44279	170	539.0	639.0
44369	45518	1149	843.0	587.0
45528	46218	690	902.0	464.0
46238	46488	250	919.0	384.0
46758	47028	270	1187.0	312.0
47127	47247	120	1146.0	476.0
47277	47407	130	1179.0	534.0
47437	47587	150	1122.0	642.0
47617	47787	170	1161.0	734.0
47817	47957	140	1156.0	802.0
48247	48367	120	1240.0	556.0
48497	48647	150	925.0	373.0
48687	48976	290	745.0	450.0
49006	49166	160	846.0	313.0
49306	49876	570	765.0	607.0
50076	50156	80	576.0	608.0
50176	53834	3658	876.0	552.0
53844	54993	1149	890.0	529.0
55313	55383	70	1253.0	817.0
55403	55523	120	1123.0	805.0
55533	55792	260	1003.0	774.0
55822	55922	100	830.0	787.0
55932	56042	110	861.0	715.0
56082	56272	190	936.0	553.0
56302	56542	240	765.0	568.0
56572	56742	170	760.0	719.0
56752	56912	160	832.0	677.0
57052	57152	100	885.0	827.0
57282	57352	70	1015.0	911.0
57601	57741	140	1114.0	745.0
57801	57951	150	1205.0	710.0
58061	58151	90	1148.0	541.0
58191	58391	200	985.0	378.0
58421	58561	140	963.0	290.0
58591	59180	590	865.0	323.0
59200	59400	200	875.0	513.0
59420	59620	200	847.0	577.0
59650	59740	90	814.0	774.0
59860	60340	480	844.0	760.0
60440	60510	70	700.0	771.0
60520	60859	340	812.0	765.0
60909	61179	270	912.0	852.0
61389	61879	490	773.0	727.0
61909	62049	140	891.0	822.0
62059	62728	670	850.0	849.0
62738	62948	210	912.0	850.0
63028	63238	210	796.0	830.0
63258	63748	490	829.0	827.0
63828	64068	240	721.0	723.0
64138	64387	250	902.0	834.0
64607	64717	110	368.0	712.0
64727	65197	470	534.0	678.0
65387	65787	400	582.0	663.0
65847	66506	660	568.0	639.0
66526	66646	120	550.0	675.0
66766	66876	110	580.0	712.0
66886	67626	740	532.0	709.0
67825	67975	150	499.0	727.0
68935	69075	140	1022.0	743.0
69195	69265	70	958.0	817.0
70804	70874	70	1059.0	912.0
70984	71103	120	1063.0	813.0
71163	71233	70	1082.0	810.0
71363	71483	120	1148.0	753.0
71733	71873	140	1147.0	749.0
72623	72992	370	729.0	755.0
73022	73122	100	813.0	686.0
73522	73662	140	823.0	717.0
73802	74222	420	713.0	786.0
74422	74791	370	716.0	764.0
74901	75081	180	774.0	737.0
75101	75261	160	815.0	799.0
75301	75381	80	843.0	783.0
75391	75641	250	798.0	770.0
75961	76141	180	923.0	664.0
76161	76560	400	885.0	526.0
76720	77560	840	925.0	495.0
77680	77959	280	940.0	404.0
78079	78399	320	934.0	387.0
78409	78519	110	939.0	453.0
78659	79129	470	919.0	474.0
79149	79619	470	928.0	388.0
79639	79858	220	897.0	387.0
79978	80448	470	951.0	396.0
80718	80798	80	1222.0	510.0
80808	80888	80	1124.0	537.0
81178	81358	180	1082.0	812.0
81398	81467	70	859.0	626.0
81817	81977	160	810.0	655.0
81997	82097	100	850.0	626.0
82197	82617	420	891.0	580.0
82717	83027	310	916.0	525.0
83116	83296	180	921.0	575.0
83356	83626	270	899.0	574.0
83656	83816	160	964.0	761.0
83956	84116	160	967.0	702.0
84156	84456	300	897.0	467.0
84496	84716	220	941.0	429.0
84756	84915	160	728.0	457.0
85195	85545	350	969.0	392.0
85555	85845	290	889.0	418.0
85855	86315	460	858.0	471.0
86375	86904	530	953.0	458.0
86944	87174	230	977.0	421.0
87214	87434	220	989.0	406.0
87574	87714	140	988.0	392.0
88074	88253	180	911.0	596.0
88333	88483	150	522.0	642.0
88613	88763	150	887.0	857.0
88843	88963	120	970.0	805.0
88993	89063	70	1064.0	846.0
89153	89303	150	958.0	778.0
89823	90072	250	819.0	540.0
90092	91292	1199	898.0	563.0
91312	91382	70	876.0	585.0
92161	92561	400	879.0	744.0
92771	93161	390	703.0	605.0
93360	93470	110	852.0	589.0
93930	94020	90	983.0	756.0
94070	94230	160	1000.0	681.0
94280	94520	240	735.0	592.0
94880	95269	390	1084.0	589.0
95399	95719	320	1101.0	700.0
95769	95839	70	800.0	478.0
96019	96109	90	815.0	530.0
96139	96559	420	830.0	684.0
96818	96908	90	1017.0	685.0
96948	97108	160	1026.0	697.0
97168	97638	470	846.0	585.0
97858	98038	180	1099.0	684.0
98078	98258	180	871.0	888.0
98767	98847	80	880.0	694.0
98887	99007	120	1088.0	577.0
99167	99277	110	1094.0	562.0
99577	99767	190	918.0	452.0
99807	99947	140	892.0	466.0
99967	100176	210	810.0	496.0
100206	100376	170	807.0	375.0
100396	100486	90	810.0	487.0
100626	100896	270	809.0	493.0
100936	101226	290	873.0	689.0
101266	101456	190	831.0	498.0
101476	101636	160	726.0	489.0
101696	101836	140	734.0	375.0
101856	102025	170	646.0	368.0
102355	102495	140	731.0	671.0
102515	102785	270	885.0	560.0
102805	103035	230	908.0	489.0
103055	103235	180	932.0	456.0
103255	103555	300	922.0	417.0
103594	103884	290	933.0	394.0
103894	104074	180	909.0	462.0
104234	104874	640	922.0	477.0
104894	105154	260	912.0	394.0
105284	105373	90	1528.0	519.0
105623	105723	100	1304.0	557.0
105793	105933	140	1257.0	584.0
105973	106073	100	1211.0	570.0
106143	106313	170	682.0	512.0
106413	106873	460	657.0	523.0
107052	107192	140	683.0	517.0
107532	107912	380	1220.0	707.0
108172	108272	100	1288.0	641.0
108322	108522	200	1229.0	691.0
108622	108731	110	1269.0	655.0
108791	108871	80	1251.0	706.0
108961	109051	90	1327.0	728.0
109071	109231	160	1284.0	675.0
109381	109501	120	1275.0	649.0
109651	109801	150	1224.0	716.0
109911	110211	300	1279.0	669.0
110341	110600	260	1155.0	534.0
110750	110870	120	1205.0	565.0
110960	111080	120	1181.0	617.0
111240	111330	90	1129.0	666.0
111360	111440	80	1228.0	634.0
111600	112439	840	697.0	637.0
112619	113239	620	734.0	632.0
113359	113769	410	709.0	638.0
113829	114328	500	701.0	646.0
115538	115767	230	1254.0	449.0
115987	116247	260	1262.0	426.0
116267	116417	150	1185.0	487.0
116477	116627	150	1034.0	352.0
116637	116827	190	945.0	359.0
116957	117067	110	1025.0	586.0
117097	117286	190	1068.0	739.0
117306	117436	130	1072.0	650.0
117456	117596	140	1035.0	558.0
117626	117836	210	1094.0	620.0
117866	117996	130	1054.0	507.0
118086	118566	480	1089.0	672.0
118586	118796	210	926.0	578.0
118876	119145	270	928.0	530.0
119235	119455	220	960.0	592.0
119675	119825	150	978.0	657.0
119935	120005	70	602.0	947.0
120015	120235	220	779.0	851.0
120295	120515	220	807.0	772.0
