event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	155	155	
Fixation	275	345	70	
Saccade	345	415	70	
Saccade	455	485	30	
Saccade	525	535	10	
Saccade	545	555	10	
Fixation	555	1904	1349	
Saccade	1904	1914	10	3.26
Fixation	1914	3423	1509	
Saccade	3423	3533	110	
Saccade	3543	3613	70	
Fixation	3613	3743	130	
Saccade	3743	3783	40	15.31
Fixation	3783	4063	280	
Saccade	4063	4093	30	
Saccade	4103	4133	30	
Saccade	4163	4193	30	
Fixation	4193	5932	1739	
Saccade	5932	5972	40	8.15
Fixation	5972	6761	790	
Saccade	6761	6771	10	10.85
Fixation	6771	7391	620	
Saccade	7391	7401	10	1.91
Fixation	7401	7581	180	
Saccade	7581	7601	20	
Saccade	7641	7661	20	
Fixation	7661	7860	200	
Saccade	7860	7880	20	
Saccade	7910	7920	10	
Saccade	7950	7970	20	
Fixation	7970	8090	120	
Saccade	8090	8110	20	
Saccade	8120	8190	70	
Saccade	8310	8350	40	
Saccade	8390	8410	20	
Saccade	8420	8430	10	
Fixation	8430	8510	80	
Saccade	8510	8540	30	6.04
Fixation	8540	8620	80	
Saccade	8620	8640	20	11.2
Fixation	8640	9090	450	
Saccade	9090	9100	10	2.65
Fixation	9100	11688	2589	
Saccade	11688	11698	10	3.11
Fixation	11698	12408	710	
Saccade	12408	12488	80	
Saccade	12538	12568	30	
Fixation	12568	13457	889	
Saccade	13457	13487	30	13.33
Fixation	13487	14127	640	
Saccade	14127	14137	10	1.97
Fixation	14137	14626	490	
Saccade	14626	14706	80	
Saccade	14716	14746	30	
Fixation	14746	14836	90	
Saccade	14836	14876	40	5.59
Fixation	14876	15096	220	
Saccade	15096	15126	30	7.58
Fixation	15126	15636	510	
Saccade	15636	15696	60	14.35
Fixation	15696	16136	440	
Saccade	16136	16205	70	24.33
Fixation	16205	16375	170	
Saccade	16375	16405	30	9.39
Fixation	16405	16995	590	
Saccade	16995	17045	50	12.11
Fixation	17045	17475	430	
Saccade	17475	17495	20	5.03
Fixation	17495	17675	180	
Saccade	17675	17715	40	12.02
Fixation	17715	17935	220	
Saccade	17935	17964	30	9.61
