Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
55	95	40
265	375	110
395	415	20
455	545	90
765	785	20
934	954	20
1474	1504	30
1704	1744	40
1774	1794	20
1804	1924	120
1974	1994	20
2234	2254	20
2424	2454	30
2474	2514	40
2943	2983	40
3233	3253	20
3263	3283	20
3503	3513	10
3563	3583	20
3603	3643	40
3683	3723	40
4083	4123	40
4143	4163	20
4212	4232	20
4312	4352	40
4602	4642	40
4692	4722	30
5012	5032	20
5192	5212	20
5472	5492	20
5822	5852	30
6161	6181	20
6201	6221	20
6241	6261	20
6301	6331	30
6401	6421	20
6511	6541	30
6801	6831	30
7181	7211	30
7241	7261	20
7271	7281	10
7311	7331	20
7381	7441	60
8400	8430	30
8590	8620	30
8780	8840	60
8980	9050	70
9150	9170	20
9489	9519	30
9939	9969	30
10229	10259	30
10309	10319	10
10459	10509	50
10519	10539	20
10609	10669	60
11578	11618	40
11818	11858	40
11878	11898	20
12008	12038	30
12118	12318	200
12388	12428	40
12628	12647	20
12677	12697	20
12717	12737	20
12827	12857	30
13197	13227	30
13467	13477	10
15336	15346	10
16385	16415	30
16485	16535	50
16695	16705	10
16975	17055	80
17065	17085	20
17105	17125	20
17185	17225	40
17235	17335	100
17405	17435	30
17535	17575	40
17585	17655	70
17685	17704	20
17754	17764	10
17804	17824	20
18604	18634	30
18644	18744	100
18774	18824	50
18834	18844	10
18864	18894	30
19124	19134	10
19364	19433	70
19453	19493	40
19513	19533	20
19653	19683	30
19903	19933	30
20103	20133	30
20293	20323	30
20623	20653	30
20913	20923	10
21312	21322	10
21512	21532	20
22342	22362	20
22402	22422	20
22831	22871	40
23411	23431	20
24850	24860	10
25290	25310	20
25370	25440	70
25500	25510	10
25550	25560	10
25940	25990	50
26030	26060	30
26070	26100	30
26189	26229	40
26789	26809	20
27029	27059	30
27249	27279	30
27539	27559	20
27848	27928	80
27948	27998	50
28018	28048	30
28088	28118	30
28268	28288	20
28338	28378	40
28398	28438	40
29198	29248	50
29697	29717	20
29877	29907	30
30057	30087	30
30857	30907	50
31017	31057	40
31177	31196	20
31526	31586	60
31766	31786	20
31856	31886	30
32056	32086	30
32346	32366	20
32656	32676	20
32846	32866	20
33395	33415	20
34015	34045	30
35354	35364	10
35534	35624	90
35634	35664	30
35704	35724	20
35764	35794	30
36034	36044	10
36373	36393	20
36623	36663	40
36683	36703	20
36743	36783	40
36793	36823	30
36973	36993	20
37263	37293	30
37313	37333	20
37843	37903	60
37942	37952	10
38412	38462	50
38872	38882	10
38912	38932	20
39092	39162	70
39262	39282	20
39322	39332	10
39392	39452	60
39572	39602	30
39661	39681	20
39691	39721	30
39771	39811	40
39851	39881	30
39901	39931	30
39961	39991	30
40341	40371	30
40451	40481	30
40731	40751	20
41081	41091	10
41281	41301	20
41590	41610	20
42180	42220	40
42250	42270	20
42290	42310	20
42710	42740	30
43039	43109	70
43119	43139	20
43149	43169	20
43259	43269	10
43429	43449	20
43459	43509	50
43529	43549	20
43799	43809	10
44379	44459	80
44499	44529	30
44559	44579	20
44589	44629	40
45268	45278	10
45678	45708	30
45898	45908	10
46128	46168	40
46338	46358	20
46887	46917	30
46947	46967	20
46977	47017	40
47027	47057	30
47107	47127	20
47237	47267	30
48506	48556	50
48596	48626	30
48686	48736	50
48916	48926	10
49296	49326	30
49706	49755	50
50065	50075	10
50265	50295	30
50595	50625	30
51105	51115	10
52544	52554	10
54063	54113	50
54143	54183	40
54193	54263	70
54623	54683	60
54753	54802	50
54822	54862	40
54932	54972	40
56022	56042	20
56172	56202	30
56252	56292	40
56881	56931	50
57061	57101	40
57571	57611	40
57651	57681	30
57731	57751	20
57881	57901	20
57921	57951	30
58200	58230	30
58560	58590	30
58850	58890	40
59070	59120	50
59540	59570	30
60429	60439	10
60599	60659	60
60689	60709	20
60719	60729	10
60749	60759	10
60879	60919	40
60929	60939	10
61159	61239	80
61249	61259	10
61279	61289	10
61309	61349	40
61379	61389	10
61419	61489	70
61678	61698	20
61868	61888	20
61908	61928	20
62158	62168	10
62208	62238	30
62728	62758	30
62928	62938	10
63647	63707	60
63847	63897	50
63917	63937	20
63987	64007	20
64047	64077	30
64117	64137	20
64177	64217	40
64247	64257	10
64277	64297	20
64307	64337	30
64407	64437	30
64447	64517	70
64617	64637	20
64737	64757	20
64777	64797	20
65116	65136	20
65206	65216	10
65286	65306	20
65376	65416	40
65686	65706	20
65996	66026	30
66396	66426	30
66605	66615	10
66785	66805	20
67065	67075	10
67415	67445	30
67865	67905	40
69044	69064	20
69214	69254	40
69504	69524	20
69774	69784	10
70123	70133	10
70183	70193	10
70853	70883	30
71593	71672	80
71712	71752	40
71772	71782	10
71802	71852	50
71862	71912	50
72472	72572	100
72582	72602	20
72622	72652	30
72692	72712	20
72762	72772	10
72952	72982	30
73222	73252	30
73391	73431	40
73441	73471	30
73511	73521	10
73821	73891	70
73911	73931	20
73991	74001	10
74171	74211	40
74631	74701	70
75190	75220	30
75330	75360	30
75370	75420	50
75430	75500	70
75540	75560	20
75990	76030	40
76240	76270	30
76699	76719	20
76739	76759	20
77169	77189	20
77699	77719	20
77859	77889	30
78149	78179	30
78418	78438	20
78998	79008	10
79148	79168	20
79448	79478	30
80147	80207	60
80367	80377	10
80477	80527	50
80747	80767	20
81087	81127	40
81357	81387	30
81557	81567	10
81806	81826	20
82216	82236	20
82746	82776	30
83006	83026	20
83216	83226	10
83386	83405	20
83585	83625	40
83765	83805	40
83845	83875	30
84165	84175	10
84195	84225	30
84245	84325	80
84665	84685	20
84955	84995	40
85504	85534	30
85794	85814	20
85934	85974	40
85984	85994	10
86284	86304	20
87083	87093	10
87523	87533	10
87853	87913	60
87963	88013	50
88083	88103	20
88263	88303	40
88343	88363	20
88752	88872	120
88942	88952	10
89062	89082	20
89402	89482	80
89752	89772	20
90112	90132	20
90152	90171	20
90231	90261	30
90281	90291	10
90351	90371	20
90631	90691	60
90941	90971	30
91381	91401	20
91731	91761	30
92270	92300	30
92490	92510	20
93240	93270	30
94199	94219	20
94349	94379	30
94629	94639	10
95548	95568	20
95788	95818	30
95868	95888	20
96348	96368	20
96548	96558	10
97007	97037	30
97267	97297	30
97677	97707	30
97757	97777	20
98077	98107	30
98467	98507	40
98527	98557	30
99826	99856	30
99886	99946	60
100156	100176	20
100395	100415	20
100545	100605	60
101225	101235	10
101855	101895	40
101984	102004	20
104293	104313	20
