Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0	175	175	827.0	566.0
405	515	110	885.0	588.0
914	1134	220	1242.0	584.0
1184	1634	450	878.0	469.0
1644	2364	720	1006.0	461.0
2424	2504	80	1010.0	600.0
2514	2593	80	1032.0	750.0
2833	2983	150	1066.0	887.0
3983	4053	70	973.0	630.0
5232	6691	1459	1257.0	650.0
6701	7860	1159	1243.0	332.0
7870	10369	2499	1052.0	415.0
10559	10998	440	1076.0	735.0
11038	11208	170	1254.0	696.0
11278	11478	200	734.0	590.0
11498	11748	250	930.0	524.0
11778	11928	150	1104.0	618.0
11968	12368	400	926.0	667.0
12398	13277	879	1014.0	656.0
13357	13497	140	1366.0	635.0
13627	13907	280	1264.0	647.0
14416	15256	840	1267.0	785.0
15646	16006	360	804.0	708.0
16036	16365	330	928.0	550.0
16395	16705	310	1051.0	564.0
16745	17185	440	947.0	728.0
17205	17355	150	955.0	604.0
17425	17874	450	895.0	608.0
17884	18074	190	949.0	595.0
18094	18474	380	897.0	590.0
18484	18634	150	972.0	603.0
18654	18734	80	957.0	609.0
18754	19144	390	930.0	694.0
19224	19434	210	1510.0	862.0
19444	19543	100	1353.0	778.0
19573	19753	180	1133.0	714.0
19773	20623	849	986.0	719.0
20643	21132	490	1028.0	752.0
21152	21312	160	1099.0	704.0
21652	21722	70	1608.0	717.0
21742	22112	370	1483.0	808.0
22192	22502	310	775.0	942.0
23381	23461	80	1551.0	899.0
23491	23591	100	1432.0	738.0
23601	23761	160	1447.0	615.0
23841	24021	180	1329.0	517.0
24041	24710	670	977.0	550.0
24890	25020	130	587.0	585.0
25040	25180	140	647.0	503.0
25200	25360	160	810.0	580.0
25370	26030	660	960.0	646.0
26100	26289	190	1523.0	654.0
26389	26599	210	1456.0	560.0
26649	26719	70	1862.0	426.0
26749	26989	240	1693.0	433.0
27109	27359	250	986.0	640.0
27389	27519	130	814.0	722.0
27569	28778	1209	1275.0	603.0
28808	28958	150	1005.0	837.0
28978	29058	80	1139.0	854.0
29098	29208	110	1158.0	862.0
29328	29617	290	686.0	786.0
29657	31636	1979	929.0	621.0
31786	32036	250	1374.0	824.0
32046	32136	90	1201.0	811.0
32156	32376	220	1167.0	868.0
32526	32616	90	1164.0	1050.0
32646	32916	270	1035.0	1029.0
33285	33425	140	1182.0	1012.0
33465	33585	120	1245.0	742.0
34035	34375	340	1744.0	736.0
34465	34784	320	803.0	664.0
34804	34974	170	677.0	490.0
35264	36004	740	1035.0	305.0
36673	36753	80	631.0	581.0
36793	36923	130	755.0	853.0
36953	37773	820	833.0	725.0
37893	38062	170	1595.0	737.0
38072	38292	220	1422.0	668.0
38332	38632	300	1042.0	653.0
38742	38882	140	1354.0	518.0
38922	39961	1039	963.0	378.0
40241	40331	90	343.0	924.0
40551	40631	80	552.0	826.0
40651	40901	250	587.0	720.0
41450	41670	220	669.0	578.0
41700	41930	230	936.0	490.0
41950	42150	200	934.0	522.0
42180	42360	180	953.0	647.0
42370	42590	220	969.0	707.0
42610	42710	100	965.0	686.0
42730	42910	180	1027.0	600.0
42940	43259	320	898.0	591.0
