event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	944	944	
Saccade	944	1014	70	
Saccade	1094	1124	30	
Saccade	1144	1174	30	
Saccade	1194	1214	20	
Saccade	1384	1424	40	
Saccade	1444	1484	40	
Saccade	1504	1534	30	
Saccade	1544	1624	80	
Saccade	1654	1744	90	
Saccade	1764	1784	20	
Saccade	1814	1834	20	
Saccade	1854	1874	20	
Saccade	1914	1934	20	
Saccade	1974	2034	60	
Saccade	2064	2084	20	
Saccade	2094	2104	10	
Saccade	2164	2174	10	
Saccade	2214	2224	10	
Fixation	2224	2863	640	
Saccade	2863	2873	10	6.47
Fixation	2873	3233	360	
Saccade	3233	3273	40	1.58
Fixation	3273	3983	710	
Fixation	4003	4193	190	
Saccade	4193	4213	20	4.2
Fixation	4213	4522	310	
Saccade	4522	4542	20	4.53
Fixation	4542	4842	300	
Saccade	4842	4862	20	4.19
Fixation	4862	5312	450	
Saccade	5312	5332	20	
Saccade	5342	5362	20	
Saccade	5422	5462	40	
Fixation	5542	5792	250	
Saccade	5792	5802	10	3.33
Fixation	5802	5992	190	
Saccade	5992	6002	10	2.17
Fixation	6002	6501	500	
Saccade	6501	6521	20	
Saccade	6541	6601	60	
Saccade	6651	6711	60	
Fixation	6711	6811	100	
Saccade	6811	6851	40	
Saccade	6971	6991	20	
Fixation	6991	7730	740	
Fixation	7770	7900	130	
Saccade	7920	7940	20	
Saccade	7980	8000	20	
Fixation	8000	8170	170	
Saccade	8170	8210	40	6.29
Fixation	8210	8300	90	
Saccade	8300	8390	90	
Saccade	8510	8550	40	
Saccade	8650	8670	20	
Saccade	8690	8710	20	
Saccade	8720	8790	70	
Fixation	8790	9050	260	
Saccade	9050	9080	30	14.13
Fixation	9080	9300	220	
Saccade	9300	9330	30	6.39
Fixation	9330	9539	210	
Fixation	9559	9689	130	
Saccade	9689	9739	50	12.36
Fixation	9739	9899	160	
Fixation	9959	10109	150	
Saccade	10109	10129	20	
Saccade	10169	10199	30	
Fixation	10239	10369	130	
Saccade	10369	10389	20	
Saccade	10409	10449	40	
Fixation	10449	10539	90	
Fixation	10559	10759	200	
Saccade	10759	10799	40	4.51
Fixation	10799	11179	380	
Saccade	11179	11218	40	10.25
Fixation	11218	11448	230	
Saccade	11558	11618	60	
Fixation	11918	11998	80	
Saccade	11998	12028	30	6.98
Fixation	12028	12158	130	
Saccade	12158	12178	20	4.58
Fixation	12178	12308	130	
Saccade	12348	12368	20	
Saccade	12388	12428	40	
Fixation	12428	12838	410	
Saccade	12838	12878	40	
Saccade	12937	12967	30	
Saccade	13027	13047	20	
Fixation	13047	13487	440	
Fixation	13587	13827	240	
Saccade	13827	13877	50	10.76
Fixation	13877	14117	240	
Saccade	14197	14217	20	
Saccade	14337	14367	30	
Fixation	14437	14517	80	
Fixation	14537	14806	270	
Saccade	14886	14906	20	
Fixation	14926	14996	70	
Saccade	14996	15006	10	2.71
Fixation	15006	15176	170	
Saccade	15176	15206	30	4.62
Fixation	15206	15486	280	
Fixation	15506	15896	390	
Fixation	15936	16346	410	
Saccade	16346	16385	40	2.15
Fixation	16385	16705	320	
Saccade	16725	16755	30	
Saccade	16905	16955	50	
Saccade	16995	17005	10	
Saccade	17025	17045	20	
Fixation	17045	17205	160	
Saccade	17205	17225	20	
Saccade	17265	17285	20	
Fixation	17285	17415	130	
Saccade	17495	17515	20	
Saccade	17575	17615	40	
Fixation	17615	17835	220	
Saccade	17835	17865	30	
Saccade	17885	17915	30	
Fixation	17915	18005	90	
Saccade	18104	18134	30	
Fixation	18134	18264	130	
Saccade	18264	18294	30	7.41
Fixation	18294	18364	70	
Saccade	18364	18384	20	
Saccade	18404	18414	10	
Saccade	18424	18444	20	
Fixation	18574	18694	120	
Saccade	18694	18714	20	
Saccade	18734	18754	20	
Fixation	18854	18924	70	
Saccade	19034	19064	30	
Fixation	19124	19214	90	
Saccade	19214	19234	20	
Saccade	19254	19274	20	
Fixation	19274	19384	110	
Saccade	19464	19484	20	
Saccade	19594	19644	50	
Saccade	19664	19704	40	
Saccade	19744	19783	40	
Saccade	19823	19873	50	
Saccade	19913	19933	20	
Fixation	19933	20283	350	
Saccade	20283	20303	20	5.79
Fixation	20303	20443	140	
Fixation	20503	20653	150	
Saccade	20703	20733	30	
Fixation	20773	20923	150	
Fixation	20943	21023	80	
Saccade	21123	21153	30	
Saccade	21223	21253	30	
Fixation	21343	21453	110	
Fixation	21473	21622	150	
Saccade	21622	21722	100	
Saccade	21742	21832	90	
Saccade	21982	22002	20	
Saccade	22052	22152	100	
Saccade	22192	22212	20	
Saccade	22232	22242	10	
Fixation	22242	22552	310	
Fixation	22572	22662	90	
Saccade	22662	22712	50	8.83
Fixation	22712	22912	200	
Saccade	22912	22952	40	
Saccade	23082	23102	20	
Saccade	23142	23162	20	
Fixation	23162	23231	70	
Saccade	23231	23251	20	
Fixation	23271	23351	80	
Saccade	23351	23381	30	
Saccade	23421	23441	20	
Fixation	23441	23521	80	
Fixation	23561	23681	120	
Saccade	23681	23701	20	
Fixation	23721	23951	230	
Fixation	23971	24131	160	
Saccade	24131	24151	20	5.46
Fixation	24151	24471	320	
Fixation	24631	24771	140	
Fixation	24791	24911	120	
Saccade	24911	24940	30	
Fixation	25170	25290	120	
Saccade	25290	25320	30	
Fixation	25340	25560	220	
Saccade	25560	25620	60	
Fixation	25640	25740	100	
Fixation	25760	25830	70	
Saccade	25830	25850	20	2.52
Fixation	25850	26020	170	
Saccade	26020	26050	30	
Fixation	26240	26410	170	
Saccade	26520	26560	40	
Fixation	26560	26669	110	
Saccade	26849	26859	10	
Fixation	26859	27019	160	
Fixation	27039	27179	140	
Fixation	27239	27509	270	
Saccade	27509	27549	40	6.84
Fixation	27549	27659	110	
Fixation	27779	27879	100	
Saccade	27879	27909	30	
Saccade	27929	27949	20	
Fixation	27949	28059	110	
Saccade	28059	28099	40	14.87
Fixation	28099	28189	90	
Fixation	28289	28438	150	
Fixation	28588	28708	120	
Saccade	28708	28728	20	
Saccade	28778	28818	40	
Fixation	28818	28918	100	
Saccade	28918	28938	20	3.75
Fixation	28938	29188	250	
Fixation	29308	29718	410	
Saccade	29738	29778	40	
Fixation	29778	29858	80	
Fixation	29878	30167	290	
Fixation	30287	30557	270	
Fixation	30577	30687	110	
Fixation	30707	30897	190	
Fixation	30977	31457	480	
Fixation	31557	31807	250	
Fixation	31826	32486	660	
Fixation	32506	32896	390	
