start_time	end_time	Carton	Instructions	Phone	ReservoirUnit	YpsoPod
0.246	0.376	402.4	0.0	197.5	292.9	1600.0
0.536	0.626	553.4	0.0	195.2	433.5	1600.0
0.688	0.778	576.3	0.0	180.5	446.2	1600.0
0.815	0.885	554.4	0.0	154.4	418.2	1600.0
0.949	1.059	517.7	0.0	144.2	370.5	1600.0
1.095	1.205	455.0	0.0	142.8	313.2	1600.0
1.285	1.375	424.4	0.0	163.5	289.4	1600.0
1.399	1.499	397.2	0.0	181.2	274.5	1600.0
1.539	1.649	407.7	0.0	181.7	274.6	1600.0
1.837	2.127	406.3	0.0	200.3	285.4	1600.0
2.258	2.358	560.2	0.0	179.2	432.9	1600.0
2.417	2.497	561.3	0.0	176.3	425.1	1600.0
2.748	2.918	408.0	0.0	184.6	278.2	1600.0
2.955	3.045	413.9	0.0	183.3	297.6	1600.0
3.088	3.178	448.8	0.0	194.0	332.7	1600.0
3.258	3.478	490.3	0.0	223.6	384.6	1600.0
3.548	3.758	530.3	0.0	164.8	398.3	1600.0
3.856	3.946	494.2	0.0	249.7	356.4	1600.0
3.965	4.075	281.1	1600.0	1600.0	1600.0	1600.0
4.837	4.937	575.0	1600.0	1600.0	906.5	1600.0
4.953	5.063	507.1	552.7	1600.0	770.6	1600.0
5.932	6.032	541.7	0.0	174.0	363.6	1600.0
6.056	6.176	532.2	0.0	250.6	393.9	1600.0
6.236	6.346	521.0	0.0	317.4	422.8	1600.0
6.504	6.684	553.4	0.0	284.0	432.7	1600.0
6.916	7.016	700.7	1600.0	158.7	535.2	1600.0
7.065	7.165	662.2	1600.0	210.8	524.3	1600.0
7.181	7.291	589.6	1600.0	266.0	485.7	1600.0
7.336	7.456	521.1	1600.0	251.0	422.4	1600.0
7.472	7.582	525.9	133.0	236.0	407.1	1600.0
7.684	7.894	589.2	1600.0	261.0	490.2	1600.0
7.931	8.141	528.1	1600.0	274.0	440.5	1600.0
8.451	8.701	490.6	0.0	261.0	392.6	1600.0
8.721	8.901	423.7	0.0	280.0	337.5	1600.0
8.982	9.112	424.2	0.0	284.0	335.8	1600.0
9.135	9.235	417.5	0.0	274.1	336.1	1600.0
9.281	9.491	368.9	71.4	200.6	226.0	1600.0
9.57	9.77	400.6	0.0	176.2	240.6	1600.0
9.994	10.064	662.0	1600.0	252.0	546.7	1600.0
10.1	10.19	623.2	1600.0	274.6	516.5	1600.0
10.379	10.629	590.7	1600.0	276.0	497.1	1600.0
10.649	10.759	521.6	1600.0	268.0	417.9	1600.0
10.8	10.91	511.5	1600.0	262.4	414.5	1600.0
10.954	11.214	523.0	1600.0	276.1	432.5	1600.0
11.254	11.504	465.8	1600.0	263.3	361.2	1600.0
11.58	11.68	469.3	1600.0	261.5	383.3	1600.0
11.749	11.929	420.6	1600.0	259.1	317.6	1600.0
11.98	12.25	598.4	0.0	270.1	497.8	1600.0
12.27	12.55	458.6	1.0	368.0	415.1	1600.0
12.598	12.678	336.4	1.0	362.4	301.8	1600.0
12.699	12.769	348.5	0.0	353.0	320.1	1600.0
12.868	12.938	341.3	51.4	1600.0	370.8	1600.0
12.979	13.059	396.0	11.0	1600.0	398.0	1600.0
13.099	13.209	427.3	8.0	1600.0	420.6	1600.0
13.25	13.36	421.7	0.0	1600.0	396.2	1600.0
13.442	13.532	537.3	0.0	1600.0	479.4	1600.0
13.551	13.931	407.2	1600.0	1600.0	373.7	1600.0
14.237	14.327	0.0	1600.0	1600.0	300.3	1600.0
14.392	14.462	20.1	1600.0	1600.0	376.5	1600.0
14.499	14.599	179.0	1600.0	1600.0	212.4	1600.0
15.239	15.309	716.8	32.1	1600.0	487.3	1600.0
15.34	15.48	710.7	49.5	1600.0	495.9	1600.0
15.5	15.71	658.4	69.4	1600.0	433.0	1600.0
15.76	15.86	481.0	652.1	1600.0	791.0	1600.0
16.187	16.377	31.8	439.6	1600.0	366.9	1600.0
17.089	17.179	1072.7	154.7	1600.0	975.9	1600.0
17.236	17.326	1028.5	217.0	1600.0	897.2	1600.0
17.39	17.46	1014.8	172.3	1600.0	873.1	1600.0
17.636	17.796	963.1	136.8	1600.0	819.3	1600.0
17.94	18.03	634.2	260.4	1600.0	510.5	1600.0
18.186	18.316	535.5	1600.0	1600.0	483.7	1600.0
18.339	18.469	574.8	1600.0	1600.0	541.4	1600.0
18.805	18.875	877.8	199.0	1600.0	794.8	1600.0
18.939	19.009	860.5	236.7	1600.0	761.2	1600.0
19.065	19.155	827.3	110.0	1600.0	710.1	1600.0
19.235	19.545	741.7	10.0	1600.0	501.9	1600.0
