Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
1015.106	1035.106	20.0
1015.171	1035.171	20.0
1019.422	1039.422	20.0
1024.876	1044.876	20.0
1025.667	1045.667	20.0
1029.417	1049.417	20.0
1159.338	1209.338	50.0
1160.746	1210.746	50.0
1162.792	1212.792	50.0
1169.361	1219.361	50.0
1170.46	1220.46	50.0
1173.339	1223.339	50.0
1179.351	1229.351	50.0
1180.174	1230.174	50.0
1183.886	1233.886	50.0
1189.342	1239.342	50.0
1189.888	1239.888	50.0
1194.456	1244.456	50.0
1199.334	1249.334	50.0
1199.602	1249.602	50.0
1215.596	1235.596	20.0
1219.03	1239.03	20.0
1219.315	1239.315	20.0
1226.166	1246.166	20.0
1228.744	1248.744	20.0
1229.31	1249.31	20.0
1267.6	1277.6	10.0
1268.446	1278.446	10.0
1269.274	1279.274	10.0
1296.735	1306.735	10.0
1299.279	1309.279	10.0
1300.156	1310.156	10.0
1405.856	1415.856	10.0
1409.225	1419.225	10.0
1413.219	1423.219	10.0
2764.603	2784.603	20.0
2767.849	2787.849	20.0
2768.424	2788.424	20.0
2774.193	2794.193	20.0
2778.413	2798.413	20.0
2778.434	2798.434	20.0
2782.514	2802.514	20.0
4003.418	4023.418	20.0
4004.451	4024.451	20.0
4007.726	4027.726	20.0
4013.082	4033.082	20.0
4015.159	4035.159	20.0
4017.713	4037.713	20.0
4853.608	4863.608	10.0
4855.041	4865.041	10.0
4857.226	4867.226	10.0
5841.975	5871.975	30.0
5845.943	5875.943	30.0
5846.68	5876.68	30.0
5851.633	5881.633	30.0
5856.438	5886.438	30.0
5856.668	5886.668	30.0
5861.291	5891.291	30.0
5866.657	5896.657	30.0
5866.933	5896.933	30.0
5870.949	5900.949	30.0
6842.275	6862.275	20.0
6846.091	6866.091	20.0
6848.925	6868.925	20.0
6852.945	6872.945	20.0
6856.107	6876.107	20.0
6858.508	6878.508	20.0
7305.855	7315.855	10.0
7309.601	7319.601	10.0
7310.021	7320.021	10.0
12932.619	12952.619	20.0
12935.631	12955.631	20.0
12935.991	12955.991	20.0
12942.613	12962.613	20.0
12945.179	12965.179	20.0
12946.621	12966.621	20.0
13137.709	13157.709	20.0
13142.508	13162.508	20.0
13145.399	13165.399	20.0
13148.303	13168.303	20.0
13152.5	13172.5	20.0
13154.915	13174.915	20.0
13637.667	13647.667	10.0
13642.217	13652.217	10.0
13645.757	13655.757	10.0
13647.135	13657.135	10.0
15627.943	15647.943	20.0
15631.076	15651.076	20.0
15631.45	15651.45	20.0
15638.504	15658.504	20.0
15641.066	15661.066	20.0
15641.188	15661.188	20.0
15748.269	15768.269	20.0
15751.002	15771.002	20.0
15754.675	15774.675	20.0
15757.97	15777.97	20.0
15760.998	15780.998	20.0
15765.242	15785.242	20.0
17175.977	17205.977	30.0
17178.124	17208.124	30.0
17180.206	17210.206	30.0
17185.522	17215.522	30.0
17188.675	17218.675	30.0
17190.198	17220.198	30.0
17195.067	17225.067	30.0
17199.226	17229.226	30.0
17200.192	17230.192	30.0
17204.612	17234.612	30.0
17480.021	17490.021	10.0
17482.445	17492.445	10.0
17484.825	17494.825	10.0
18077.655	18087.655	10.0
18079.672	18089.672	10.0
18081.329	18091.329	10.0
18285.054	18325.054	40.0
18289.217	18329.217	40.0
18289.552	18329.552	40.0
18294.775	18334.775	40.0
18299.544	18339.544	40.0
18299.8	18339.8	40.0
18304.496	18344.496	40.0
18309.54	18349.54	40.0
18310.383	18350.383	40.0
18314.217	18354.217	40.0
18319.563	18359.563	40.0
18320.966	18360.966	40.0
18323.938	18363.938	40.0
18566.893	18616.893	50.0
18569.411	18619.411	50.0
18574.58	18624.58	50.0
18576.604	18626.604	50.0
18579.405	18629.405	50.0
18585.128	18635.128	50.0
18586.315	18636.315	50.0
