start_time	end_time	Carton	Instructions	Phone	ReservoirUnit	YpsoPod
0.256	0.856	661.7	1600.0	1600.0	550.6	1600.0
1.235	2.045	988.1	1600.0	1600.0	718.5	1600.0
2.078	2.418	852.7	1600.0	1600.0	561.7	1600.0
2.424	2.744	750.9	489.4	1600.0	505.9	1600.0
3.917	4.037	179.6	1600.0	1600.0	271.0	1600.0
4.164	4.424	342.7	1600.0	326.4	34.7	1600.0
4.446	4.536	363.6	1600.0	1600.0	124.9	1600.0
4.973	5.373	651.4	1084.8	1600.0	424.2	1600.0
5.417	5.567	402.9	643.6	1600.0	646.4	1600.0
6.416	7.236	470.5	1600.0	381.0	571.0	1600.0
7.275	7.455	454.1	0.0	383.6	1600.0	1600.0
7.736	7.846	437.3	0.0	1600.0	1600.0	1600.0
7.882	8.022	445.9	0.0	1600.0	1600.0	1600.0
8.044	8.344	338.1	0.0	1600.0	1600.0	1600.0
8.493	8.683	355.5	0.0	285.0	1600.0	1600.0
8.723	8.963	255.0	0.0	346.0	1600.0	1600.0
9.002	9.342	407.9	0.0	340.2	1600.0	1600.0
9.36	9.54	397.8	0.0	360.8	1600.0	1600.0
9.554	9.704	423.9	22.0	365.5	1600.0	1600.0
9.714	10.184	480.9	2.0	364.6	1600.0	1600.0
10.211	10.311	1600.0	0.0	354.5	1600.0	1600.0
10.331	10.471	683.2	0.0	375.5	1600.0	1600.0
10.694	11.094	572.2	0.0	1600.0	1600.0	1600.0
11.129	11.239	154.2	257.4	238.4	66.3	1600.0
11.29	11.37	159.4	319.0	233.3	5.0	1600.0
11.532	11.612	137.1	343.9	267.3	0.0	1600.0
11.792	12.112	189.0	488.0	362.7	57.9	50.2
12.149	12.269	174.4	438.2	333.4	33.5	20.6
12.379	12.559	174.1	427.6	330.3	8.2	1600.0
12.57	13.24	127.3	402.4	341.6	49.6	45.3
13.349	13.669	184.7	338.7	318.4	1600.0	1600.0
13.682	13.832	190.9	222.0	180.7	29.0	7.3
13.919	14.349	184.3	193.1	192.8	1600.0	1600.0
14.462	14.712	1169.5	169.3	1600.0	244.3	1600.0
14.72	15.38	199.1	224.0	0.0	91.1	1600.0
15.531	15.951	269.7	241.9	0.0	120.6	39.9
15.988	16.328	231.2	199.3	0.0	120.8	1600.0
16.348	16.428	314.6	115.1	0.0	240.5	1600.0
16.451	16.811	260.2	164.0	0.0	209.3	1600.0
16.926	17.326	206.2	179.9	0.0	145.1	1600.0
17.37	17.9	365.6	238.4	0.0	183.4	1600.0
17.95	18.1	266.4	168.1	0.0	161.3	1600.0
18.14	18.33	429.0	303.8	0.0	240.1	1600.0
18.365	18.835	297.3	157.1	0.0	194.8	1600.0
19.168	19.288	339.4	175.5	0.0	199.0	1600.0
19.317	19.627	247.5	175.6	0.0	222.5	1600.0
19.659	20.518	275.6	152.0	0.0	197.4	1600.0
20.568	20.718	358.3	88.0	0.0	274.4	1600.0
20.745	21.065	222.6	210.0	0.0	148.7	1600.0
21.083	21.723	307.3	123.1	0.0	228.5	1600.0
21.825	22.435	270.6	153.0	0.0	192.1	1600.0
22.447	22.927	198.9	225.0	0.0	125.7	1600.0
22.946	23.336	284.1	139.2	0.0	191.0	1600.0
23.353	25.892	206.7	219.0	0.0	132.9	1600.0
25.923	26.203	348.9	94.6	0.0	236.0	1600.0
26.241	26.331	316.2	126.5	0.0	211.0	1600.0
26.441	26.661	269.6	159.9	0.0	173.8	1600.0
26.775	27.445	234.6	205.2	0.0	135.5	1600.0
27.492	27.622	305.4	142.0	0.0	199.2	1600.0
27.704	27.804	285.2	193.5	0.0	146.3	1600.0
27.842	27.922	284.4	181.0	0.0	145.1	1600.0
28.004	28.504	307.4	243.1	0.0	144.6	1600.0
28.721	28.841	427.7	200.8	0.0	219.2	1600.0
28.942	29.122	391.7	279.4	0.0	164.0	1600.0
29.143	30.002	477.6	338.7	0.0	246.8	1600.0
30.039	30.199	460.6	320.5	0.0	233.8	1600.0
30.209	30.479	412.2	328.8	0.0	176.9	1600.0
30.678	31.058	431.4	342.0	0.0	195.2	1600.0
31.111	31.181	338.2	399.4	49.1	103.1	1600.0
31.282	31.522	352.2	254.9	0.0	143.8	1600.0
32.002	32.072	456.6	261.6	0.0	246.1	1600.0
32.077	32.407	382.7	332.8	0.0	160.0	1600.0
32.417	32.587	425.0	309.8	0.0	199.5	1600.0
32.651	32.891	486.3	364.4	0.0	246.1	1600.0
32.927	33.047	485.3	356.4	0.0	244.9	1600.0
33.106	34.045	463.0	355.6	0.0	224.3	1600.0
34.055	34.155	436.9	341.7	0.0	199.4	1600.0
34.18	34.34	372.2	341.1	0.0	141.0	1600.0
34.477	34.657	369.5	340.7	0.0	147.6	1600.0
34.938	35.558	450.2	328.1	0.0	221.5	1600.0
35.585	35.715	331.7	223.2	0.0	143.0	1600.0
35.725	35.815	280.4	256.5	0.0	102.0	1600.0
35.909	36.139	296.0	121.2	0.0	211.6	1600.0
36.157	36.257	307.4	122.3	0.0	206.9	1600.0
36.277	36.707	313.0	117.3	0.0	199.0	1600.0
36.716	37.536	276.0	136.0	0.0	202.4	1600.0
37.578	37.758	235.4	154.0	0.0	187.9	1600.0
37.768	38.188	181.9	202.0	0.0	140.5	1600.0
38.205	39.144	252.0	144.0	0.0	203.1	1600.0
39.164	39.384	172.6	217.0	0.0	151.4	1600.0
39.502	39.582	170.4	222.0	0.0	151.4	1600.0
39.604	39.834	205.5	186.2	3.0	204.6	1600.0
39.844	39.984	252.6	129.3	0.0	211.7	1600.0
40.147	40.467	577.4	8.0	356.7	1600.0	1600.0
40.475	40.655	593.0	54.0	453.3	1600.0	1600.0
40.702	40.902	739.4	0.0	558.7	1600.0	1600.0
40.925	41.125	505.4	0.0	326.7	1600.0	1600.0
41.132	41.312	210.9	156.0	44.1	1600.0	1600.0
41.342	41.462	311.8	60.0	81.4	1600.0	1600.0
41.502	41.602	326.2	54.0	46.5	1600.0	1600.0
41.816	41.886	121.0	658.3	516.1	267.5	1600.0
41.933	42.043	84.5	518.4	406.2	150.8	1600.0
42.375	42.705	211.3	375.8	115.3	0.0	1600.0
42.711	42.821	316.2	227.1	0.0	111.1	1600.0
43.035	43.265	401.3	56.4	0.0	253.4	1600.0
43.27	43.54	296.7	120.8	0.0	203.1	1600.0
43.62	43.94	273.6	116.7	0.0	215.6	1600.0
44.105	44.615	224.2	173.3	16.0	212.0	1600.0
44.63	45.18	267.2	115.4	0.0	219.6	1600.0
45.381	45.651	197.6	228.1	0.0	115.9	1600.0
45.669	45.999	296.4	112.1	0.0	243.5	1600.0
46.1	46.56	259.6	160.5	0.0	219.8	1600.0
46.7	46.81	229.0	209.3	0.0	172.4	1600.0
46.823	47.103	178.8	241.4	0.0	130.5	1600.0
47.118	47.498	286.3	134.2	0.0	229.3	1600.0
47.508	47.858	260.4	161.0	0.0	193.6	1600.0
47.88	48.12	180.1	231.0	0.0	132.8	1600.0
48.248	48.518	281.1	132.0	0.0	222.5	1600.0
48.69	49.02	224.8	187.9	0.0	171.8	1600.0
49.039	49.499	253.9	191.4	0.0	162.1	1600.0
49.749	50.549	239.4	205.4	0.0	154.5	1600.0
50.608	50.828	187.4	263.8	0.0	99.5	1600.0
50.868	51.328	315.6	249.1	0.0	172.6	1600.0
51.348	51.448	313.7	229.9	0.0	182.9	1600.0
51.648	52.458	217.2	222.0	0.0	146.4	1600.0
52.469	52.589	234.5	139.0	0.0	233.1	1600.0
52.969	53.868	193.1	181.0	0.0	211.4	1600.0
53.907	54.147	151.0	235.0	0.0	156.4	1600.0
54.305	54.545	196.1	191.0	0.0	190.4	1600.0
54.559	55.269	145.8	228.0	0.0	178.3	1600.0
55.278	56.048	214.6	181.0	0.0	197.2	1600.0
56.223	57.262	212.2	187.0	0.0	188.9	1600.0
57.385	57.475	165.5	229.7	0.0	152.3	1600.0
57.492	57.812	226.2	175.0	0.0	193.7	1600.0
57.853	57.983	223.4	183.0	0.0	181.7	1600.0
58.027	58.147	193.1	218.4	0.0	1600.0	1600.0
58.304	58.544	275.8	162.0	0.0	1600.0	1600.0
58.626	59.086	223.4	221.8	0.0	1600.0	1600.0
59.266	59.686	230.6	209.3	0.0	1600.0	1600.0
59.702	60.082	178.8	232.0	0.0	1600.0	1600.0
60.404	60.504	276.1	197.3	0.0	1600.0	1600.0
60.545	60.675	260.7	233.8	0.0	1600.0	1600.0
60.694	60.804	176.8	268.0	0.0	1600.0	1600.0
60.821	61.081	139.3	264.4	0.0	1600.0	1600.0
61.16	61.36	194.1	227.0	0.0	117.6	1600.0
61.402	61.652	256.8	267.0	0.0	114.4	1600.0
61.764	61.904	418.0	257.5	0.0	265.6	1600.0
62.142	62.262	374.6	310.6	0.0	193.0	1600.0
62.313	63.003	318.1	189.8	0.0	181.0	1600.0
63.27	63.64	381.7	145.7	0.0	250.2	1600.0
63.84	64.24	360.2	187.6	0.0	219.5	1600.0
64.263	64.603	335.7	213.7	0.0	190.7	1600.0
64.7	64.78	318.9	247.1	0.0	168.2	1600.0
64.792	65.102	272.4	258.1	0.0	117.7	1600.0
65.218	65.588	375.6	178.0	0.0	241.3	1600.0
