start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action
									
0.32	0.42	644.4	134.2	38.2	358.3	0	284.4	1600	Cap Off
									
0.42	0.52	641.4	130.2	42	353.9	0	289.3	1600	Cap Off
									
0.52	0.62	641	132	41	357.1	0	289.4	1600	Cap Off
									
0.62	0.72	640.4	131.1	41.2	356.1	0	288.1	1600	Cap Off
									
0.72	0.82	639.7	130	42	355.6	0	289.3	1600	Cap Off
									
0.82	0.92	640.4	133	43	355.2	0	290.9	1600	Cap Off
									
0.92	1.02	647.9	137	40.2	357.3	0	286.1	1600	Cap Off
									
1.129	1.219	549.2	30	150	266	0	406.1	1600	Cap Off
									
1.569	1.669	565.5	28	154.9	308.6	0	445.6	1600	Cap Off
									
1.699	1.799	580.5	36.5	152.3	314	0	424	1600	Cap Off
									
1.799	1.899	598.6	31.3	163.5	280.1	0	440	1600	Cap Off
									
1.899	1.999	604.4	26	175.6	275.1	0	456.7	1600	Cap Off
									
1.999	2.099	628.9	27	182.2	287.5	0	468.2	1600	Cap Off
									
2.149	2.249	639.8	31	186.4	294.9	0	475.5	1600	Cap Off
									
2.249	2.349	647.5	39.8	180.2	300.3	0	458.3	1600	Cap Off
									
2.399	2.499	615.3	24	190.8	279.5	0	462.8	1600	Cap Off
									
2.569	2.649	618	43.3	180.4	283.4	12.6	427.1	1600	Cap Off
									
2.788	2.888	633.3	128	261.2	315.8	0	406	1600	Cap Off
									
2.968	3.068	716.1	198	243.5	374	0	1600	650.9	Cap Off
									
3.098	3.188	734	189.2	239.4	398.3	0	1600	1600	Cap Off
									
3.228	3.328	727.4	127.6	1600	430.5	4.2	1600	1600	Cap Off
									
3.328	3.428	685.2	58.1	1600	358.9	0	337.9	662	Cap Off
									
3.428	3.528	672.8	29.7	1600	337.6	0	349	1600	Cap Off
									
3.528	3.628	693.2	51.3	253.3	350.3	9.2	335	1600	Cap Off
									
3.648	3.748	684.9	49.2	1600	335.5	6.4	357.6	1600	Cap Off
									
3.818	3.888	720.6	70.3	250.4	372.8	3.2	354	1600	Cap Off
									
3.898	3.998	763	78	173.5	398.3	5	297.7	637	Cap Off
									
3.998	4.048	774.3	84.2	171.8	403.5	11	294	630	Cap Off
									
4.068	4.168	761.5	60.2	1600	380.8	0	314.2	651	Cap Off
									
4.188	4.288	681.7	91	89	300.2	0	395.4	1600	Cap Off
									
4.288	4.348	658.6	1600	77.2	287	0	420.6	1600	Cap Off
									
4.367	4.467	645.2	73	83.2	293.2	0	430	776	Cap Off
									
4.467	4.517	636.9	68.3	84.1	287.5	0	439	787	Cap Off
									
4.527	4.627	585	82.1	40.7	244.3	0	492.1	1600	Cap Off
									
4.627	4.727	589.8	82.9	42	246.1	0	496	1600	Cap Off
									
5.067	5.157	1600	422.4	591.9	818.2	266.3	8	289.1	Apply Tip
									
5.197	5.297	1600	427.4	604.4	827	278	15.8	1600	Apply Tip
									
5.297	5.397	1600	417.6	593.8	812	267	15	286.3	Apply Tip
									
5.397	5.447	1600	401.2	575.9	802.1	249	1600	1600	Apply Tip
									
5.467	5.567	1600	431.9	604.6	822.2	277	12.5	277	Apply Tip
									
5.647	5.717	1600	185	372.8	581	39	120.9	1600	Apply Tip
									
5.737	5.837	1600	185.3	370.4	583	33.9	71.2	1600	Apply Tip
									
5.837	5.877	1600	183.8	364	578.1	25.1	46	1600	Apply Tip
									
5.897	5.997	1600	216.8	392.3	612.5	42.4	4	1600	Apply Tip
									
5.997	6.047	1600	229.1	401.5	621.9	45.5	0	523	Apply Tip
									
6.066	6.166	1600	239.8	420.2	640.4	62.4	1	514	Apply Tip
									
6.186	6.286	1600	229.6	415.3	634.5	55.5	5	530	Apply Tip
									
6.286	6.386	1600	230.2	413.9	632.5	56.6	4	534	Apply Tip
									
6.386	6.486	1600	227.1	409.7	629.6	48.4	1	539	Apply Tip
									
6.486	6.586	1600	228.1	407.2	630.7	41.6	0	541	Apply Tip
									
6.586	6.686	1600	226.2	403.8	624.6	42.5	1	543	Apply Tip
									
6.686	6.786	1600	223.6	402.3	622.8	42.7	3	1600	Apply Tip
									
6.786	6.886	1600	224.7	403	622.2	38.9	1.4	1600	Apply Tip
									
6.886	6.986	1600	224.8	399.7	621.6	32.2	0	551	Apply Tip
									
6.986	7.086	1600	225.9	403.3	623.3	35.4	0	553.1	Apply Tip
									
7.086	7.186	1600	232.1	407.4	630	42	0	556.4	Apply Tip
									
7.186	7.286	1600	236.2	407	630.5	30.6	0	558.5	Apply Tip
									
7.316	7.416	1600	237.9	404.9	633.8	24	0	559.2	Apply Tip
									
7.416	7.516	1600	236.3	401.6	634.3	24.4	0	1600	Apply Tip
									
7.516	7.616	1600	231.1	398.1	623.5	27	0	1600	Apply Tip
									
7.616	7.716	1600	231.7	393.9	621.7	23.7	0	1600	Apply Tip
									
7.716	7.816	1600	231.7	386.2	624.3	15.3	0	573.2	Apply Tip
									
7.816	7.916	1600	232	379.5	617.2	8.6	0	1600	Apply Tip
									
7.916	8.016	1600	235.3	377.7	619.1	13	0	571.3	Apply Tip
									
