,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,51.50000000000004,836.2470238095237,279.5833333333333
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,41.785714285714285,96.07649970449174,70.83333333333341
Mean Hits,0.0,0.0,0.0,0.0,2.0,46.75,6.0
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,2.7491407168230606,87.42876935214201,9.822089931034931
Mean Revisits,0.0,0.0,0.0,0.0,1.5,6.25,1.5
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,177.50000000000023,4893.25,607.5
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,172.5,4491.75,555.0000000000009
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,16.26345596729066,249.90753055328096,117.26187454676912
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,2.5253813613805254,0.8988760626387262,34.176827757349805
Standard Deviation Hits,0.0,0.0,0.0,0.0,2.1213203435596424,1.0606601717798212,0.0
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,2.814057688446017,1.476345745633182,1.337711942812834
Standard Deviation Revisits,0.0,0.0,0.0,0.0,1.4142135623730951,1.7677669529663689,0.0
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,194.4543648263009,49.85102807365417,24.748737341529164
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,187.3832970144351,144.60333675265156,7.0710678118654755
