,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,464.7499999999999,0.0,0.0,1863.0625,0.0,0.0
Mean Average Fixation Time [ms],0.0,72.49999999999989,0.0,0.0,92.91907051282048,0.0,0.0
Mean Hits,0.0,4.5,0.0,0.0,24.75,0.0,0.0
Mean Relative Dwelltime [%],0.0,22.51273403772777,0.0,0.0,77.48726596227223,0.0,0.0
Mean Revisits,0.0,1.0,0.0,0.0,2.25,0.0,0.0
Mean Total Dwelltime [ms],0.0,562.2499999999999,0.0,0.0,2982.75,0.0,0.0
Mean Total Fixation Time [ms],0.0,419.9999999999999,0.0,0.0,2312.499999999999,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,381.48410845014223,0.0,0.0,988.2701150558485,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,31.819805153394476,0.0,0.0,1.0277978373977903,0.0,0.0
Standard Deviation Hits,0.0,2.8284271247461903,0.0,0.0,8.131727983645296,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,16.714608720665222,0.0,0.0,16.714608720665225,0.0,0.0
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,243.59828611876546,0.0,0.0,925.2492231825975,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,240.416305603426,0.0,0.0,717.7133829043447,0.0,0.0
