,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,490.1708333333338,0.0,0.0,497.6339285714294,0.0,0.0
Mean Average Fixation Time [ms],0.0,91.96969696969731,0.0,0.0,92.96639471639466,0.0,0.0
Mean Hits,0.0,21.25,0.0,0.0,15.5,0.0,0.0
Mean Relative Dwelltime [%],0.0,57.80616892157826,0.0,0.0,42.19383107842173,0.0,0.0
Mean Revisits,0.0,5.0,0.0,0.0,3.75,0.0,0.0
Mean Total Dwelltime [ms],0.0,2386.500000000002,0.0,0.0,1791.5000000000073,0.0,0.0
Mean Total Fixation Time [ms],0.0,1960.0000000000055,0.0,0.0,1417.5000000000036,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,50.269399585852035,0.0,0.0,18.725702794634138,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,0.07652670791920879,0.0,0.0,0.3738820237739103,0.0,0.0
Standard Deviation Hits,0.0,4.596194077712559,0.0,0.0,0.0,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,9.55093191880607,0.0,0.0,9.550931918806059,0.0,0.0
Standard Deviation Revisits,0.0,0.7071067811865476,0.0,0.0,1.0606601717798212,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,618.0113267570348,0.0,0.0,124.4507934888478,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,417.19300090003475,0.0,0.0,31.819805153410073,0.0,0.0
