,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7800.375000000003,0.0,311.50000000000057,526.7125000000012,258.53928571428344,0.0,385.14166666666586
Mean Average Fixation Time [ms],97.79783310044368,0.0,87.1875000000006,92.77577764976994,89.16911764705844,0.0,95.10416666666623
Mean Hits,84.75,0.0,7.75,20.0,12.0,0.0,15.5
Mean Relative Dwelltime [%],74.1056301905283,0.0,4.7514469586066,49.57781739783294,40.984256979522364,0.0,30.58084847350981
Mean Revisits,1.25,0.0,2.0,4.5,4.75,0.0,4.25
Mean Total Dwelltime [ms],8951.000000000002,0.0,769.5000000000018,2363.7500000000055,1257.2499999999918,0.0,1591.4999999999982
Mean Total Fixation Time [ms],8286.749999999985,0.0,705.0000000000018,1857.5000000000073,1062.4999999999964,0.0,1489.9999999999964
Standard Deviation Average Dwelltime [ms],1316.8096032646495,0.0,207.18228688765925,18.261032624143386,18.894903345846362,0.0,139.28825078073052
Standard Deviation Average Fixation Time [ms],1.232765347469643,0.0,7.80763737560232,2.3471790475731167,6.2495761101914855,0.0,5.980944857536498
Standard Deviation Hits,4.596194077712559,0.0,8.131727983645296,2.1213203435596424,1.4142135623730951,0.0,3.5355339059327378
Standard Deviation Relative Dwelltime [%],9.42134658095999,0.0,4.5761776732913155,24.058243021680145,31.48700183899184,0.0,2.5835899096430133
Standard Deviation Revisits,0.3535533905932738,0.0,1.4142135623730951,0.7071067811865476,1.0606601717798212,0.0,0.3535533905932738
Standard Deviation Total Dwelltime [ms],310.4198769408918,0.0,854.8920984545385,290.26733367707516,124.09724009825067,0.0,405.8792924010809
Standard Deviation Total Fixation Time [ms],343.3003422660585,0.0,763.675323681474,236.88077169748829,67.17514421273745,0.0,424.26406871192853
