,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],8348.0,0.0,0.0,0.0,17.499999999999545,0.0,674.3749999999998
Mean Average Fixation Time [ms],97.69686478758169,0.0,0.0,0.0,17.499999999999545,0.0,95.447957839262
Mean Hits,75.25,0.0,0.0,0.0,0.5,0.0,17.25
Mean Relative Dwelltime [%],89.51622719597425,0.0,0.0,0.0,0.9806668534603287,0.0,34.50310595056543
Mean Revisits,1.0,0.0,0.0,0.0,0.5,0.0,2.75
Mean Total Dwelltime [ms],8348.0,0.0,0.0,0.0,34.99999999999909,0.0,1759.4999999999995
Mean Total Fixation Time [ms],7349.75,0.0,0.0,0.0,34.99999999999909,0.0,1640.0000000000005
Standard Deviation Average Dwelltime [ms],1282.6917010723992,0.0,0.0,0.0,24.74873734152852,0.0,31.289475067505048
Standard Deviation Average Fixation Time [ms],0.1384606354419266,0.0,0.0,0.0,24.74873734152852,0.0,2.1334315268998654
Standard Deviation Hits,6.7175144212722016,0.0,0.0,0.0,0.7071067811865476,0.0,6.7175144212722016
Standard Deviation Relative Dwelltime [%],8.830814786660875,0.0,0.0,0.0,1.3868723643333454,0.0,25.137651908333154
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0606601717798212
Standard Deviation Total Dwelltime [ms],1282.6917010723992,0.0,0.0,0.0,49.49747468305704,0.0,643.4671708797589
Standard Deviation Total Fixation Time [ms],633.2141225525497,0.0,0.0,0.0,49.49747468305704,0.0,650.5382386916231
