,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,194.16666666666546,422.8522727272731,417.94999999999783
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,96.66666666666576,97.05222961320544,94.69034090909027
Mean Hits,0.0,0.0,0.0,0.0,3.25,37.0,9.75
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,6.075874853565984,73.9177394183915,20.006385728042517
Mean Revisits,0.0,0.0,0.0,0.0,1.75,9.5,3.0
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,329.9999999999982,3913.7500000000036,1126.4999999999927
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,309.9999999999982,3599.5000000000055,909.9999999999982
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,27.10575994549291,97.4361003257731,228.46620100137145
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,4.714045207905607,1.2220195351882346,3.009221472206988
Standard Deviation Hits,0.0,0.0,0.0,0.0,1.0606601717798212,2.1213203435596424,4.596194077712559
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,2.3107626011634643,7.973753341624472,10.284515942787944
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.3535533905932738,2.1213203435596424,0.0
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,113.13708498986047,28.63782463805003,597.5052301026275
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,84.85281374239857,240.41630560343387,417.1930009000656
