,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,1034.4035714285715,0.0,167.7083333333337,0.0,0.0
Mean Average Fixation Time [ms],0.0,0.0,95.1861524243998,0.0,87.49107142857159,0.0,0.0
Mean Hits,0.0,0.0,54.0,0.0,6.0,0.0,0.0
Mean Relative Dwelltime [%],0.0,0.0,275.79728621466165,0.0,49.20271378533835,0.0,0.0
Mean Revisits,0.0,0.0,6.0,0.0,3.25,0.0,0.0
Mean Total Dwelltime [ms],0.0,0.0,5675.5,0.0,535.0000000000009,0.0,0.0
Mean Total Fixation Time [ms],0.0,0.0,5146.750000000002,0.0,515.0000000000009,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,0.0,90.26723138118562,0.0,9.13346259032613,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,0.0,2.3437850048229216,0.0,7.437248109265548,0.0,0.0
Standard Deviation Hits,0.0,0.0,2.8284271247461903,0.0,2.1213203435596424,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,0.0,5.392861253518149,0.0,40.74820031284554,0.0,0.0
Standard Deviation Revisits,0.0,0.0,0.7071067811865476,0.0,1.0606601717798212,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,0.0,181.01933598375584,0.0,155.56349186104174,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,0.0,400.57599154218013,0.0,141.4213562373108,0.0,0.0
