,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7944.458333333334,518.4375000000005,920.0698412698414,526.7125000000012,448.98477272727234,576.9034043441941,420.1583333333323
Mean Average Fixation Time [ms],97.81902952486689,92.60586124401944,94.77738314317267,92.77577764976994,91.31135629756945,96.53433213570963,94.146970074389
Mean Hits,160.0,25.75,61.75,20.0,64.0,83.75,48.5
Mean Relative Dwelltime [%],34.80794930335965,6.09462958785546,12.814639913622912,4.657452786036532,14.14628166412396,17.65216915047273,9.82687759452876
Mean Revisits,2.25,6.0,7.75,4.5,17.0,15.75,11.5
Mean Time to First Fixation [ms],19203.75,17082.75,13237.25,32703.75,789.75,4842.25,12217.75
Mean Total Dwelltime [ms],17299.0,2948.750000000002,6465.000000000002,2363.7500000000055,7206.499999999998,8807.000000000004,5084.999999999991
Mean Total Fixation Time [ms],15636.499999999985,2380.0000000000055,5851.750000000004,1857.5000000000073,5824.999999999997,8091.2500000000055,4594.999999999996
Standard Deviation Average Dwelltime [ms],200.5236980314852,64.38459780839506,74.58741910630243,18.261032624143386,97.0288711022453,141.77682950846943,144.37941960527343
Standard Deviation Average Fixation Time [ms],0.7881438149195231,1.0175232748426875,2.218576804409584,2.3471790475731167,1.7426175507920187,1.00421004138727,2.2314107181649963
Standard Deviation Hits,11.313708498984761,7.424621202458749,5.303300858899107,2.1213203435596424,9.192388155425117,3.181980515339464,14.849242404917497
Standard Deviation Relative Dwelltime [%],0.24417665237298497,2.3946333777777538,0.11455230679510171,0.1434362368890866,1.3302844747599776,1.5419305832939807,2.592467595000543
Standard Deviation Revisits,0.3535533905932738,0.7071067811865476,1.0606601717798212,0.7071067811865476,1.4142135623730951,3.8890872965260113,0.7071067811865476
Standard Deviation Time to First Fixation [ms],1992.9804627742842,21875.408936177628,614.8293462417031,1812.6682335717185,289.5602268958912,303.70236251962217,636.0425496772995
Standard Deviation Total Dwelltime [ms],1593.1115780132898,861.6096128758005,645.5884912233214,290.26733367707516,1209.1525958290117,21.213203435604143,1671.6004307249966
Standard Deviation Total Fixation Time [ms],976.5144648186092,657.609306503461,363.0993321392944,236.88077169748829,735.3910524340262,385.0196423560854,1484.924240491752
