,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,195.0,0.0,0.0,2561.875,0.0,0.0
Mean Average Fixation Time [ms],0.0,50.0,0.0,0.0,92.19230769230764,0.0,0.0
Mean Hits,0.0,2.5,0.0,0.0,30.5,0.0,0.0
Mean Relative Dwelltime [%],0.0,10.693720866465588,0.0,0.0,89.30627913353442,0.0,0.0
Mean Revisits,0.0,1.0,0.0,0.0,2.5,0.0,0.0
Mean Total Dwelltime [ms],0.0,390.0,0.0,0.0,3637.0,0.0,0.0
Mean Total Fixation Time [ms],0.0,250.0,0.0,0.0,2819.999999999998,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,275.77164466275354,0.0,0.0,2609.400799273657,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,70.71067811865476,0.0,0.0,2.556462978135958,0.0,0.0
Standard Deviation Hits,0.0,3.5355339059327378,0.0,0.0,6.363961030678928,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,15.1232050815878,0.0,0.0,15.123205081587797,0.0,0.0
Standard Deviation Revisits,0.0,1.4142135623730951,0.0,0.0,2.1213203435596424,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,551.5432893255071,0.0,0.0,1088.9444430272831,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,353.5533905932738,0.0,0.0,664.6803743153534,0.0,0.0
