,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,454.62500000000165,0.0,0.0,484.3928571428597,0.0,0.0
Mean Average Fixation Time [ms],0.0,91.91558441558576,0.0,0.0,92.70202020202038,0.0,0.0
Mean Hits,0.0,18.0,0.0,0.0,15.5,0.0,0.0
Mean Relative Dwelltime [%],0.0,51.052640195139446,0.0,0.0,48.94735980486054,0.0,0.0
Mean Revisits,0.0,4.5,0.0,0.0,4.5,0.0,0.0
Mean Total Dwelltime [ms],0.0,1949.5000000000073,0.0,0.0,1879.5000000000182,0.0,0.0
Mean Total Fixation Time [ms],0.0,1665.0000000000255,0.0,0.0,1440.0000000000146,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,272.4128874521177,0.0,0.0,169.85715036645055,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,3.719198004942664,0.0,0.0,0.6785368102320518,0.0,0.0
Standard Deviation Hits,0.0,5.656854249492381,0.0,0.0,9.192388155425117,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,24.204005415170183,0.0,0.0,24.204005415170183,0.0,0.0
Standard Deviation Revisits,0.0,0.7071067811865476,0.0,0.0,3.5355339059327378,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,904.3895731375943,0.0,0.0,948.230193571186,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,586.8986283848499,0.0,0.0,862.6702730476292,0.0,0.0
