,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,1098.232142857143,0.0,161.25000000000045,0.0,0.0
Mean Average Fixation Time [ms],0.0,0.0,93.52884615384616,0.0,82.23214285714309,0.0,0.0
Mean Hits,0.0,0.0,52.0,0.0,7.5,0.0,0.0
Mean Relative Dwelltime [%],0.0,0.0,271.9839574523008,0.0,78.01604254769923,0.0,0.0
Mean Revisits,0.0,0.0,5.5,0.0,4.0,0.0,0.0
Mean Total Dwelltime [ms],0.0,0.0,5547.5,0.0,645.0000000000018,0.0,0.0
Mean Total Fixation Time [ms],0.0,0.0,4863.500000000001,0.0,615.0000000000018,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,0.0,464.59440905317564,0.0,15.909902576697963,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.9382763058052439,0.0,4.924493654691696,0.0,0.0
Standard Deviation Hits,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,0.0,8.627738003855601,0.0,62.08294011479914,0.0,0.0
Standard Deviation Revisits,0.0,0.0,2.1213203435596424,0.0,0.0,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,0.0,225.56706319850866,0.0,63.63961030679185,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,0.0,48.79036790187307,0.0,21.213203435599,0.0,0.0
