,K-coefficient,start_time
1,0.3617906643480322,1084
3,-1.5179402016188916,1214
6,0.49966392640741764,1604
9,0.24658819262279597,11388
11,-2.099033955640877,12818
13,-0.7059061926150749,14966
18,0.5492615743039524,17565
20,0.649793794208051,18994
22,-0.9017964040739346,19194
29,-0.3544516828640752,24641
31,-0.04210880961634006,25870
33,-0.020652295945645716,26030
36,1.886020334830684,29168
38,0.6675356510880108,29548
40,0.820512835205482,29758
42,-0.152744191323966,30557
47,-0.7107843054220593,36944
50,-0.23359049190534803,41111
52,0.4466118238623175,41291
54,0.4022392249623258,42401
56,-0.5181391671168014,42591
59,-0.5327735055377545,43170
62,-1.1245267390477895,44470
64,0.8118841522075788,44669
66,0.47027260211793753,45749
69,-0.836400961740197,51835
73,-2.089451198121688,53235
