,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,63.00000000000009,1012.958333333333,196.66666666666666
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,43.57142857142857,95.44089834515363,46.66666666666674
Mean Hits,0.0,0.0,0.0,0.0,3.5,46.0,6.0
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,4.73897999097338,86.38483526402888,8.876184744997746
Mean Revisits,0.0,0.0,0.0,0.0,2.5,5.0,1.5
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,315.00000000000045,4857.999999999998,590.0
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,305.0,4389.499999999998,560.0000000000009
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,89.09545442950512,292.4475795857366,278.1286672667087
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,61.619305217684854,1.1049588235562242,65.99663291074454
Standard Deviation Hits,0.0,0.0,0.0,0.0,4.949747468305833,1.4142135623730951,8.48528137423857
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,6.701929775049282,19.254750623554273,12.552820848504984
Standard Deviation Revisits,0.0,0.0,0.0,0.0,3.5355339059327378,1.4142135623730951,2.1213203435596424
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,445.4772721475256,29.698484809836604,834.3860018001261
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,431.335136523794,84.14570696120172,791.9595949289345
