,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],8731.500000000004,0.0,165.0,539.6250000000018,271.89999999999577,0.0,286.6499999999989
Mean Average Fixation Time [ms],98.66952983725126,0.0,81.66666666666666,91.116071428572,93.58823529411629,0.0,90.87499999999936
Mean Hits,81.5,0.0,2.0,18.5,11.0,0.0,13.0
Mean Relative Dwelltime [%],80.7675282458338,0.0,1.5156006939078335,66.5895641818969,18.719584459937938,0.0,32.407722418423525
Mean Revisits,1.0,0.0,1.0,4.0,4.0,0.0,4.5
Mean Total Dwelltime [ms],8731.500000000004,0.0,165.0,2158.5000000000073,1169.4999999999836,0.0,1304.4999999999964
Mean Total Fixation Time [ms],8043.999999999993,0.0,165.0,1690.000000000011,1014.9999999999854,0.0,1189.9999999999964
Standard Deviation Average Dwelltime [ms],215.66756826189186,0.0,120.20815280171308,151.85118125981364,115.82409075835737,0.0,41.2243253431793
Standard Deviation Average Fixation Time [ms],1.3764926762158947,0.0,2.3570226039551603,2.4622468273461773,3.4107503563114596,0.0,4.0658639918248385
Standard Deviation Hits,3.5355339059327378,0.0,1.4142135623730951,3.5355339059327378,8.48528137423857,0.0,4.242640687119285
Standard Deviation Relative Dwelltime [%],3.4938841083796146,0.0,1.0833522779614457,22.199492922428018,19.116533662737258,0.0,0.6724274292726008
Standard Deviation Revisits,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,0.7071067811865476
Standard Deviation Total Dwelltime [ms],215.66756826189186,0.0,120.20815280171308,607.4047250392546,847.8210306426679,0.0,388.20162287143006
Standard Deviation Total Fixation Time [ms],461.0336213336393,0.0,120.20815280171308,367.69552621700984,756.6042558695956,0.0,438.4062043356852
