,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7440.999999999998,0.0,0.0,0.0,0.0,0.0,652.2499999999995
Mean Average Fixation Time [ms],97.79477124183008,0.0,0.0,0.0,0.0,0.0,96.95652173913007
Mean Hits,70.5,0.0,0.0,0.0,0.0,0.0,12.5
Mean Relative Dwelltime [%],83.27189817692391,0.0,0.0,0.0,0.0,0.0,16.728101823076095
Mean Revisits,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Mean Total Dwelltime [ms],7440.999999999998,0.0,0.0,0.0,0.0,0.0,1304.499999999999
Mean Total Fixation Time [ms],6902.000000000003,0.0,0.0,0.0,0.0,0.0,1180.000000000001
Standard Deviation Average Dwelltime [ms],3087.2282066604694,0.0,0.0,0.0,0.0,0.0,780.9994398205424
Standard Deviation Average Fixation Time [ms],0.541653037614917,0.0,0.0,0.0,0.0,0.0,4.304128233308668
Standard Deviation Hits,27.577164466275352,0.0,0.0,0.0,0.0,0.0,14.849242404917497
Standard Deviation Relative Dwelltime [%],20.778009199020143,0.0,0.0,0.0,0.0,0.0,20.77800919902014
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standard Deviation Total Dwelltime [ms],3087.2282066604694,0.0,0.0,0.0,0.0,0.0,1561.9988796410848
Standard Deviation Total Fixation Time [ms],2735.0890296295747,0.0,0.0,0.0,0.0,0.0,1385.929291125637
