,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,213.3333333333382,491.75,256.3999999999993
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,93.33333333333576,96.18813131313141,96.81818181818
Mean Hits,0.0,0.0,0.0,0.0,4.0,35.5,6.5
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,7.709830758560935,79.55603447776306,12.734134763676002
Mean Revisits,0.0,0.0,0.0,0.0,2.0,8.0,3.0
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,410.0000000000073,3934.0,703.9999999999964
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,370.0000000000073,3429.5,614.9999999999964
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,23.570226039555017,98.11106588963219,46.10336213336395
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,2.357022603956873,2.4659456182282304,4.499770425729995
Standard Deviation Hits,0.0,0.0,0.0,0.0,2.8284271247461903,12.020815280171307,6.363961030678928
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,2.55883415550792,10.082558172430304,7.523724016922385
Standard Deviation Revisits,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,2.8284271247461903
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,254.55844122715712,784.8885271170575,586.8986283848293
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,254.55844122715712,1243.8008281071166,586.8986283848396
