,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],8086.250000000001,563.9642857142851,972.8111111111109,539.6250000000018,380.37499999999926,677.1547619047618,318.06666666666547
Mean Average Fixation Time [ms],98.37633136094672,91.88636363636303,96.34615384615387,91.116071428572,92.54357298474918,95.82424840570907,92.5691244239622
Mean Hits,152.0,31.0,58.0,18.5,57.5,81.5,38.0
Mean Relative Dwelltime [%],34.98060827006002,7.787891087737757,12.733639200687534,4.556028050264379,13.205628491113995,18.742478722038832,7.9937261780974955
Mean Revisits,2.0,6.5,7.0,4.0,16.0,13.0,11.0
Mean Time to First Fixation [ms],17794.5,1614.5000000000002,12802.5,31421.999999999996,994.5,4627.5,12667.5
Mean Total Dwelltime [ms],16172.500000000002,3557.9999999999964,6008.499999999999,2158.5000000000073,6351.499999999987,8791.999999999998,3902.999999999992
Mean Total Fixation Time [ms],14945.999999999995,2844.9999999999854,5595.000000000002,1690.000000000011,5304.999999999985,7818.999999999998,3544.9999999999945
Standard Deviation Average Dwelltime [ms],1651.4478874611805,304.81353031863034,566.5182396026353,151.85118125981364,93.86842520251402,15.573185061847463,142.92985070384248
Standard Deviation Average Fixation Time [ms],0.5991579353012583,0.5464006945526589,1.631784879661308,2.4622468273461773,0.978241407523805,1.7581040907877183,1.6129855146899956
Standard Deviation Hits,24.041630560342615,12.727922061357855,8.48528137423857,3.5355339059327378,33.23401871576773,10.606601717798213,33.94112549695428
Standard Deviation Relative Dwelltime [%],10.550276848199836,4.1534876560744385,1.306945935605052,0.8361539631342245,6.456182220693929,0.2743282255297372,6.378810610370822
Standard Deviation Revisits,0.0,0.7071067811865476,2.8284271247461903,0.0,5.656854249492381,1.4142135623730951,5.656854249492381
Standard Deviation Time to First Fixation [ms],3031.366770946729,1123.5926753054243,2163.039643649649,2798.7286399363497,953.8870478206526,1752.9177105614522,572.0493859799176
Standard Deviation Total Dwelltime [ms],3302.895774922361,1582.5049762954989,1214.1023432973009,607.4047250392546,3653.6207383908836,755.1900423072199,3371.4851326974704
Standard Deviation Total Fixation Time [ms],2274.0554082959343,1152.5840533340834,912.1677477306489,367.69552621700984,3019.3459556665525,1159.6551211459148,3203.1937187750964
