,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
Mean participant13,161.63495221871142,357.3333333333333,57636.0,100229.0,34.981383137653744,336.3333333333333,11751.666666666666,83/17
Mean participant01,167.7444146993927,318.3333333333333,53356.666666666664,83119.66666666667,28.85490977125958,262.6666666666667,7573.333333333333,88/12
Mean participant12,145.35738455958167,393.6666666666667,57466.333333333336,103364.33333333333,30.16146490964736,381.3333333333333,11436.666666666666,84/16
Mean participant07,267.13584474885846,293.3333333333333,67224.66666666667,92135.0,35.27138910472244,255.66666666666666,8956.666666666666,88/12
Mean participant08,172.8074631799102,337.3333333333333,58525.333333333336,92248.0,30.038348928958175,295.0,8873.333333333334,87/13
Mean participant09,300.1516561288522,166.0,50179.0,66655.66666666667,32.709417545849114,243.66666666666666,7951.666666666667,86/14
Mean participant15,158.77396537640803,333.6666666666667,52925.0,87041.33333333333,33.42342722140693,303.3333333333333,10068.333333333334,84/16
Mean participant05,281.10007092690756,233.33333333333334,65520.333333333336,87561.66666666667,31.43907899860281,368.3333333333333,11626.666666666666,85/15
Mean participant03,170.80166954035073,348.0,59904.5,112523.5,33.04143978597776,503.0,16590.0,79/21
Mean participant06,161.313492493058,382.0,61129.0,98391.66666666667,35.00906125624682,330.6666666666667,11506.666666666666,84/16
Mean participant10,162.73049759360967,338.3333333333333,54860.666666666664,86597.66666666667,29.83732152887067,268.3333333333333,8003.333333333333,87/13
Mean participant11,254.45701736313654,370.6666666666667,91445.0,134479.66666666666,30.24240874700082,490.0,14696.666666666666,87/13
Mean participant14,151.1580063276557,336.0,49852.0,90861.66666666667,29.64046346365011,338.0,10031.666666666666,83/17
Mean participant04,277.1037465377656,234.66666666666666,63573.333333333336,87420.0,31.560930925098727,318.6666666666667,10043.333333333334,87/13
Mean group_easy,202.305012978157,317.33333333333337,60256.9880952381,94473.4880952381,31.872217523210367,335.35714285714283,10650.714285714286,85/15
Standard Deviation group_easy,58.18527983864434,64.58043417810444,10446.952389704538,15676.58692391876,2.2012498273291916,79.76712519136102,2572.6929515974157,3
