,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,102.50000000000018,691.2782738095239,245.958333333333
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,73.75000000000018,94.91009691228402,94.13461538461536
Mean Hits,0.0,0.0,0.0,0.0,1.75,44.75,7.25
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,3.0332000572606725,83.46678208873732,13.500017854002017
Mean Revisits,0.0,0.0,0.0,0.0,1.5,7.25,3.25
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,177.50000000000045,4913.000000000001,824.7499999999991
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,172.50000000000045,4254.25,675.0000000000005
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,74.24621202458755,101.90124241617222,77.3692669748284
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,33.58757210636106,1.0991360392999054,1.2238386597455024
Standard Deviation Hits,0.0,0.0,0.0,0.0,0.3535533905932738,8.131727983645296,3.181980515339464
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,1.0890489897514395,3.457722207691829,4.546771197443264
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.0,0.3535533905932738,0.3535533905932738
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,38.890872965260115,389.61583643378896,367.3419728264127
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,31.81980515339464,820.597419566988,289.9137802864877
