,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,772.1666666666669,68.75000000000011,0.0,928.083333333333,0.0,10.0
Mean Average Fixation Time [ms],0.0,96.90026398284112,25.000000000000046,0.0,92.64285714285712,0.0,10.0
Mean Hits,0.0,15.25,1.25,0.0,21.0,0.0,0.25
Mean Relative Dwelltime [%],0.0,42.262217815407126,3.0562347188264107,0.0,54.45927584985182,0.0,0.22227161591464767
Mean Revisits,0.0,2.0,0.5,0.0,3.0,0.0,0.25
Mean Total Dwelltime [ms],0.0,1779.2500000000007,137.50000000000023,0.0,2311.75,0.0,10.0
Mean Total Fixation Time [ms],0.0,1452.5000000000005,125.00000000000023,0.0,1949.9999999999995,0.0,10.0
Standard Deviation Average Dwelltime [ms],0.0,522.7876135572541,97.22718241315044,0.0,32.40906080438326,0.0,14.142135623730951
Standard Deviation Average Fixation Time [ms],0.0,3.098040022175976,35.35533905932744,0.0,0.538748023761157,0.0,14.142135623730951
Standard Deviation Hits,0.0,12.374368670764582,1.7677669529663689,0.0,11.313708498984761,0.0,0.3535533905932738
Standard Deviation Relative Dwelltime [%],0.0,35.65383751716629,4.3221685891598325,0.0,31.017329394249384,0.0,0.31433953375707824
Standard Deviation Revisits,0.0,0.7071067811865476,0.7071067811865476,0.0,1.4142135623730951,0.0,0.3535533905932738
Standard Deviation Total Dwelltime [ms],0.0,1519.2189193792979,194.4543648263009,0.0,1382.7473106102939,0.0,14.142135623730951
Standard Deviation Total Fixation Time [ms],0.0,1149.0485194281405,176.7766952966372,0.0,1060.6601717798205,0.0,14.142135623730951
