,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,642.458333333335,0.0,0.0,462.9374999999999,0.0,0.0
Mean Average Fixation Time [ms],0.0,91.94523001508266,0.0,0.0,91.63690476190425,0.0,0.0
Mean Hits,0.0,28.0,0.0,0.0,11.25,0.0,0.0
Mean Relative Dwelltime [%],0.0,70.51355028068723,0.0,0.0,29.486449719312773,0.0,0.0
Mean Revisits,0.0,5.25,0.0,0.0,3.25,0.0,0.0
Mean Total Dwelltime [ms],0.0,3338.500000000009,0.0,0.0,1432.0,0.0,0.0
Mean Total Fixation Time [ms],0.0,2574.9999999999927,0.0,0.0,1032.4999999999927,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,20.14075815079459,0.0,0.0,58.955027881423476,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,1.3911499362155206,0.0,0.0,0.8417937871274699,0.0,0.0
Standard Deviation Hits,0.0,1.4142135623730951,0.0,0.0,0.3535533905932738,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,1.648326119025875,0.0,0.0,1.648326119025866,0.0,0.0
Standard Deviation Revisits,0.0,0.3535533905932738,0.0,0.0,0.3535533905932738,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,77.78174593053309,0.0,0.0,66.46803743152003,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,169.70562748480228,0.0,0.0,31.819805153389495,0.0,0.0
